Product,Customer,Count,Mean,Std,Min,Max,25,50,75,Action,ProductSKU,MinimumBeforeReorder,ReorderQuantity,Unit,RoundedMean,DiffMean,Diff75,MeanSavings,75Savings
1876 Vodka 1L,Customer Square 3,8,0.17307692307692307,0.4261253808876988,0,2,0.0,0.0,0.0,Create/Update,850010806143,3,12,18.99,0.0,3.0,3.0,56.97,56.97
1888 Dirtiest Martini Mix 1L,Customer Square 2,6,0.1346153846153846,0.3936440286626677,0,2,0.0,0.0,0.0,Create/Update,857438001525,12,8,15.99,0.0,12.0,12.0,191.88,191.88
21st Amendment Blood Orange Cans 6 Pack,Customer Square 1,20,0.5,0.7205766921228921,0,3,0.0,0.0,1.0,Create/Update,859612001314,2,4,10.79,0.0,2.0,1.0,21.58,10.79
21st Amendment Brew Free IPA Cans 6pk,Customer Square 1,18,0.5192307692307693,0.8658118603454177,0,4,0.0,0.0,1.0,Create/Update,859612001031,2,4,11.99,1.0,1.0,1.0,11.99,11.99
21st Amendment Seasonal Release Cans 6 Pack,Customer Square 1,13,0.3076923076923077,0.5730640163750516,0,2,0.0,0.0,0.25,Create/Update,859612001024,2,4,11.99,0.0,2.0,2.0,23.98,23.98
22 Pirates Red Blend 750ml,Customer Square 1,6,0.11538461538461539,0.3194855331891567,0,1,0.0,0.0,0.0,Create/Update,664228300047,2,12,24.99,0.0,2.0,2.0,49.98,49.98
22 Pirates Red Blend 750ml,Customer Square 3,11,0.25,0.5142208445046514,0,2,0.0,0.0,0.0,Create/Update,664228300047,2,12,24.99,0.0,2.0,2.0,49.98,49.98
400 Conejos Espadin 750ml,Customer Square 1,10,0.46153846153846156,1.1512791959304431,0,5,0.0,0.0,0.0,Create/Update,811538013628,4,12,28.99,0.0,4.0,4.0,115.96,115.96
400 Conejos Espadin 750ml,Customer Square 2,9,0.2692307692307692,0.7368170792564621,0,4,0.0,0.0,0.0,Create/Update,811538013628,2,6,28.99,0.0,2.0,2.0,57.98,57.98
42 Below 1L,Customer Square 1,5,0.09615384615384616,0.2948021099376133,0,1,0.0,0.0,0.0,Create/Update,080480284312,2,6,17.09,0.0,2.0,2.0,34.18,34.18
42 Below 1L,Customer Square 2,17,0.4230769230769231,0.6890951102757276,0,3,0.0,0.0,1.0,Create/Update,080480284312,2,6,17.09,0.0,2.0,1.0,34.18,17.09
512 Citra Summer 6pk Bottles,Customer Square 1,5,0.1346153846153846,0.4397921779242027,0,2,0.0,0.0,0.0,Create/Update,852674006389,3,6,9.99,0.0,3.0,3.0,29.97,29.97
512 Citra Summer 6pk Bottles,Customer Square 2,6,0.15384615384615385,0.455083060238432,0,2,0.0,0.0,0.0,Create/Update,852674006389,3,6,9.99,0.0,3.0,3.0,29.97,29.97
512 Citra Summer 6pk Bottles,Customer Square 3,0,0.0,0.0,0,0,0.0,0.0,0.0,Create/Update,852674006389,3,6,9.99,0.0,3.0,3.0,29.97,29.97
512 IPA 6pk Bottles,Customer Square 1,31,1.1923076923076923,1.209552707193568,0,4,0.0,1.0,2.0,Create/Update,852674006068,3,4,10.99,1.0,2.0,1.0,21.98,10.99
512 IPA 6pk Bottles,Customer Square 2,34,1.3269230769230769,1.7836992011650075,0,10,0.0,1.0,2.0,Create/Update,852674006068,3,4,10.99,1.0,2.0,1.0,21.98,10.99
512 IPA 6pk Bottles,Customer Square 3,21,0.5,0.7205766921228921,0,3,0.0,0.0,1.0,Create/Update,852674006068,3,4,10.99,0.0,3.0,2.0,32.97,21.98
512 Pale 6 Pack Bottles,Customer Square 1,21,0.5192307692307693,0.7203200307818479,0,3,0.0,0.0,1.0,Create/Update,852674006150,4,4,9.99,1.0,3.0,3.0,29.97,29.97
512 Pale 6 Pack Bottles,Customer Square 2,12,0.34615384615384615,0.7816308243423683,0,4,0.0,0.0,0.0,Create/Update,852674006150,4,4,9.99,0.0,4.0,4.0,39.96,39.96
512 Pale 6 Pack Bottles,Customer Square 3,2,0.038461538461538464,0.1923076923076923,0,1,0.0,0.0,0.0,Create/Update,852674006150,2,4,9.99,0.0,2.0,2.0,19.98,19.98
512 Pecan Porter 4pk Bottles,Customer Square 1,12,0.6346153846153846,1.652839586355812,0,9,0.0,0.0,0.0,Create/Update,852674006044,3,6,10.99,1.0,2.0,3.0,21.98,32.97
512 Pecan Porter 4pk Bottles,Customer Square 2,19,0.6346153846153846,1.0195935493701203,0,5,0.0,0.0,1.0,Create/Update,852674006044,3,6,10.99,1.0,2.0,2.0,21.98,21.98
512 Wit 6 Pack Bottles,Customer Square 1,14,0.34615384615384615,0.6165853669954383,0,2,0.0,0.0,1.0,Create/Update,852674006143,4,4,8.99,0.0,4.0,3.0,35.96,26.97
512 Wit 6 Pack Bottles,Customer Square 2,7,0.1346153846153846,0.341312295178824,0,1,0.0,0.0,0.0,Create/Update,852674006143,4,4,8.99,0.0,4.0,4.0,35.96,35.96
512 Wit 6 Pack Bottles,Customer Square 3,3,0.057692307692307696,0.23316068563427197,0,1,0.0,0.0,0.0,Create/Update,852674006143,1,4,8.99,0.0,1.0,1.0,8.99,8.99
6 Pack Bike Carrier,Customer Square 1,0,0.0,0.0,0,0,0.0,0.0,0.0,Create/Update,876718036903,2,6,,0.0,2.0,2.0,,
6 Pack Bike Carrier,Customer Square 2,1,0.0,0.0,0,0,0.0,0.0,0.0,Create/Update,876718036903,2,6,,0.0,2.0,2.0,,
6 Pack Bike Carrier,Customer Square 3,0,0.0,0.0,0,0,0.0,0.0,0.0,Create/Update,876718036903,2,6,,0.0,2.0,2.0,,
99 Apple Schnapps 50ml,Customer Square 1,48,12.826923076923077,8.243228348739798,0,47,7.75,13.0,17.25,Create/Update,089000118397,60,120,0.99,13.0,47.0,43.0,46.53,42.57
99 Apple Schnapps 50ml,Customer Square 2,27,2.480769230769231,4.6471264264778345,0,27,0.0,1.0,2.0,Create/Update,089000118397,60,120,0.99,2.0,58.0,58.0,57.42,57.42
99 Apple Schnapps 50ml,Customer Square 3,33,3.6923076923076925,4.10224357722258,0,16,0.0,2.5,7.0,Create/Update,089000118397,12,120,0.99,4.0,8.0,5.0,7.92,4.95
99 Bananas 50ml,Customer Square 1,51,20.23076923076923,10.723115550090455,0,49,14.0,17.5,24.25,Create/Update,080660620992,60,120,0.99,20.0,40.0,36.0,39.6,35.64
99 Bananas 50ml,Customer Square 2,46,8.403846153846153,7.372661598992216,0,30,2.75,6.0,13.25,Create/Update,080660620992,60,120,0.99,8.0,52.0,47.0,51.48,46.53
99 Bananas 50ml,Customer Square 3,48,7.0,5.896543968226707,0,23,2.0,5.0,10.25,Create/Update,080660620992,24,120,0.99,7.0,17.0,14.0,16.83,13.86
99 Bananas 750ml,Customer Square 2,1,0.019230769230769232,0.13733516208736252,0,1,0.0,0.0,0.0,Create/Update,080660620053,2,12,18.99,0.0,2.0,2.0,37.98,37.98
99 Cherry Limeade 50ml,Customer Square 1,4,0.7884615384615384,2.754971300014816,0,12,0.0,0.0,0.0,Create/Update,088004045418,60,120,0.99,1.0,59.0,60.0,58.41,59.4
99 Cherry Limeade 50ml,Customer Square 2,3,0.21153846153846154,0.9058896702549135,0,5,0.0,0.0,0.0,Create/Update,088004045418,60,120,0.99,0.0,60.0,60.0,59.4,59.4
99 Cherry Limeade 50ml,Customer Square 3,6,0.6538461538461539,2.1383370190642523,0,9,0.0,0.0,0.0,Create/Update,088004045418,6,120,0.99,1.0,5.0,6.0,4.95,5.9399999999999995
99 Chocolate 50ml,Customer Square 1,0,0.0,0.0,0,0,0.0,0.0,0.0,Create/Update,088004045425,60,120,0.99,0.0,60.0,60.0,59.4,59.4
99 Chocolate 50ml,Customer Square 2,6,0.23076923076923078,0.723649527777953,0,4,0.0,0.0,0.0,Create/Update,088004045425,60,120,0.99,0.0,60.0,60.0,59.4,59.4
99 Chocolate 50ml,Customer Square 3,3,0.17307692307692307,0.8019484408458861,0,5,0.0,0.0,0.0,Create/Update,088004045425,24,120,0.99,0.0,24.0,24.0,23.759999999999998,23.759999999999998
99 Fruit Punch 50ml,Customer Square 1,0,0.0,0.0,0,0,0.0,0.0,0.0,Create/Update,088004045456,60,120,0.99,0.0,60.0,60.0,59.4,59.4
99 Fruit Punch 50ml,Customer Square 2,5,0.23076923076923078,0.749753411139151,0,4,0.0,0.0,0.0,Create/Update,088004045456,60,120,0.99,0.0,60.0,60.0,59.4,59.4
99 Fruit Punch 50ml,Customer Square 3,7,0.6923076923076923,2.0897042626470963,0,9,0.0,0.0,0.0,Create/Update,088004045456,24,120,0.99,1.0,23.0,24.0,22.77,23.759999999999998
99 Guava 50ml,Customer Square 1,0,0.0,0.0,0,0,0.0,0.0,0.0,Create/Update,088004045449,60,120,0.9900000000000001,0.0,60.0,60.0,59.400000000000006,59.400000000000006
99 Guava 50ml,Customer Square 2,5,0.23076923076923078,0.749753411139151,0,3,0.0,0.0,0.0,Create/Update,088004045449,60,120,0.9900000000000001,0.0,60.0,60.0,59.400000000000006,59.400000000000006
99 Mystery Flavor 50ml,Customer Square 1,0,0.0,0.0,0,0,0.0,0.0,0.0,Create/Update,088004045432,60,120,0.9900000000000001,0.0,60.0,60.0,59.400000000000006,59.400000000000006
99 Mystery Flavor 50ml,Customer Square 2,6,0.34615384615384615,1.1583246420288922,0,6,0.0,0.0,0.0,Create/Update,088004045432,60,120,0.9900000000000001,0.0,60.0,60.0,59.400000000000006,59.400000000000006
99 Mystery Flavor 50ml,Customer Square 3,3,0.07692307692307693,0.33085866411702414,0,2,0.0,0.0,0.0,Create/Update,088004045432,24,120,0.9900000000000001,0.0,24.0,24.0,23.76,23.76
99 Party Bucket 50ml,Customer Square 1,23,0.8076923076923077,1.1935477422448386,0,5,0.0,0.0,1.0,Create/Update,088004034221,2,6,16.99,1.0,1.0,1.0,16.99,16.99
99 Party Bucket 50ml,Customer Square 2,15,0.40384615384615385,0.714132485677967,0,3,0.0,0.0,1.0,Create/Update,088004034221,2,6,16.99,0.0,2.0,1.0,33.98,16.99
99 Party Bucket 50ml,Customer Square 3,7,0.15384615384615385,0.41065685584735806,0,2,0.0,0.0,0.0,Create/Update,088004034221,2,6,16.99,0.0,2.0,2.0,33.98,33.98
AUS Pet Nat 750ml,Customer Square 1,0,0.0,0.0,0,0,0.0,0.0,0.0,Create/Update,8437015853109,2,12,25.99,0.0,2.0,2.0,51.98,51.98
AUS Pet Nat 750ml,Customer Square 2,6,0.17307692307692307,0.5084347717847033,0,2,0.0,0.0,0.0,Create/Update,8437015853109,2,12,25.99,0.0,2.0,2.0,51.98,51.98
AUS Pet Nat 750ml,Customer Square 3,0,0.0,0.0,0,0,0.0,0.0,0.0,Create/Update,8437015853109,2,12,25.99,0.0,2.0,2.0,51.98,51.98
Abasolo Corn Whisky 50ml,Customer Square 1,8,0.38461538461538464,1.0219484811989554,0,4,0.0,0.0,0.0,Create/Update,7503027709251,12,60,3.99,0.0,12.0,12.0,47.88,47.88
Abasolo Corn Whisky 50ml,Customer Square 2,5,0.1346153846153846,0.4397921779242027,0,2,0.0,0.0,0.0,Create/Update,7503027709251,12,60,3.99,0.0,12.0,12.0,47.88,47.88
Abasolo Corn Whisky 50ml,Customer Square 3,4,0.1346153846153846,0.5199425320998375,0,3,0.0,0.0,0.0,Create/Update,7503027709251,0,60,3.99,0.0,0.0,0.0,0.0,0.0
Abasolo Corn Whisky 750ml,Customer Square 1,13,0.3076923076923077,0.5730640163750516,0,2,0.0,0.0,0.25,Create/Update,7503027709077,1,6,42.99,0.0,1.0,1.0,42.99,42.99
Abasolo Corn Whisky 750ml,Customer Square 2,18,0.40384615384615385,0.5967738711224193,0,2,0.0,0.0,1.0,Create/Update,7503027709077,2,6,42.99,0.0,2.0,1.0,85.98,42.99
Abasolo Corn Whisky 750ml,Customer Square 3,6,0.1346153846153846,0.3936440286626677,0,2,0.0,0.0,0.0,Create/Update,7503027709077,1,6,42.99,0.0,1.0,1.0,42.99,42.99
Aberfeldy 12y 750ml,Customer Square 1,29,0.9038461538461539,1.0608344934461769,0,4,0.0,1.0,1.0,Create/Update,080480220006,3,6,35.99,1.0,2.0,2.0,71.98,71.98
