Product,AP,PV,OH,Category,Total
Bonny Doon La Cigare Volant Cuvee Oumuamua 750ml,12.0,6.0,11.0,Red New World,29.0
Mas Theo P'tit Gaby 750ml,18.0,11.0,0.0,Red Old World,29.0
Monopole Rioja 750ml,7.0,11.0,10.0,White,28.0
Casa Do Valle Vino Verde 750ml,16.0,12.0,0.0,White,28.0
Field Recordings Fiction 750ml,14.0,12.0,2.0,Red New World,28.0
Perrier-Jouet Grand Brut 750ml,8.0,14.0,5.0,Bubbles,27.0
Tintero Moscato d'Asti 750ml,8.0,10.0,9.0,White,27.0
Gunther Steinmetz Pinot Noir 750ml,13.0,11.0,2.0,Red Old World,26.0
Logan Farrell Cabernet Sauvignon 750ml,8.0,7.0,11.0,Red New World,26.0
Bouillon Aux Dames 750ml,19.0,6.0,1.0,White,26.0
Lunaria Ruminat Primitivo 750ml,15.0,10.0,1.0,Red Old World,26.0
De Otro Planeta Sauvignon Gris 750ml,12.0,11.0,3.0,Orange Wine,26.0
Graham Beck Brut Rose 750ml,11.0,12.0,2.0,Bubbles,25.0
Vinca Minor Light Red Blend 750ml,18.0,6.0,1.0,Red New World,25.0
Elisa Guerin Beaujolais Villages 750ml,13.0,8.0,4.0,Red Old World,25.0
Medrano Malbec 750ml,8.0,12.0,5.0,Red New World,25.0
Chono Red Blend 750ml,12.0,10.0,3.0,Red New World,25.0
Maturana Wines Naranjo 750ml,18.0,6.0,1.0,Orange Wine,25.0
La Raimbauderie Sancerre 750ml,12.0,12.0,0.0,White,24.0
Montenigo Bianco 750ml,11.0,7.0,6.0,White,24.0
Bota Box Cabernet Sauvignon 3L,8.0,16.0,0.0,Red New World,24.0
Black River Malbec 750ml,10.0,14.0,0.0,Red New World,24.0
Southold Don't Forget to Soar 750ml,17.0,7.0,0.0,White,24.0
Haraszthy Lodi Zinfandel 750ml,14.0,8.0,2.0,Red New World,24.0
Southold Forgotten Dreams 750ml,4.0,17.0,2.0,Red New World,23.0
Husch Vineyards Chenin Blanc 750ml,17.0,5.0,0.0,White,22.0
Poggio Anima Nero D'Avola 750ml,15.0,6.0,1.0,Red Old World,22.0
Moonland Fruit Wine 750ml,12.0,9.0,1.0,White,22.0
Cot Boy 750ml,10.0,10.0,2.0,Red Old World,22.0
Field Recordings Domo Arigato 750ml,2.0,16.0,3.0,Orange Wine,21.0
Givaudan La Bete Cote du Rhone 750ml,10.0,11.0,0.0,Red Old World,21.0
Morra Barbera d'Alba 750ml,12.0,3.0,5.0,Red Old World,20.0
Ovum Big Salt 750ml,18.0,2.0,0.0,White,20.0
William Chris Mourvedre 750ml,7.0,10.0,3.0,Red New World,20.0
Marietta Game Trail Cabernet 750ml,6.0,8.0,6.0,Red New World,20.0
Guido Porro Barbera d'Alba 750ml,8.0,7.0,5.0,Red Old World,20.0
Bico Amarelo Vinho Verde 750ml,10.0,8.0,1.0,White,19.0
Fattoria Moretto Lambrusco Monovitigno 750ml,8.0,11.0,0.0,Bubbles,19.0
Madfish Cabernet Sauvignon 750ml,15.0,1.0,3.0,Red New World,19.0
Achard Vincent Clairette Brut 750ml,4.0,15.0,0.0,Bubbles,19.0
Southold Piquette 4/16oz Cans,4.0,14.0,0.0,Bubbles,18.0
Granbazan Albarino 750ml,8.0,9.0,1.0,White,18.0
Villarini Nero D'Avola 750ml,9.0,6.0,3.0,Red Old World,18.0
Corzano e Paterno Chianti 750ml,7.0,11.0,0.0,Red Old World,18.0
Portlandia Pinot Gris 750ml,14.0,0.0,3.0,White,17.0
Turley Zinfandel Paso Robles 750ml,4.0,10.0,2.0,Red New World,16.0
Parts & Labor Red Blend 750ml,6.0,10.0,0.0,Red New World,16.0
Clay Shannon Chardonnay 750ml,4.0,8.0,4.0,White,16.0
Jose Dhondt Brut BdB 750ml,0.0,15.0,1.0,Bubbles,16.0
Adrienne Ballou Lightsome 750ml,5.0,7.0,4.0,Red New World,16.0
Esporao Monte Velho White 750ml,10.0,6.0,0.0,White,16.0
Ruinart Rose 750ml,4.0,8.0,3.0,Bubbles,15.0
Ancient Peaks Renegade 750ml,7.0,6.0,2.0,Red New World,15.0
Saint Cosme CdR Les Deux Albion 750ml,3.0,9.0,3.0,Red Old World,15.0
Donkey & Goat Gadabout 750ml,8.0,6.0,1.0,White,15.0
Chandon Brut 750ml,0.0,15.0,0.0,Bubbles,15.0
Teutonic Jazz Odyssey 750ml,6.0,9.0,0.0,White,15.0
Charly Nicolle Chablis Per Aspera 750ml,5.0,8.0,1.0,White,14.0
Bikicki S/O Sauvignon Blanc 750ml,6.0,7.0,1.0,Orange Wine,14.0
Tintero Bianco 750ml,5.0,3.0,6.0,White,14.0
La Marca Prosecco 750ml,0.0,14.0,0.0,Bubbles,14.0
Vino De Montana 750ml,7.0,6.0,1.0,Red Old World,14.0
Vollereaux Brut 375ml,6.0,8.0,0.0,Bubbles,14.0
Southold Farm Basics of Life 750ml,10.0,3.0,0.0,Red New World,13.0
Birichino Scylla Red Blend 750ml,6.0,6.0,1.0,Red New World,13.0
Kirnbauer 7301 Blaufrankisch 750ml,5.0,7.0,1.0,Red Old World,13.0
22 Pirates Red Blend 750ml,2.0,0.0,11.0,Red New World,13.0
Il Folicello Bianco Pet Nat 750ml,0.0,12.0,1.0,Bubbles,13.0
Vinca Minor Red Blend 750ml,8.0,4.0,0.0,Red New World,12.0
Sardo Vermentino  750ml,8.0,4.0,0.0,White,12.0
Birichino Pet Nat Malvasia Bianca 750ml,6.0,6.0,0.0,Bubbles,12.0
Boomtown Merlot 750ml,8.0,4.0,0.0,Red New World,12.0
Donkey & Goat The Gallivanter,6.0,6.0,0.0,Red New World,12.0
Lan Reserva Rioja 750ml,3.0,6.0,2.0,Red Old World,11.0
Tonnino Grillo 750ml,6.0,5.0,0.0,White,11.0
