,SKU,Product,Customer,Location,Status,CategoryDear,CategorySale,OnHand,Quantity,Sale,Unit,StockValue
10134,854474004015,Mizu Lemongrass Shochu 750ml,Customer Square 3,Oak Hill,ACTIVE,Shochu,,4.0,,,37.99,151.96
10182,083089410359,Monkey 47 Gin 375ml,Customer Square 3,Oak Hill,ACTIVE,Gin,,6.0,,,41.99,251.94
10245,898193001894,Montenegro Select Aperitivo 750ml,Customer Square 3,Oak Hill,ACTIVE,Amaro,,3.0,,,25.99,77.97
10270,87236950750,Mount Gay 1703 Port Cask 750ml,Customer Square 3,Oak Hill,ACTIVE,Rum,,3.0,,,,
10379,085000021651,New Amsterdam Peach 1.75L,Customer Square 3,Oak Hill,ACTIVE,Vodka,,6.0,,,21.990000000000002,131.94
10519,812066022915,Noble Oak Double Oak Rye 750ml,Customer Square 3,Oak Hill,ACTIVE,Whiskey Rye,,6.0,,,39.99,239.94
10534,897845002005,Nolets Dry Gin 750ml,Customer Square 3,Oak Hill,ACTIVE,Gin,,3.0,,,49.99,149.97
10563,852384002121,Novo Fogo Chameleon Cachaca 750ml,Customer Square 3,Oak Hill,ACTIVE,Cachaca,,3.0,,,35.99,107.97
10572,080925100139,Nuestra Soledad San Luis Del Rio 750ml,Customer Square 3,Oak Hill,ACTIVE,Mezcal,,4.0,,,58.99,235.96
10659,088004025540,Old Charter No. 8 750ml,Customer Square 3,Oak Hill,ACTIVE,Whiskey Bourbon/American,,5.0,,,17.99,89.94999999999999
10667,080686507406,Old Crow 750ml,Customer Square 3,Oak Hill,ACTIVE,Whiskey Bourbon/American,,4.0,,,11.99,47.96
10757,088352116907,Old Medley 12y 750ml,Customer Square 3,Oak Hill,ACTIVE,Whiskey Bourbon/American,,12.0,,,69.99,839.8799999999999
10760,89000557,Old Monk 7 year 750ml,Customer Square 3,Oak Hill,ACTIVE,Rum,,3.0,,,18.990000000000002,56.970000000000006
10802,080432108253,Olmeca Altos Plata 1.75L,Customer Square 3,Oak Hill,ACTIVE,Tequila,,6.0,,,52.99,317.94
10836,7087443278336,Ono Sotol 750ml,Customer Square 3,Oak Hill,ACTIVE,Sotol,,3.0,,,39.989999999999995,119.96999999999998
10839,860006337209,Open Face Gewurztraminer 750ml,Customer Square 3,Oak Hill,ACTIVE,White,,4.0,,,22.99,91.96
10863,8000648001539,Oscar 697 Rosso 750ml,Customer Square 3,Oak Hill,ACTIVE,Fortified,,6.0,,,,
11045,899332000242,Parts & Labor Red Blend 750ml,Customer Square 3,Oak Hill,ACTIVE,Red New World,,4.0,,,16.99,67.96
11120,021296006033,Paul Masson Brandy 200ml,Customer Square 3,Oak Hill,ACTIVE,Brandy,,24.0,,,3.9872936400541272,95.69504736129906
11149,894909000007,Paulas Texas Grapefruit 750ml,Customer Square 3,Oak Hill,ACTIVE,Liqueur,,6.0,,,19.99,119.94
11163,7503013890673,Peloton De La Muerte 1L,Customer Square 3,Oak Hill,ACTIVE,Mezcal,,5.0,,,36.99,184.95000000000002
11188,048320103209,Perlino Dry Vermouth 1L,Customer Square 3,Oak Hill,ACTIVE,Fortified,,5.0,,,6.99,34.95
11191,048320103100,Perlino Rosso Vermouth 1L,Customer Square 3,Oak Hill,ACTIVE,Fortified,,5.0,,,6.99,34.95
11197,080432291672,Pernod Anisette 750ml,Customer Square 3,Oak Hill,ACTIVE,Liqueur,,4.0,,,34.99,139.96
