Product,Customer,Count,Mean,Std,Min,Max,25,50,75,Action,ProductSKU,MinimumBeforeReorder,ReorderQuantity
22 Pirates Red Blend 750ml,Customer Square 1,6,0.11538461538461539,0.3194855331891567,0,1,0.0,0.0,0.0,Create/Update,664228300047,2,12
22 Pirates Red Blend 750ml,Customer Square 3,11,0.25,0.5142208445046514,0,2,0.0,0.0,0.0,Create/Update,664228300047,2,12
400 Conejos Espadin 750ml,Customer Square 1,10,0.46153846153846156,1.1512791959304431,0,5,0.0,0.0,0.0,Create/Update,811538013628,4,12
400 Conejos Espadin 750ml,Customer Square 2,9,0.2692307692307692,0.7368170792564621,0,4,0.0,0.0,0.0,Create/Update,811538013628,2,6
42 Below 1L,Customer Square 1,5,0.09615384615384616,0.2948021099376133,0,1,0.0,0.0,0.0,Create/Update,80480284312,2,6
42 Below 1L,Customer Square 2,17,0.4230769230769231,0.6890951102757276,0,3,0.0,0.0,1.0,Create/Update,80480284312,2,6
512 Citra Summer 6pk Bottles,Customer Square 1,5,0.1346153846153846,0.4397921779242027,0,2,0.0,0.0,0.0,Create/Update,852674006389,3,6
512 Citra Summer 6pk Bottles,Customer Square 2,6,0.15384615384615385,0.455083060238432,0,2,0.0,0.0,0.0,Create/Update,852674006389,3,6
512 Citra Summer 6pk Bottles,Customer Square 3,0,0.0,0.0,0,0,0.0,0.0,0.0,Create/Update,852674006389,3,6
512 IPA 6pk Bottles,Customer Square 1,31,1.1923076923076923,1.209552707193568,0,4,0.0,1.0,2.0,Create/Update,852674006068,3,4
512 IPA 6pk Bottles,Customer Square 2,34,1.3269230769230769,1.7836992011650075,0,10,0.0,1.0,2.0,Create/Update,852674006068,3,4
512 IPA 6pk Bottles,Customer Square 3,21,0.5,0.7205766921228921,0,3,0.0,0.0,1.0,Create/Update,852674006068,3,4
512 Pale 6 Pack Bottles,Customer Square 1,21,0.5192307692307693,0.7203200307818479,0,3,0.0,0.0,1.0,Create/Update,852674006150,4,4
512 Pale 6 Pack Bottles,Customer Square 2,12,0.34615384615384615,0.7816308243423683,0,4,0.0,0.0,0.0,Create/Update,852674006150,4,4
512 Pale 6 Pack Bottles,Customer Square 3,2,0.038461538461538464,0.1923076923076923,0,1,0.0,0.0,0.0,Create/Update,852674006150,2,4
512 Pecan Porter 4pk Bottles,Customer Square 1,12,0.6346153846153846,1.652839586355812,0,9,0.0,0.0,0.0,Create/Update,852674006044,3,6
512 Pecan Porter 4pk Bottles,Customer Square 2,19,0.6346153846153846,1.0195935493701203,0,5,0.0,0.0,1.0,Create/Update,852674006044,3,6
512 Wit 6 Pack Bottles,Customer Square 1,14,0.34615384615384615,0.6165853669954383,0,2,0.0,0.0,1.0,Create/Update,852674006143,4,4
512 Wit 6 Pack Bottles,Customer Square 2,7,0.1346153846153846,0.341312295178824,0,1,0.0,0.0,0.0,Create/Update,852674006143,4,4
