Product,Customer,Count,Mean,Std,Min,Max,25,50,75,Action,ProductSKU,MinimumBeforeReorder,ReorderQuantity,Unit,RoundedMean,DiffMean,Diff75,MeanSavings,75Savings
El Guapo Chicory Pecan Bitters 100ml,Customer Square 3,14,0.4807692307692308,0.9300617145649036,0,4,0.0,0.0,1.0,Create/Update,850012903192,4,12,,0.0,4.0,3.0,,
El Guapo Ginger 16.5oz,Customer Square 3,1,0.019230769230769232,0.13733516208736252,0,1,0.0,0.0,0.0,Create/Update,850012903048,4,6,,0.0,4.0,4.0,,
El Guapo Polynesian Kiss Bitters 100ml,Customer Square 3,1,0.0,0.0,0,0,0.0,0.0,0.0,Create/Update,850012903260,2,6,,0.0,2.0,2.0,,
El Guapo Spiced Cocoa Bitters 100ml,Customer Square 3,1,0.019230769230769232,0.13733516208736252,0,1,0.0,0.0,0.0,Create/Update,850012903208,2,6,,0.0,2.0,2.0,,
El Jimador Anejo 750ml,Customer Square 3,4,0.09615384615384616,0.3540760122984994,0,2,0.0,0.0,0.0,Create/Update,744607063203,1,6,,0.0,1.0,1.0,,
El Jimador Blanco 1L,Customer Square 3,51,59.75,41.911938357979544,0,184,23.5,46.5,82.0,Create/Update,744607068307,3,12,,60.0,-57.0,-79.0,,
El Jimador Reposado 1L,Customer Square 3,48,5.211538461538462,4.625749579430087,0,22,2.0,4.0,7.25,Create/Update,744607069304,2,12,,5.0,-3.0,-5.0,,
El Jolgorio Barril 750ml,Customer Square 3,3,0.057692307692307696,0.23316068563427197,0,1,0.0,0.0,0.0,Create/Update,080925100078,0,1,99.21,0.0,0.0,0.0,0.0,0.0
El Jolgorio Cuixe 750ml,Customer Square 3,3,0.057692307692307696,0.23316068563427197,0,1,0.0,0.0,0.0,Create/Update,080925100061,1,1,99.21,0.0,1.0,1.0,99.21,99.21
El Jolgorio Espadin 750ml,Customer Square 3,2,0.038461538461538464,0.1923076923076923,0,1,0.0,0.0,0.0,Create/Update,080925100016,2,1,80.66,0.0,2.0,2.0,161.32,161.32
El Jolgorio Madrecuixe 750ml,Customer Square 3,5,0.09615384615384616,0.2948021099376133,0,1,0.0,0.0,0.0,Create/Update,080925100047,1,1,99.21,0.0,1.0,1.0,99.21,99.21
El Jolgorio Mexicano 750ml,Customer Square 3,4,0.07692307692307693,0.2664693550105965,0,1,0.0,0.0,0.0,Create/Update,080925100023,1,1,99.21,0.0,1.0,1.0,99.21,99.21
El Jolgorio Pechuga 750ml,Customer Square 3,2,0.038461538461538464,0.1923076923076923,0,1,0.0,0.0,0.0,Create/Update,080925100085,1,1,127.61,0.0,1.0,1.0,127.61,127.61
El Jolgorio Tepeztate 750ml,Customer Square 3,4,0.07692307692307693,0.2664693550105965,0,1,0.0,0.0,0.0,Create/Update,080925100054,1,1,119.78,0.0,1.0,1.0,119.78,119.78
El Jolgorio Tobala 750ml,Customer Square 3,2,0.038461538461538464,0.1923076923076923,0,1,0.0,0.0,0.0,Create/Update,080925100030,1,1,108.06,0.0,1.0,1.0,108.06,108.06
El Silencio Espadin 50ml,Customer Square 3,2,2.3076923076923075,11.538461538461538,0,60,0.0,0.0,0.0,Create/Update,863415000047,6,120,,2.0,4.0,6.0,,
El Silencio Espadin 750ml,Customer Square 3,52,36.53846153846154,11.227475807934367,12,68,30.5,37.0,42.25,Create/Update,863415000023,2,6,,37.0,-35.0,-40.0,,
El Tequileno Reposado 750ml,Customer Square 3,1,0.019230769230769232,0.13733516208736252,0,1,0.0,0.0,0.0,Create/Update,7501398100332,2,6,,0.0,2.0,2.0,,
El Tesoro Anejo 750ml,Customer Square 3,26,1.0192307692307692,1.4476822937608373,0,7,0.0,0.5,2.0,Create/Update,080686761402,2,6,43.89,1.0,1.0,0.0,43.89,0.0
