,Category,SKU,ProductName,Location,OnHand,Par,Shy,Send
4699,Sake,072546064037,Kikumasa Cup Sake 180ml,Oak Hill,14,0,-14,
3045,Whiskey Rye,096749002733,Elijah Craig Straight Rye 750ml,Oak Hill,14,0,-14,
2639,White,0879039002930,Dom de l'ecu Classic Muscadet 750ml,Oak Hill,14,0,-14,
5037,Red Old World,747154058814,Lan Reserva Rioja 750ml,Oak Hill,14,0,-14,
6520,Red Old World,5060110823192,Pierre et Papa French Red 750ml,Oak Hill,14,0,-14,
5884,Mixer,195893013692,Momo's Michelada Mix 1L,Oak Hill,14,0,-14,
7212,White,8026058002676,Sardo Vermentino  750ml,Oak Hill,14,0,-14,
7741,Vodka,088004000073,Taaka 375ml,Oak Hill,17,3,-14,
1020,Red New World,604984200304,Black River Malbec 750ml,Oak Hill,14,0,-14,
3305,White,713382533683,Field Recordings Chenin 750ml,Oak Hill,14,0,-14,
307,Red New World,897114001258,Ancient Peaks Renegade 750ml,Oak Hill,14,0,-14,
5665,Bubbles,3760072420119,Medivol Cremant De Limoux 750ml,Oak Hill,14,0,-14,
5206,Mixer,700697229677,Liber & Co Grapefruit Shrub 17oz,Oak Hill,14,0,-14,
5215,Mixer,612953414638,Liber & Co Orgeat 17oz,Oak Hill,15,1,-14,
3036,Whiskey Bourbon/American,096749001873,Elijah Craig 375ml,Oak Hill,14,0,-14,
31,Vodka,850010806143,1876 Vodka 1L,Oak Hill,14,0,-14,
3080,Tequila,664804000378,Espolon Blanco 375ml,Oak Hill,15,1,-14,
2125,Liqueur,736040525851,Combier Orange 375ml,Oak Hill,13,0,-13,
1714,Tequila,741638311006,Cimarron Blanco 1L,Oak Hill,15,2,-13,
7224,Tequila,080686835035,Sauza Hornitos Reposado 375ml,Oak Hill,13,0,-13,
2415,Vodka,856065002080,Deep Eddy Ruby Red 750ml,Oak Hill,14,1,-13,
2393,Vodka,856065002417,Deep Eddy Lemon 750ml,Oak Hill,14,1,-13,
1377,Mezcal,850009098016,Burrito Fiestero Ancestral Joven Durango 750ml,Oak Hill,13,0,-13,
7352,Red New World,7804670300018,Siete Perros Cabernet Sauvignon 750ml,Oak Hill,13,0,-13,
5089,Garnish,8002873021658,Lazzaroni Cherries 400g,Oak Hill,13,0,-13,
5856,White,854837002009,Mirth Chardonnay 750ml,Oak Hill,14,1,-13,
6322,Bubbles,017619025102,Opera Prima Brut 750ml,Oak Hill,13,0,-13,
8470,Vodka,088004034191,Wheatley 375ml,Oak Hill,14,1,-13,
6506,Bitters,088004190170,Peychauds Bitters 10oz,Oak Hill,13,0,-13,
825,White,856803003010 ,Better Half Sauvignon Blanc 750ml,Oak Hill,15,2,-13,
5233,Mixer,609224040887,Liber & Co Tonic Syrup 17oz,Oak Hill,13,0,-13,
8329,Bar Tools,123782,Viski Hawthorne Strainer Gold,Oak Hill,13,0,-13,
7792,Gin,088110110307,Tanqueray 750ml,Oak Hill,13,0,-13,
6757,RTD,850013382002,Ranch Rider Ranch Water 12oz 4pk,Oak Hill,15,2,-13,
2630,Fortified,3274510003814,Dolin Rouge 750ml,Oak Hill,12,0,-12,
2320,Amaro,887341000018,Cynar 1L,Oak Hill,12,0,-12,
4705,Sake,072546048563,Kikusui Nigori Perfect Snow 300ml,Oak Hill,12,0,-12,
5116,White,855420005117,Left Coast Cellars White Pinot Noir 750ml,Oak Hill,12,0,-12,
7629,Bar Tools,123551,Stainless Steel Cocktail Picks,Oak Hill,12,0,-12,
7166,Rum,083664864461,Sailor Jerry 750ml,Oak Hill,12,0,-12,
8262,Mezcal,819749020770,Verde Amaras 200ml,Oak Hill,12,0,-12,
3862,Liqueur,649188900476,Grand Marnier 750ml,Oak Hill,12,0,-12,
5802,Tequila,083664874064,Milagro Silver 375ml,Oak Hill,12,0,-12,
2317,Bubbles,8412766200891,Cuvee 23 Cava 750mL,Oak Hill,12,0,-12,
3821,Tequila,811538014236,Gran Centenario Reposado 750ml,Oak Hill,12,0,-12,
2494,Mezcal,613739980590,Derrumbes Durango 200ml,Oak Hill,12,0,-12,
8377,Bar Tools,123629,Viski Teardrop Barspoon 40cm Copper,Oak Hill,12,0,-12,
4129,Cognac,088110150556,Hennessy VS 750ml,Oak Hill,12,0,-12,
6441,Brandy,021296006033,Paul Masson Brandy 200ml,Oak Hill,12,0,-12,
2567,Whiskey Rye,082000759461,Dickel Rye 1L,Oak Hill,12,0,-12,
776,Whiskey Bourbon/American,088004011093,Benchmark 375ml,Oak Hill,12,0,-12,
5819,Gin,088004027513,Miles Gin 200ml,Oak Hill,12,0,-12,
5224,Mixer,614409550365,Liber & Co Raspberry Gum Syrup 17oz,Oak Hill,12,0,-12,
6032,Vodka,085000020395,New Amsterdam Peach 375ml,Oak Hill,12,0,-12,
8147,Whiskey Irish,083664872466,Tullamore Dew 750ml,Oak Hill,12,0,-12,
3453,Whiskey Bourbon/American,793573124258,Four Roses Yellow Label 1L,Oak Hill,12,0,-12,
1465,Rum,087000002715,Captain Morgan 750ml,Oak Hill,12,0,-12,
3444,Whiskey Bourbon/American,040063400027,Four Roses Single Barrel 750ml,Oak Hill,12,0,-12,
7311,Whiskey Bourbon/American,088004038670,Sheep Dog Peanut Butter 750ml,Oak Hill,12,0,-12,
8174,Garnish,031439000392,Umbrella Picks,Oak Hill,12,0,-12,
3398,Rum,026964852745,Flor De Cana Reserve 7y 750ml,Oak Hill,12,0,-12,
3393,Rum,026964177190,Flor De Cana Anejo 4y 750ml,Oak Hill,12,0,-12,
4551,Whiskey Scotch,088110011307,Johnnie Walker Black 750ml,Oak Hill,12,0,-12,
6213,Whiskey Bourbon/American,680203010374,Old Bardstown Bourbon 750ml,Oak Hill,12,0,-12,
4423,Amaro,083089524001,Jagermeister 750ml,Oak Hill,12,0,-12,
2142,Red New World,851895004006,Commuter Cuvee Pinot Noir 750ml,Oak Hill,13,1,-12,
8012,Rose,761503723864,Tintero Rosato 750ml,Oak Hill,15,3,-12,
1369,Whiskey Rye,082000766087,Bulleit Rye 375ml,Oak Hill,12,0,-12,
1351,Whiskey Bourbon/American,087000004122,Bulleit Bourbon 375ml,Oak Hill,12,0,-12,
5951,Red Old World,8057457100182,Morra Barbera d'Alba 750ml,Oak Hill,12,0,-12,
1717,Tequila,741638313000,Cimarron Blanco 375ml,Oak Hill,13,1,-12,
6063,Vodka,085000019481,New Amsterdam Vodka 375ml,Oak Hill,12,0,-12,
5367,Orange Wine,8032692480206,Lunaria Ramoro Pinot Grigio Terre di Chieti 750mL,Oak Hill,11,0,-11,
638,Mezcal,736040538837,Banhez Espadin 375ml,Oak Hill,11,0,-11,
1788,Vodka,088076177390,Ciroc Peach 375ml,Oak Hill,11,0,-11,
238,Red New World,852282002964,Altocedro Cabernet Sauvignon 750ml,Oak Hill,11,0,-11,
2758,Vodka,094922545763,Dripping Springs Vodka 750ml,Oak Hill,13,2,-11,
4696,Sake,008122007624,Kiku Masamune Junmai Taru 300ml,Oak Hill,11,0,-11,
6833,Whiskey Bourbon/American,088352133959,Rebel Yell 100 Proof Bourbon 1L,Oak Hill,11,0,-11,
5628,Red Old World,666392848233,Masso Antico Primitivo 750ml,Oak Hill,11,0,-11,
8380,Bar Tools,123630,Viski Teardrop Barspoon 40cm Gold,Oak Hill,11,0,-11,
2789,Cognac,080480002930,Dusse VSOP 375ml,Oak Hill,12,1,-11,
840,White,858666003497,Bico Amarelo Vinho Verde 750ml,Oak Hill,11,0,-11,
325,Bitters,075496001602,Angostura Bitters 16oz,Oak Hill,11,0,-11,
5389,Tequila,096749001378,Lunazul Reposado 375ml,Oak Hill,11,0,-11,
138,Garnish,859868004619,Absinthe Sugar Cubes (20pack),Oak Hill,11,0,-11,
8353,Bar Tools,123622,Viski Leopold Jigger Copper,Oak Hill,11,0,-11,
3117,Whiskey Bourbon/American,096749021277,Evan Williams Bonded 1L,Oak Hill,12,1,-11,
4663,Whiskey Bourbon/American,080660246376,Kentucky Gentleman 375ml,Oak Hill,12,1,-11,
