ProductCode,Name,Category,Brand,Type,FixedAssetType,CostingMethod,Length,Width,Height,Weight,CartonLength,CartonWidth,CartonHeight,CartonInnerQuantity,CartonQuantity,CartonVolume,WeightUnits,DimensionUnits,Barcode,MinimumBeforeReorder,ReorderQuantity,DefaultLocation,LastSuppliedBy,SupplierProductCode,SupplierProductName,SupplierFixedPrice,PriceTier1,PriceTier2,PriceTier3,PriceTier4,PriceTier5,PriceTier6,PriceTier7,PriceTier8,PriceTier9,PriceTier10,AssemblyBOM,AutoAssemble,AutoDisassemble,DropShip,DropShipSupplier,AverageCost,DefaultUnitOfMeasure,InventoryAccount,RevenueAccount,ExpenseAccount,COGSAccount,ProductAttributeSet,AdditionalAttribute1,AdditionalAttribute2,AdditionalAttribute3,AdditionalAttribute4,AdditionalAttribute5,AdditionalAttribute6,AdditionalAttribute7,AdditionalAttribute8,AdditionalAttribute9,AdditionalAttribute10,DiscountName,ProductFamilySKU,ProductFamilyName,ProductFamilyOption1Name,ProductFamilyOption1Value,ProductFamilyOption2Name,ProductFamilyOption2Value,ProductFamilyOption3Name,ProductFamilyOption3Value,CommaDelimitedTags,StockLocator,PurchaseTaxRule,SaleTaxRule,Status,Description,ShortDescription,Sellable,PickZones,AlwaysShowQuantity,WarrantySetupName,InternalNote,ProductionBOM,MakeToOrderBom,QuantityToProduce,IsAccountingDimensionEnabled,DimensionAttribute1,DimensionAttribute2,DimensionAttribute3,DimensionAttribute4,DimensionAttribute5,DimensionAttribute6,DimensionAttribute7,DimensionAttribute8,DimensionAttribute9,DimensionAttribute10
"8800588005","1792 Bottled In Bond Nickel City Barrel 750ml","Whiskey Bourbon/American","",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,,,"8800588005",0.0000,0.0000,Pleasant Valley,Southern Glazers Wine & Spirits,"","",25.9400000,34.9900,26.7900,26.7900,26.7900,26.7900,26.7900,26.7900,26.7900,26.7900,26.7900,No,No,No,No Drop Ship,,24.1100,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,"Item Details","750ml","DS","Glazers Genesis","","","","","","","","","","","","","","","","","","","No Tax","No Tax",ACTIVE,"","",Yes,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","",""
"8800488004","1792 Bottled In Bond Shaker Barrel F198083 750ml","Whiskey Bourbon/American","",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,,,"8800488004",0.0000,0.0000,Airport,Southern Glazers Wine & Spirits,"","",25.9400000,39.9900,30.9400,30.9400,30.9400,30.9400,30.9400,30.9400,30.9400,30.9400,30.9400,No,No,No,No Drop Ship,,24.1100,Item,_28_: Inventory,_1_: Sales,_26_: Cost of Goods Sold,_26_: Cost of Goods Sold,"Item Details","750ml","DS","Glazers Genesis","","","","","","","","","","","","","","","","","","","No Tax","No Tax",ACTIVE,"","",Yes,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","",""
"080660001159","1792 Full Proof 750ml","Whiskey Bourbon/American","",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,,,"080660001159",0.0000,0.0000,Airport,Southern Glazers Wine & Spirits,"Genesis","",30.9500000,45.9900,34.9500,34.9500,34.9500,34.9500,34.9500,34.9500,34.9500,34.9500,34.9500,No,No,No,No Drop Ship,,30.9500,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,"Item Details","750ml","DS","Glazers Genesis","","","","","","","","","","","","","","","","","","","","",ACTIVE,"","",Yes,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","",""
"080660001142","1792 Single Barrel 750ml","Whiskey Bourbon/American","",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,,,"080660001142",0.0000,0.0000,Airport,Southern Glazers Wine & Spirits,"Genesis","",27.3500000,41.9900,34.9500,34.9500,34.9500,34.9500,34.9500,34.9500,34.9500,34.9500,34.9500,No,No,No,No Drop Ship,,28.7800,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,"Item Details","750ml","DS","Glazers Genesis","","","","","","","","","","","","","","","","","","","No Tax","No Tax",ACTIVE,"","",Yes,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","",""
"088004042196","1792 Small Batch Bourbon 1L","Whiskey Bourbon/American","",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,,,"088004042196",0.0000,0.0000,Airport,Southern Glazers Wine & Spirits,"Genesis","",0.0000000,35.9900,28.0000,28.0000,28.0000,28.0000,28.0000,28.0000,28.0000,28.0000,28.0000,No,No,No,No Drop Ship,,24.9800,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,"Item Details","1L","DS","Glazers Genesis","","","","","","","","","","","","","","","","","","","","",ACTIVE,"","",Yes,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","",""
"080660001203","1792 Small Batch Bourbon 750ml","Whiskey Bourbon/American","",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,,,"080660001203",0.0000,0.0000,Airport,Southern Glazers Wine & Spirits,"Genesis","",23.9900000,36.9900,28.0000,28.0000,28.0000,28.0000,28.0000,28.0000,28.0000,28.0000,28.0000,No,No,No,No Drop Ship,,20.5400,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,"Item Details","750ml","DS","Glazers Genesis","","","","","","","","","","","","","","","","","","","","",ACTIVE,"","",Yes,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","",""
"080660001166","1792 Sweet Wheat 750ml","Whiskey Bourbon/American","",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,,,"080660001166",0.0000,0.0000,Airport,Southern Glazers Wine & Spirits,"Genesis","",26.2400000,36.9900,30.1700,30.1700,30.1700,30.1700,30.1700,30.1700,30.1700,30.1700,30.1700,No,No,No,No Drop Ship,,25.9100,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,"Item Details","750ml","DS","Glazers Genesis","","","","","","","","","","","","","","","","","","","No Tax","No Tax",ACTIVE,"","",Yes,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","",""
"811538010146","1800 Blanco 1L","Tequila","",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,,,"811538010146",0.0000,0.0000,Airport,Republic,"","",0.0000000,39.9900,30.3700,30.3700,30.3700,30.3700,0.0000,0.0000,0.0000,0.0000,0.0000,No,No,No,No Drop Ship,,26.9900,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,"Item Details","1L","DS","","","","","","","","","","","","","","","","","","","","No Tax","No Tax",ACTIVE,"","",Yes,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","",""
"811538010139","1800 Blanco 750ml","Tequila","",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,,,"811538010139",0.0000,0.0000,Airport,Republic,"","",22.1200000,31.9900,24.5800,24.5800,24.5800,24.5800,24.5800,24.5800,24.5800,24.5800,24.5800,No,No,No,No Drop Ship,,22.1200,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,"Item Details","750ml","DS","","","","","","","","","","","","","","","","","","","","","",ACTIVE,"","",Yes,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","",""
"811538018920","1800 Mango Margarita 1.75L","RTD","",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,oz,in,"",0.0000,0.0000,Airport,Republic,"","",17.2400000,19.9900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,No,No,No,No Drop Ship,,17.2400,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,"","","","","","","","","","","","","","","","","","","","","","","No Tax","No Tax",DEPRECATED,"","",Yes,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","",""
"040232625121","1876 Straight Bourbon 750ml","Whiskey Bourbon/American","",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,,,"040232625121",0.0000,0.0000,Airport,Republic,"","",11.9800000,36.9900,28.3200,28.3200,28.3200,28.3200,28.3200,28.3200,28.3200,28.3200,28.3200,No,No,No,No Drop Ship,,25.4900,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,"Item Details","750-ml","DS","","","","","","","","","","","","","","","","","","","","No Tax","No Tax",ACTIVE,"","",Yes,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","",""
"850010806136","1876 Vodka 175L","Vodka","",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,,,"850010806136",0.0000,0.0000,Airport,Republic,"","",0.0000000,23.9900,17.4900,17.4900,17.4900,17.4900,17.4900,17.4900,17.4900,17.4900,17.4900,No,No,No,No Drop Ship,,14.9609,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,"Item Details","175L","DS","","","","","","","","","","","","","","","","","","","","","",ACTIVE,"","",Yes,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","",""
"949223659484","1876 Vodka 175L","Vodka","",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,oz,in,"949223659484",0.0000,0.0000,Airport,Republic,"","",15.1400000,21.9900,20.9000,20.9000,20.9000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,No,No,No,No Drop Ship,,0.0000,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,"Item Details","175L","DS","","","","","","","","","","","","","","","","","","","","No Tax","No Tax",DEPRECATED,"","",Yes,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","",""
"850010806143","1876 Vodka 1L","Vodka","",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,,,"850010806143",0.0000,0.0000,Airport,Republic,"","",11.9800000,18.9900,13.7700,13.7700,13.7700,13.7700,13.7700,13.7700,13.7700,13.7700,13.7700,No,No,No,No Drop Ship,,11.5900,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,"Item Details","1L","DS","","","","","","","","","","","","","","","","","","","","","",ACTIVE,"","",Yes,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","",""
"94922365941","1876 Vodka 750ml","Vodka","",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,oz,in,"94922365941",0.0000,0.0000,Airport,Republic,"","",8.5800000,12.9900,10.3400,10.3400,10.3400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,No,No,No,No Drop Ship,,0.0000,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,"Item Details","750ml","DS","","","","","","","","","","","","","","","","","","","","No Tax","No Tax",DEPRECATED,"","",Yes,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","",""
"857438001525","1888 Dirtiest Martini Mix 1L","Mixer","",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,,,"857438001525",0.0000,0.0000,Airport,Southern Glazers Wine & Spirits,"Premier","",0.0000000,15.9900,11.9400,11.9400,11.9400,11.9400,11.9400,11.9400,11.9400,11.9400,11.9400,No,No,No,No Drop Ship,,11.5150,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,"Item Details","1L","","Glazers Premier","","","","","","","","","","","","","","","","","","","","",ACTIVE,"","",Yes,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","",""
"080686294047","2 Gingers Irish Whiskey 750ml","Whiskey Irish","",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,,,"080686294047",0.0000,0.0000,Airport,Southern Glazers Wine & Spirits,"Premier","",0.0000000,22.9900,16.6700,16.6700,16.6700,16.6700,16.6700,16.6700,16.6700,16.6700,16.6700,No,No,No,No Drop Ship,,12.0000,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,"Item Details","750ml","DS","Glazers Premier","","","","","","","","","","","","","","","","","","","No Tax","No Tax",ACTIVE,"","",Yes,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","",""
"8437016956236","20000 Leguas 750ml","Orange Wine","",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,oz,in,"8437016956236",0.0000,0.0000,Pleasant Valley,Splurge,"","",11.0000000,15.9900,12.5000,12.5000,12.5000,12.5000,12.5000,12.5000,12.5000,12.5000,12.5000,No,No,No,No Drop Ship,,10.0000,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,"Item Details","750ml","W","","","","","","","","","","","","","","","","","","","","No Tax","No Tax",ACTIVE,"","",Yes,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","",""
"859612001314","21st Amendment Blood Orange Cans 6 Pack","Craft Beer","",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,,,"859612001314",0.0000,0.0000,Airport,Ben E Keith,"","",7.9875000,11.9900,8.8800,8.8800,8.8800,8.8800,8.8800,8.8800,8.8800,8.8800,8.8800,No,No,No,No Drop Ship,,7.9875,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,"","","","","","","","","","","","","","","","","","","","","","","No Tax","No Tax",ACTIVE,"","",Yes,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","",""
"859612001031","21st Amendment Brew Free IPA Cans 6pk","Craft Beer","",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,oz,in,"859612001031",0.0000,0.0000,Airport,Ben E Keith,"","",7.9800000,11.9900,8.8800,8.8800,8.8800,8.8800,8.8800,8.8800,8.8800,8.8800,8.8800,No,No,No,No Drop Ship,,7.9800,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,"","","","","","","","","","","","","","","","","","","","","","","No Tax","Sales Tax",ACTIVE,"","",Yes,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","",""
"859612001185","21st Amendment El Sully Cans 6 Pack","Craft Beer","",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,,,"859612001185",0.0000,0.0000,Airport,Ben E Keith,"","",7.9875000,11.9900,8.8800,8.8800,8.8800,8.8800,8.8800,8.8800,8.8800,8.8800,8.8800,No,No,No,No Drop Ship,,7.9875,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,"","","","","","","","","","","","","","","","","","","","","","","No Tax","No Tax",DEPRECATED,"","",Yes,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","",""
"859612001024","21st Amendment Seasonal Release Cans 6 Pack","Craft Beer","",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,,,"859612001024",0.0000,0.0000,Airport,Ben E Keith,"","",7.9875000,11.9900,8.8800,8.8800,8.8800,8.8800,8.8800,8.8800,8.8800,8.8800,8.8800,No,No,No,No Drop Ship,,5.6000,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,"","","","","","","","","","","","","","","","","","","","","","","No Tax","No Tax",ACTIVE,"","",Yes,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","",""
"859612001581","21st Amendment Sparkle Cans 6 Pack","Craft Beer","",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,,,"859612001581",0.0000,0.0000,Airport,Ben E Keith,"","",7.9875000,11.9900,8.8800,8.8800,8.8800,8.8800,8.8800,8.8800,8.8800,8.8800,8.8800,No,No,No,No Drop Ship,,7.9875,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,"","","","","","","","","","","","","","","","","","","","","","","No Tax","No Tax",ACTIVE,"","",Yes,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","",""
"664228300047","22 Pirates Red Blend 750ml","Red New World","",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,,,"664228300047",0.0000,0.0000,Pleasant Valley,Virtuoso,"","",8.1200000,24.9900,18.7400,18.7400,18.7400,18.7400,18.7400,18.7400,18.7400,18.7400,18.7400,No,No,No,No Drop Ship,,16.8700,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,"Item Details","750ml","W","","","","","","","","","","","","","","","","","","","","No Tax","No Tax",ACTIVE,"","",Yes,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","",""
"856491003132","291 Barrel Proof Bourbon 750ml","Whiskey Bourbon/American","",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,,,"856491003132",0.0000,0.0000,Airport,Republic,"","",0.0000000,119.9900,93.7400,93.7400,93.7400,93.7400,93.7400,93.7400,93.7400,93.7400,93.7400,No,No,No,No Drop Ship,,82.4933,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,"Item Details","750ml","DS","","","","","","","","","","","","","","","","","","","","","",ACTIVE,"","",Yes,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","",""
"856491003057","291 Single Barrel Rye 750ml","Whiskey Rye","",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,,,"856491003057",0.0000,0.0000,Airport,Republic,"","",0.0000000,89.9900,68.1700,68.1700,68.1700,68.1700,68.1700,68.1700,68.1700,68.1700,68.1700,No,No,No,No Drop Ship,,59.9933,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,"Item Details","750ml","DS","","","","","","","","","","","","","","","","","","","","","",ACTIVE,"","",Yes,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","",""
"757725777013","3 Ball Zinfandel 2012 750ml","Red Zinfandel","",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,,,"757725777013",0.0000,0.0000,Airport,Pioneer,"","",7.0000000,11.9900,7.7800,7.7800,7.7800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,No,No,No,No Drop Ship,,7.0000,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,"Item Details","750ml","W","","","","","","","","","","","","","","","","","","","","","",DEPRECATED,"","",Yes,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","",""
"7500326689291","4 Copas Reposado 750ml","Tequila","",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,oz,in,"7500326689291",0.0000,0.0000,Pleasant Valley,Ben E Keith,"","",0.0000000,0.0000,40.7400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,No,No,No,No Drop Ship,,36.6700,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,"Item Details","750ml","DS","","","","","","","","","","","","","","","","","","","","No Tax","No Tax",ACTIVE,"","",Yes,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","",""
