CategoryDear,Customer,Category_Sold,Category_Total,Savings
Rum,Customer Square 1,222,239,1155.0266666666669
Rum,Customer Square 2,252,272,1204.83
Rum,Customer Square 3,193,261,7655.0250000000015
Sake,Customer Square 1,12,13,0.0
Sake,Customer Square 2,11,12,0.0
Sake,Customer Square 3,10,11,0.0
Shochu,Customer Square 1,20,22,0.0
Shochu,Customer Square 2,22,24,139.96
Shochu,Customer Square 3,9,21,771.74
Singani,Customer Square 1,1,2,32.99
Singani,Customer Square 2,2,2,0.0
Singani,Customer Square 3,1,2,135.96
Snacks,Customer Square 1,21,22,0.0
Snacks,Customer Square 2,1,3,3.421379310344827
Snacks,Customer Square 3,1,1,0.0
Soju,Customer Square 1,2,6,199.59999999999997
Soju,Customer Square 2,3,7,0.0
Soju,Customer Square 3,2,6,99.79999999999998
Sotol,Customer Square 1,24,26,311.92
Sotol,Customer Square 2,26,29,252.98000000000002
Sotol,Customer Square 3,21,30,1179.1733333333334
Tequila,Customer Square 1,175,190,2127.43
Tequila,Customer Square 2,241,275,3160.1
Tequila,Customer Square 3,202,232,4754.5
Tobacco,Customer Square 1,43,43,0.0
Tobacco,Customer Square 2,1,1,0.0
Tobacco,Customer Square 3,0,1,23.78640776699029
Vodka,Customer Square 1,152,155,71.97
Vodka,Customer Square 2,208,220,327.88
Vodka,Customer Square 3,151,165,1001.6700000000001
Whiskey American Single Malt,Customer Square 1,19,22,94.99
Whiskey American Single Malt,Customer Square 2,21,26,1033.9
Whiskey American Single Malt,Customer Square 3,13,22,1484.81
Whiskey Bourbon/American,Customer Square 1,379,399,1190.72
Whiskey Bourbon/American,Customer Square 2,409,433,4956.182307692307
Whiskey Bourbon/American,Customer Square 3,328,361,5816.357333333333
Whiskey Canadian,Customer Square 1,15,21,289.57086956521744
Whiskey Canadian,Customer Square 2,21,24,0.0
Whiskey Canadian,Customer Square 3,14,20,589.95
Whiskey Chech,Customer Square 2,0,1,0.0
Whiskey French,Customer Square 1,2,2,0.0
Whiskey French,Customer Square 2,1,2,319.95
Whiskey French,Customer Square 3,1,2,199.98
Whiskey Indian,Customer Square 1,1,7,494.91999999999996
Whiskey Indian,Customer Square 2,2,6,119.99
Whiskey Indian,Customer Square 3,1,4,65.98
Whiskey Irish,Customer Square 1,49,52,74.99
Whiskey Irish,Customer Square 2,60,69,1209.92
Whiskey Irish,Customer Square 3,41,56,2826.5571428571425
Whiskey Japanese,Customer Square 1,42,53,968.8899999999999
Whiskey Japanese,Customer Square 2,39,48,969.9200000000001
Whiskey Japanese,Customer Square 3,16,38,3353.629999999999
Whiskey Mexican,Customer Square 1,5,5,0.0
Whiskey Mexican,Customer Square 2,4,5,149.97
Whiskey Mexican,Customer Square 3,5,5,0.0
Whiskey Rye,Customer Square 1,101,113,1515.3500000000001
Whiskey Rye,Customer Square 2,110,123,2944.75
Whiskey Rye,Customer Square 3,93,112,3121.772553191489
Whiskey Scotch,Customer Square 1,165,196,3221.175
Whiskey Scotch,Customer Square 2,175,218,6137.4
Whiskey Scotch,Customer Square 3,123,189,14768.223333333332
Whiskey South African,Customer Square 2,1,1,0.0
Whiskey Taiwaneese,Customer Square 1,2,3,89.99
Whiskey Taiwaneese,Customer Square 2,2,3,89.99
Whiskey Taiwaneese,Customer Square 3,3,3,0.0
Whisky German,Customer Square 2,1,1,0.0
Whisky German,Customer Square 3,1,1,0.0
White,Customer Square 1,68,78,683.58
White,Customer Square 2,77,82,517.86
White,Customer Square 3,57,73,1842.146984126984
