Product,Customer,Count,Mean,Std,Min,Max,25,50,75,Action,ProductSKU,MinimumBeforeReorder,ReorderQuantity,ROUNDMEAN,ROUND75,diffmean,diff75
512 Citra Summer 6pk Bottles,Customer Square 1,5,0.134615384615385,0.439792177924203,0,2,0,0,0,Create/Update,852674006389,3,6,0,0,,
512 Citra Summer 6pk Bottles,Customer Square 2,6,0.153846153846154,0.455083060238432,0,2,0,0,0,Create/Update,852674006389,3,6,0,0,,
512 Citra Summer 6pk Bottles,Customer Square 3,0,0,0,0,0,0,0,0,Create/Update,852674006389,3,6,0,0,3,3
512 IPA 6pk Bottles,Customer Square 1,31,1.19230769230769,1.20955270719357,0,4,0,1,2,Create/Update,852674006068,3,4,1,2,,
512 IPA 6pk Bottles,Customer Square 2,34,1.32692307692308,1.78369920116501,0,10,0,1,2,Create/Update,852674006068,3,4,1,2,,
512 IPA 6pk Bottles,Customer Square 3,21,0.5,0.720576692122892,0,3,0,0,1,Create/Update,852674006068,3,4,1,1,2,2
512 Pale 6 Pack Bottles,Customer Square 1,21,0.519230769230769,0.720320030781848,0,3,0,0,1,Create/Update,852674006150,4,4,1,1,,
512 Pale 6 Pack Bottles,Customer Square 2,12,0.346153846153846,0.781630824342368,0,4,0,0,0,Create/Update,852674006150,4,4,0,0,,
512 Pale 6 Pack Bottles,Customer Square 3,2,0.038461538461539,0.192307692307692,0,1,0,0,0,Create/Update,852674006150,2,4,0,0,2,2
512 Pecan Porter 4pk Bottles,Customer Square 1,12,0.634615384615385,1.65283958635581,0,9,0,0,0,Create/Update,852674006044,3,6,1,0,,
512 Pecan Porter 4pk Bottles,Customer Square 2,19,0.634615384615385,1.01959354937012,0,5,0,0,1,Create/Update,852674006044,3,6,1,1,,
512 Wit 6 Pack Bottles,Customer Square 1,14,0.346153846153846,0.616585366995438,0,2,0,0,1,Create/Update,852674006143,4,4,0,1,,
512 Wit 6 Pack Bottles,Customer Square 2,7,0.134615384615385,0.341312295178824,0,1,0,0,0,Create/Update,852674006143,4,4,0,0,,
512 Wit 6 Pack Bottles,Customer Square 3,3,0.057692307692308,0.233160685634272,0,1,0,0,0,Create/Update,852674006143,1,4,0,0,1,1
6 Pack Bike Carrier,Customer Square 1,0,0,0,0,0,0,0,0,Create/Update,876718036903,2,6,0,0,,
6 Pack Bike Carrier,Customer Square 2,1,0,0,0,0,0,0,0,Create/Update,876718036903,2,6,0,0,,
6 Pack Bike Carrier,Customer Square 3,0,0,0,0,0,0,0,0,Create/Update,876718036903,2,6,0,0,2,2
99 Apple Schnapps 50ml,Customer Square 1,48,12.8269230769231,8.2432283487398,0,47,7.75,13,17.25,Create/Update,89000118397,60,120,13,17,,
99 Apple Schnapps 50ml,Customer Square 2,27,2.48076923076923,4.64712642647783,0,27,0,1,2,Create/Update,89000118397,60,120,2,2,,
99 Apple Schnapps 50ml,Customer Square 3,33,3.69230769230769,4.10224357722258,0,16,0,2.5,7,Create/Update,89000118397,12,120,4,7,8,5
99 Bananas 50ml,Customer Square 1,51,20.2307692307692,10.7231155500905,0,49,14,17.5,24.25,Create/Update,80660620992,60,120,20,24,,
99 Bananas 50ml,Customer Square 2,46,8.40384615384615,7.37266159899222,0,30,2.75,6,13.25,Create/Update,80660620992,60,120,8,13,,
99 Bananas 50ml,Customer Square 3,48,7,5.89654396822671,0,23,2,5,10.25,Create/Update,80660620992,24,120,7,10,17,14
99 Bananas 750ml,Customer Square 2,1,0.019230769230769,0.137335162087363,0,1,0,0,0,Create/Update,80660620053,2,12,0,0,,
99 Cherry Limeade 50ml,Customer Square 1,4,0.788461538461538,2.75497130001482,0,12,0,0,0,Create/Update,88004045418,60,120,1,0,,
99 Cherry Limeade 50ml,Customer Square 2,3,0.211538461538462,0.905889670254914,0,5,0,0,0,Create/Update,88004045418,60,120,0,0,,
99 Cherry Limeade 50ml,Customer Square 3,6,0.653846153846154,2.13833701906425,0,9,0,0,0,Create/Update,88004045418,24,120,1,0,23,24
99 Chocolate 50ml,Customer Square 1,0,0,0,0,0,0,0,0,Create/Update,88004045425,60,120,0,0,,
99 Chocolate 50ml,Customer Square 2,6,0.230769230769231,0.723649527777953,0,4,0,0,0,Create/Update,88004045425,60,120,0,0,,
99 Chocolate 50ml,Customer Square 3,3,0.173076923076923,0.801948440845886,0,5,0,0,0,Create/Update,88004045425,24,120,0,0,24,24
99 Fruit Punch 50ml,Customer Square 1,0,0,0,0,0,0,0,0,Create/Update,88004045456,60,120,0,0,,
99 Fruit Punch 50ml,Customer Square 2,5,0.230769230769231,0.749753411139151,0,4,0,0,0,Create/Update,88004045456,60,120,0,0,,
99 Fruit Punch 50ml,Customer Square 3,7,0.692307692307692,2.0897042626471,0,9,0,0,0,Create/Update,88004045456,24,120,1,0,23,24
99 Guava 50ml,Customer Square 1,0,0,0,0,0,0,0,0,Create/Update,88004045449,60,120,0,0,,
99 Guava 50ml,Customer Square 2,5,0.230769230769231,0.749753411139151,0,3,0,0,0,Create/Update,88004045449,60,120,0,0,,
99 Guava 50ml,Customer Square 3,0,0,0,0,0,0,0,0,Create/Update,88004045449,24,120,0,0,24,24
99 Mystery Flavor 50ml,Customer Square 1,0,0,0,0,0,0,0,0,Create/Update,88004045432,60,120,0,0,,
99 Mystery Flavor 50ml,Customer Square 2,6,0.346153846153846,1.15832464202889,0,6,0,0,0,Create/Update,88004045432,60,120,0,0,,
99 Mystery Flavor 50ml,Customer Square 3,3,0.076923076923077,0.330858664117024,0,2,0,0,0,Create/Update,88004045432,24,120,0,0,24,24
99 Party Bucket 50ml,Customer Square 1,23,0.807692307692308,1.19354774224484,0,5,0,0,1,Create/Update,88004034221,2,6,1,1,,
99 Party Bucket 50ml,Customer Square 2,15,0.403846153846154,0.714132485677967,0,3,0,0,1,Create/Update,88004034221,2,6,0,1,,
99 Party Bucket 50ml,Customer Square 3,7,0.153846153846154,0.410656855847358,0,2,0,0,0,Create/Update,88004034221,2,6,0,0,2,2
AUS Pet Nat 750ml,Customer Square 1,0,0,0,0,0,0,0,0,Create/Update,8437015853109,2,12,0,0,,
AUS Pet Nat 750ml,Customer Square 2,6,0.173076923076923,0.508434771784703,0,2,0,0,0,Create/Update,8437015853109,2,12,0,0,,
AUS Pet Nat 750ml,Customer Square 3,0,0,0,0,0,0,0,0,Create/Update,8437015853109,2,12,0,0,2,2
Abasolo Corn Whisky 50ml,Customer Square 1,8,0.384615384615385,1.02194848119896,0,4,0,0,0,Create/Update,7503027709251,12,60,0,0,,
Abasolo Corn Whisky 50ml,Customer Square 2,5,0.134615384615385,0.439792177924203,0,2,0,0,0,Create/Update,7503027709251,12,60,0,0,,
Abasolo Corn Whisky 50ml,Customer Square 3,4,0.134615384615385,0.519942532099838,0,3,0,0,0,Create/Update,7503027709251,12,60,0,0,12,12
Abasolo Corn Whisky 750ml,Customer Square 1,13,0.307692307692308,0.573064016375052,0,2,0,0,0.25,Create/Update,7503027709077,1,6,0,0,,
Abasolo Corn Whisky 750ml,Customer Square 2,18,0.403846153846154,0.596773871122419,0,2,0,0,1,Create/Update,7503027709077,2,6,0,1,,
Abasolo Corn Whisky 750ml,Customer Square 3,6,0.134615384615385,0.393644028662668,0,2,0,0,0,Create/Update,7503027709077,1,6,0,0,1,1
Aberfeldy 12y 750ml,Customer Square 1,29,0.903846153846154,1.06083449344618,0,4,0,1,1,Create/Update,80480220006,3,6,1,1,,
Aberfeldy 12y 750ml,Customer Square 2,44,1.44230769230769,1.00791982164451,0,5,1,1,2,Create/Update,80480220006,3,6,1,2,,
Aberfeldy 12y 750ml,Customer Square 3,9,0.173076923076923,0.378313761017423,0,1,0,0,0,Create/Update,80480220006,2,6,0,0,2,2
Aberfeldy 16y 750ml,Customer Square 1,3,0.057692307692308,0.233160685634272,0,1,0,0,0,Create/Update,80480006167,1,6,0,0,,
