,Category,SKU,ProductName,Location,OnHand,Par,Shy,Send
66,Liqueur,088004045418,99 Cherry Limeade 50ml,Oak Hill,75.0,0,-75.0,
67,Liqueur,088004045418,99 Cherry Limeade 50ml,Pleasant Valley,108.0,0,-108.0,
68,Liqueur,088004045425,99 Chocolate 50ml,Oak Hill,3.0,0,-3.0,
69,Liqueur,088004045425,99 Chocolate 50ml,Pleasant Valley,0.0,0,0.0,
70,Liqueur,088004045456,99 Fruit Punch 50ml,Oak Hill,95.0,0,-95.0,
71,Liqueur,088004045456,99 Fruit Punch 50ml,Pleasant Valley,116.0,0,-116.0,
72,Liqueur,088004045449,99 Guava 50ml,Pleasant Valley,0.0,0,0.0,
73,Liqueur,088004045432,99 Mystery Flavor 50ml,Oak Hill,2.0,0,-2.0,
74,Liqueur,088004045432,99 Mystery Flavor 50ml,Pleasant Valley,0.0,0,0.0,
75,Liqueur,088004034221,99 Party Bucket 50ml,Airport,5.0,2,-3.0,
76,Liqueur,088004034221,99 Party Bucket 50ml,Oak Hill,2.0,0,-2.0,
77,Liqueur,088004034221,99 Party Bucket 50ml,Pleasant Valley,5.0,1,-4.0,
78,Whiskey Mexican,7503027709251,Abasolo Corn Whisky 50ml,Airport,60.0,1,-59.0,
79,Whiskey Mexican,7503027709251,Abasolo Corn Whisky 50ml,Oak Hill,12.0,0,-12.0,
80,Whiskey Mexican,7503027709251,Abasolo Corn Whisky 50ml,Pleasant Valley,12.0,0,-12.0,
81,Whiskey Mexican,7503027709077,Abasolo Corn Whisky 750ml,Airport,16.0,1,-15.0,
82,Whiskey Mexican,7503027709077,Abasolo Corn Whisky 750ml,Oak Hill,10.0,0,-10.0,
83,Whiskey Mexican,7503027709077,Abasolo Corn Whisky 750ml,Pleasant Valley,17.0,1,-16.0,
84,Whiskey Scotch,080480220006,Aberfeldy 12y 750ml,Airport,7.0,2,-5.0,
85,Whiskey Scotch,080480220006,Aberfeldy 12y 750ml,Oak Hill,4.0,1,-3.0,
86,Whiskey Scotch,080480220006,Aberfeldy 12y 750ml,Pleasant Valley,4.0,2,-2.0,
87,Whiskey Scotch,080480006167,Aberfeldy 16y 750ml,Airport,4.0,0,-4.0,
88,Whiskey Scotch,080480006167,Aberfeldy 16y 750ml,Oak Hill,2.0,0,-2.0,
89,Whiskey Scotch,080480006167,Aberfeldy 16y 750ml,Pleasant Valley,2.0,0,-2.0,
90,Whiskey Scotch,080480984984,Aberfeldy 18y Exceptional Cask Series 750ml,Airport,0.0,0,0.0,
91,Whiskey Scotch,080480984984,Aberfeldy 18y Exceptional Cask Series 750ml,Pleasant Valley,2.0,0,-2.0,
92,Whiskey Scotch,080480986032,Aberfeldy 18y Pauillac Bordeaux LE 750ml,Airport,0.0,0,0.0,
93,Whiskey Scotch,080480986032,Aberfeldy 18y Pauillac Bordeaux LE 750ml,Pleasant Valley,0.0,0,0.0,
94,Whiskey Scotch,080480985929,Aberfeldy 20y Exceptional Cask Series 750ml,Airport,0.0,0,0.0,
95,Whiskey Scotch,080480985929,Aberfeldy 20y Exceptional Cask Series 750ml,Pleasant Valley,2.0,0,-2.0,
96,Whiskey Scotch,080480220013,Aberfeldy 21y 750ml,Airport,0.0,0,0.0,
97,Whiskey Scotch,080480220013,Aberfeldy 21y 750ml,Pleasant Valley,1.0,0,-1.0,
98,Whiskey Scotch,080432102145,Aberlour 12y 750ml,Airport,3.0,0,-3.0,
99,Whiskey Scotch,080432102145,Aberlour 12y 750ml,Oak Hill,2.0,0,-2.0,
100,Whiskey Scotch,080432102145,Aberlour 12y 750ml,Pleasant Valley,4.0,0,-4.0,
101,Whiskey Scotch,080432102169,Aberlour 16y 750ml,Airport,0.0,0,0.0,
102,Whiskey Scotch,080432102169,Aberlour 16y 750ml,Oak Hill,2.0,0,-2.0,
103,Whiskey Scotch,080432102169,Aberlour 16y 750ml,Pleasant Valley,0.0,0,0.0,
104,Whiskey Scotch,080432516171,Aberlour Abunadh 750ml,Airport,0.0,0,0.0,
105,Whiskey Scotch,080432516171,Aberlour Abunadh 750ml,Oak Hill,3.0,0,-3.0,
106,Whiskey Scotch,080432516171,Aberlour Abunadh 750ml,Pleasant Valley,0.0,0,0.0,
107,Whiskey Scotch,080432114612,Aberlour A'bunadh Alba 750ml,Airport,1.0,0,-1.0,
108,Whiskey Scotch,080432114612,Aberlour A'bunadh Alba 750ml,Oak Hill,2.0,0,-2.0,
109,Whiskey Scotch,080432114612,Aberlour A'bunadh Alba 750ml,Pleasant Valley,2.0,0,-2.0,
110,Bar Tools,12161216,Absinthe Brouilleur 3 Hole,Airport,2.0,0,-2.0,
111,Bar Tools,12161216,Absinthe Brouilleur 3 Hole,Oak Hill,3.0,0,-3.0,
112,Bar Tools,12161216,Absinthe Brouilleur 3 Hole,Pleasant Valley,1.0,0,-1.0,
113,Bar Tools,13021302,Absinthe Fountain 2 Spout,Airport,0.0,0,0.0,
114,Bar Tools,13021302,Absinthe Fountain 2 Spout,Pleasant Valley,0.0,0,0.0,
115,Bar Tools,13041304,Absinthe Fountain 4 Spout,Airport,0.0,0,0.0,
116,Bar Tools,13041304,Absinthe Fountain 4 Spout,Oak Hill,1.0,0,-1.0,
117,Bar Tools,13041304,Absinthe Fountain 4 Spout,Pleasant Valley,0.0,0,0.0,
118,Bar Tools,1234500000005,Absinthe Fountain 6 Spout Lady,Airport,0.0,0,0.0,
119,Bar Tools,1234500000005,Absinthe Fountain 6 Spout Lady,Pleasant Valley,0.0,0,0.0,
120,Bar Tools,13061306,Absinthe Fountain 6 Spout Rooster,Airport,1.0,0,-1.0,
121,Bar Tools,13061306,Absinthe Fountain 6 Spout Rooster,Oak Hill,1.0,0,-1.0,
122,Bar Tools,13061306,Absinthe Fountain 6 Spout Rooster,Pleasant Valley,0.0,0,0.0,
123,Bar Tools,13741374,Absinthe Fountain Glass 4 Spout,Airport,1.0,0,-1.0,
124,Bar Tools,13741374,Absinthe Fountain Glass 4 Spout,Pleasant Valley,0.0,0,0.0,
125,Glassware,14651465,Absinthe Glass Coupe,Airport,1.0,0,-1.0,
126,Glassware,14651465,Absinthe Glass Coupe,Oak Hill,2.0,0,-2.0,
127,Glassware,14651465,Absinthe Glass Coupe,Pleasant Valley,3.0,0,-3.0,
128,Glassware,14601460,Absinthe Glass Lyon,Airport,2.0,0,-2.0,
129,Glassware,14601460,Absinthe Glass Lyon,Oak Hill,2.0,0,-2.0,
130,Glassware,14601460,Absinthe Glass Lyon,Pleasant Valley,1.0,0,-1.0,
131,Glassware,14301430,Absinthe Glass Pontarlier,Airport,1.0,0,-1.0,
132,Glassware,14301430,Absinthe Glass Pontarlier,Oak Hill,3.0,0,-3.0,
133,Glassware,14301430,Absinthe Glass Pontarlier,Pleasant Valley,3.0,0,-3.0,
134,Glassware,14701470,Absinthe Glass Torsade,Airport,6.0,0,-6.0,
135,Glassware,14701470,Absinthe Glass Torsade,Oak Hill,8.0,0,-8.0,
136,Glassware,14701470,Absinthe Glass Torsade,Pleasant Valley,3.0,0,-3.0,
137,Bar Tools,1234500000008,Absinthe Saucer Lavender,Airport,0.0,0,0.0,
138,Bar Tools,1234500000008,Absinthe Saucer Lavender,Oak Hill,2.0,0,-2.0,
139,Bar Tools,1234500000008,Absinthe Saucer Lavender,Pleasant Valley,1.0,0,-1.0,
140,Bar Tools,1234500000009,Absinthe Saucer Yellow,Airport,4.0,0,-4.0,
141,Bar Tools,10031003,Absinthe Spoon,Airport,1.0,0,-1.0,
142,Bar Tools,10031003,Absinthe Spoon,Oak Hill,13.0,0,-13.0,
143,Bar Tools,10031003,Absinthe Spoon,Pleasant Valley,0.0,1,1.0,1.0
144,Garnish,859868004619,Absinthe Sugar Cubes (20pack),Airport,0.0,0,0.0,
145,Garnish,859868004619,Absinthe Sugar Cubes (20pack),Oak Hill,11.0,1,-10.0,
146,Garnish,859868004619,Absinthe Sugar Cubes (20pack),Pleasant Valley,0.0,1,1.0,1.0
147,Garnish,1234500000011,Absinthe Sugar Cubes (2pack),Airport,737.0,9,-728.0,
148,Garnish,1234500000011,Absinthe Sugar Cubes (2pack),Oak Hill,44.0,0,-44.0,
149,Garnish,1234500000011,Absinthe Sugar Cubes (2pack),Pleasant Valley,656.0,9,-647.0,
150,Vodka,835229001404,Absolut Citron 1L,Pleasant Valley,1.0,0,-1.0,
151,Vodka,835229000711,Absolut Elyx 750ml,Airport,6.0,0,-6.0,
152,Vodka,835229000711,Absolut Elyx 750ml,Oak Hill,3.0,0,-3.0,
153,Vodka,835229000711,Absolut Elyx 750ml,Pleasant Valley,2.0,0,-2.0,
154,Vodka,835229010116,Absolut Pride 1L,Pleasant Valley,1.0,0,-1.0,
155,Vodka,835229006409,Absolut Vanilla 1L,Pleasant Valley,11.0,1,-10.0,
156,Vodka,835229000100,Absolut Vodka 200ml,Airport,9.0,1,-8.0,
157,Vodka,835229000100,Absolut Vodka 200ml,Oak Hill,0.0,1,1.0,
158,Vodka,835229000100,Absolut Vodka 200ml,Pleasant Valley,0.0,0,0.0,
159,Vodka,835229000209,Absolut Vodka 375ml,Airport,13.0,0,-13.0,
160,Vodka,835229000209,Absolut Vodka 375ml,Oak Hill,1.0,1,0.0,
