Action,ProductSKU,ProductName,Location,MinimumBeforeReorder,ReorderQuantity,Stock Locator,PickZones
Create/Update,899109002196,Badenhorst Caperitif 750ml,Customer Square 3,0,6,,
Create/Update,086767210098,Baileys 375ml,Customer Square 3,0,12,,
Create/Update,086767210067,Baileys 750ml,Customer Square 3,0,12,,
Create/Update,082000776284,Baileys Almande 750ml,Customer Square 3,0,12,,
Create/Update,852757002017,Balcones Baby Blue 750ml,Customer Square 3,2,6,,
Create/Update,852757002055,Balcones Brimstone 750ml,Customer Square 3,0,6,,
Create/Update,852757002697,Balcones Lineage 750ml,Customer Square 3,0,6,,
Create/Update,852757002536,Balcones Pot Still Bourbon 750ml,Customer Square 3,6,6,,
Create/Update,852757002000,Balcones Rumble 750ml,Customer Square 3,0,6,,
Create/Update,852757002291,Balcones Rye 100 750ml,Customer Square 3,6,6,,
Create/Update,852757002345,Balcones Single Malt 50ml,Customer Square 3,0,72,,
Create/Update,852757002031,Balcones Texas Single Malt No 1 750ml,Customer Square 3,0,6,,
Create/Update,852757002062,Balcones True Blue 100 Proof 750ml,Customer Square 3,0,6,,
Create/Update,083664112210,Balvenie 12y Doublewood 750ml,Customer Square 3,2,12,,
Create/Update,083664871681,Balvenie 14y Caribbean 750ml,Customer Square 3,1,6,,
Create/Update,083664873197,Balvenie 15y Sherry Cask 750ml,Customer Square 3,0,6,,
Create/Update,083664858415,Balvenie 21y Portwood 750ml,Customer Square 3,0,3,,
Create/Update,736040542964,Banhez Cuishe 750ml,Customer Square 3,0,1,,
Create/Update,736040538073,Banhez Espadin 1L,Customer Square 3,82,6,,
Create/Update,736040538837,Banhez Espadin 375ml,Customer Square 3,0,12,,
Create/Update,736040542988,Banhez Tobala 750ml,Customer Square 3,0,1,,
Create/Update,080480007072,Banks 5 White Rum 750ml,Customer Square 3,0,6,,
Create/Update,080480007089,Banks 7 Golden Rum 750ml,Customer Square 3,0,6,,
Create/Update,760921594803,Banner Vodka 750ml,Customer Square 3,0,6,,
Create/Update,855675001476,Bar Keep Apple Bitters 8oz,Customer Square 3,1,4,,
Create/Update,855675001490,Bar Keep Lavender Bitters 8oz,Customer Square 3,0,4,,
Create/Update,8410061018173,Barbadillo Amontillado Dry Sherry 750ml,Customer Square 3,0,12,,
Create/Update,8410061018166,Barbadillo Fino 750ml,Customer Square 3,0,12,,
Create/Update,857552008271,Bardstown Bourbon Company Ferrand Cask 750ml,Customer Square 3,0,6,,
Create/Update,080368533105,Barenjager Honey 1L,Customer Square 3,0,2,,
Create/Update,096925003042,Barnard Griffin Rose 750ml,Customer Square 3,0,12,,
Create/Update,852735003029,Barr Hill Gin 750ml,Customer Square 3,1,6,,
Create/Update,852735003111,Barr Hill Tomcat Gin 750ml,Customer Square 3,0,6,,
Create/Update,736040002789,Barrell Armida 750ml,Customer Square 3,0,2,,
Create/Update,736040539797,Barrell Dovetail 750ml,Customer Square 3,0,2,,
Create/Update,736040002796,Barrell Seagrass 750ml,Customer Square 3,0,2,,
Create/Update,736040542032,Barrell Whiskey Infinite Project 750ml,Customer Square 3,0,2,,
Create/Update,045635366800,Barrows Intense Ginger 750ml,Customer Square 3,3,6,,
Create/Update,849806002357,Basic Vodka 1L,Customer Square 3,29,12,,
Create/Update,080686012122,Basil Hayden 375ml,Customer Square 3,0,12,,
Create/Update,080686012405,Basil Hayden Bourbon 750ml,Customer Square 3,17,6,,
Create/Update,080686012146,Basil Hayden Dark Rye 750ml,Customer Square 3,0,6,,
Create/Update,080686012344,Basil Hayden Toast 750ml,Customer Square 3,0,6,,
Create/Update,9024153100432,Batavia Arrack Van Oosten 750ml,Customer Square 3,3,3,,
Create/Update,086785500232,Bauchant Napoleon 1L,Customer Square 3,1,6,,
Create/Update,080432106624,Becherovka 750ml,Customer Square 3,2,6,,
Create/Update,089540507590,Beefeater 24 1L,Customer Square 3,0,6,,
Create/Update,089540333489,Beefeater Gin 1L,Customer Square 3,14,12,,
Create/Update,609224885853,Belle Meade Bourbon 750ml,Customer Square 3,0,6,,
Create/Update,602938786669,Belle Meade Reserve Cask 750ml,Customer Square 3,0,6,,
Create/Update,850346005173,Beluga Allure 750ml,Customer Square 3,0,6,,
Create/Update,850346005012,Beluga Noble 1L,Customer Square 3,1,6,,
Create/Update,850346005067,Beluga Noble Gold 750ml,Customer Square 3,0,6,,
Create/Update,087116069688,Belvedere Vodka 750ml,Customer Square 3,9,6,,
Create/Update,5060716140266,BenRiach The Smoky Twelve 12y 750ml,Customer Square 3,0,6,,
Create/Update,088004020835,Benchmark 1L,Customer Square 3,44,12,,
Create/Update,851718000680,Benhams Barrel Finished Gin 750ml,Customer Square 3,0,6,,
Create/Update,851718000697,Benhams Sonoma Dry Gin 750ml,Customer Square 3,0,6,,
Create/Update,751313566140,Beniotome Miyabi Whisky 750ml,Customer Square 3,0,6,,
Create/Update,747020192413,Benromach 10yr 750ml,Customer Square 3,0,6,,
Create/Update,096749941001,Bernheim Wheat Whiskey 750ml,Customer Square 3,0,6,,
Create/Update,761503452511,Berto Aperitiv Tradission 1L,Customer Square 3,0,2,,
Create/Update,761503452498,Berto Aperitivo Liquore 1L,Customer Square 3,0,2,,
Create/Update,761503452672,Berto Dry Gin 1L,Customer Square 3,0,4,,
Create/Update,761503452566,Berto Extra Secco 1L,Customer Square 3,0,4,,
Create/Update,761503452535,Berto Ross Da Travaj 1L,Customer Square 3,1,4,,
Create/Update,856803003010 ,Better Half Sauvignon Blanc 750ml,Customer Square 3,0,12,,
Create/Update,852322814199,Bigallet China 750ml,Customer Square 3,3,3,,
Create/Update,852322824068,Bigallet Thym Liqueur 750ml,Customer Square 3,1,3,,
Create/Update,860012000326,Bitter Queens Chinese 5 Spice Bitters 5oz,Customer Square 3,0,4,,
Create/Update,860012000302,Bitter Queens Chocolate Walnut Bitters 5oz,Customer Square 3,0,4,,
Create/Update,860012000333,Bitter Queens Eucalyptus Bitters 5oz,Customer Square 3,0,4,,
Create/Update,860012000319,Bitter Queens Sarsparilla Bitters 5oz,Customer Square 3,0,4,,
Create/Update,860012000364,Bitter Queens Thai Spice Bitters 5oz,Customer Square 3,0,4,,
Create/Update,860012000357,Bitter Queens Tobacco Bitters 5oz,Customer Square 3,0,6,,
Create/Update,810255020001,Bitter Truth Aromatic Bitters 200ml,Customer Square 3,0,12,,
Create/Update,810255020032,Bitter Truth Celery Bitters 200ml,Customer Square 3,1,12,,
Create/Update,810255020049,Bitter Truth Creole Bitters 200ml,Customer Square 3,2,12,,
Create/Update,810255020346,Bitter Truth Cucumber Bitters 200ml,Customer Square 3,1,12,,
Create/Update,810255020100,Bitter Truth Elderflower 750ml,Customer Square 3,0,6,,
Create/Update,810255020063,Bitter Truth Grapefruit Bitters 200ml,Customer Square 3,0,12,,
Create/Update,810255020056,Bitter Truth Jerry Thomas Bitters 200ml,Customer Square 3,5,12,,
Create/Update,810255020018,Bitter Truth Orange Bitters 200ml,Customer Square 3,1,12,,
Create/Update,810255020230,Bitter Truth Peach Bitters 200ml,Customer Square 3,1,12,,
Create/Update,810255020070,Bitter Truth Spiced Chocolate Bitters 200ml,Customer Square 3,0,12,,
Create/Update,737212282862,Bittercube Cherry Bark Vanilla Bitters 5oz,Customer Square 3,1,12,,
Create/Update,737212282770,Bittercube Corazon Bitters 5oz,Customer Square 3,2,4,,
Create/Update,737212282879,Bittercube Jamaican 1 5oz,Customer Square 3,0,1,,
Create/Update,610074058007,Bittermens Boston Bitters 5oz,Customer Square 3,0,12,,
Create/Update,856972005259,Bittermens Buckspice Ginger Bitters 5oz,Customer Square 3,0,12,,
Create/Update,856972005204,Bittermens Burlesque Bitters 5oz,Customer Square 3,0,12,,
Create/Update,856972005235,Bittermens Hellfire Shrub 5oz,Customer Square 3,10,12,,
Create/Update,856972005174,Bittermens Hopped Grapefruit Bitters 5oz,Customer Square 3,0,12,,
Create/Update,856972005280,Bittermens Krupnik Honey Bitters 5oz,Customer Square 3,0,12,,
Create/Update,856972005273,Bittermens New England Cranberry Bitters 5oz,Customer Square 3,0,12,,
Create/Update,856972005211,Bittermens Orange Cream 5oz,Customer Square 3,0,12,,
Create/Update,856972005228,Bittermens Orchard Street Celery Shrub 5oz,Customer Square 3,0,12,,
Create/Update,856972005242,Bittermens Scarborough Bitters 5oz,Customer Square 3,0,12,,
Create/Update,856972005181,Bittermens Tiki Bitters 5oz,Customer Square 3,2,12,,
Create/Update,856972005266,Bittermens Transatlantic 5oz,Customer Square 3,0,12,,
Create/Update,856972005297,Bittermens Winter Melon Tart Bitters 5oz,Customer Square 3,0,12,,
Create/Update,856972005167,Bittermens Xocolatl Mole Bitters 5oz,Customer Square 3,12,12,,
Create/Update,5060119770121,Blackwell Black Gold Reserve 750ml,Customer Square 3,7,4,,
Create/Update,08249801,Blade and Bow 750ml,Customer Square 3,0,6,,
Create/Update,858315004004,Bloody Revolution Bloody Mary Mix 1L,Customer Square 3,54,12,,
Create/Update,868781000011,Blue Owl Spirit Animal Cans 6 Pack,Customer Square 3,0,4,,
Create/Update,053500003675,Bluebird White Grapefruit 5.5oz,Customer Square 3,0,48,,
Create/Update,9024153030364,Blume Marillen Apricot Eau de Vie 750ml,Customer Square 3,0,3,,
Create/Update,8710631219598,Bobby's Jenever 750ml,Customer Square 3,0,3,,
Create/Update,8710631219031,Bobbys Dry Gin 750ml,Customer Square 3,0,2,,
Create/Update,080480300012,Bombay Dry Gin 1L,Customer Square 3,3,12,,
Create/Update,080480002107,Bombay Sapphire East 1L,Customer Square 3,0,12,,
Create/Update,3274510003920,Bonal Gentiane Quina 750ml,Customer Square 3,2,4,,
Create/Update,8413884102197,Bonanto Aperitivo 750ml,Customer Square 3,0,6,,
Create/Update,811538016001,Boodles Gin 750ml,Customer Square 3,0,12,,
Create/Update,850887004703,Boomerang Spiced Cherry 750ml,Customer Square 3,0,2,,
Create/Update,084105981013,Borghetti Caffe Espresso 750ml,Customer Square 3,5,6,,
Create/Update,022592007014,Bottled Water,Customer Square 3,0,48,,
Create/Update,786992211685,Bounty Dark Rum 1L,Customer Square 3,3,4,,
Create/Update,786992211548,Bounty Spiced Rum 1L,Customer Square 3,1,4,,
Create/Update,786992000234,Bounty White 1L,Customer Square 3,33,4,,
Create/Update,869743000308,Bouvery CV Chocolate Vodka 375ml,Customer Square 3,1,2,,
Create/Update,850483000055,Bowmore 12y 750ml,Customer Square 3,0,6,,
Create/Update,850483000109,Bowmore 15y 750ml,Customer Square 3,0,6,,
Create/Update,894958002007,Boyd and Blair Potato Vodka 750ml,Customer Square 3,1,4,,
Create/Update,856442005840,Bozal Barril 750ml,Customer Square 3,0,6,,
Create/Update,856442005512,Bozal Borrego 750ml,Customer Square 3,0,6,,
Create/Update,856442005499,Bozal Castilla 750ml,Customer Square 3,0,6,,
Create/Update,856442005802,Bozal Cenizo 750ml,Customer Square 3,0,6,,
Create/Update,856442005390,Bozal Cuishe 750ml,Customer Square 3,0,6,,
Create/Update,856442005208,Bozal Ensamble 750ml,Customer Square 3,0,6,,
Create/Update,810034600226,Bozal Guais De Calabaza 750ml,Customer Square 3,0,6,,
Create/Update,856442005819,Bozal Iberico Sacrificio 750ml,Customer Square 3,1,6,,
Create/Update,856442005826,Bozal Jabali 750ml,Customer Square 3,0,6,,
Create/Update,856442005222,Bozal Pechuga 750ml,Customer Square 3,0,6,,
Create/Update,856442005796,Bozal Sacatoro 750ml,Customer Square 3,0,6,,
Create/Update,856442005789,Bozal Tepeztate 750ml,Customer Square 3,0,6,,
Create/Update,856442005864,Bozal Tobala 750ml,Customer Square 3,0,6,,
Create/Update,856442005406,Bozal Tobasiche 750ml,Customer Square 3,0,6,,
Create/Update,898563002209,Branca Menta 750ml,Customer Square 3,12,6,,
Create/Update,721059002264,Braulio Amaro 1L,Customer Square 3,2,6,,
Create/Update,853826005298,Breckenridge Port Cask 750ml,Customer Square 3,0,6,,
Create/Update,851532004017,Brenne 10y Single Malt 750ml,Customer Square 3,0,12,,
Create/Update,851532004000,Brenne Single Malt Estate Cask 750ml,Customer Square 3,0,12,,
Create/Update,5690772001005,Brennivin Aquavit 1L,Customer Square 3,0,2,,
Create/Update,803433000032,Brokers Gin 1L,Customer Square 3,38,6,,
Create/Update,736040019251,Brooklyn Gin 750ml,Customer Square 3,0,6,,
Create/Update,816136027091,Brothers Bond Bourbon 750ml,Customer Square 3,0,6,,
Create/Update,812066021512,Brugal 1888 750ml,Customer Square 3,0,6,,
Create/Update,812066020065,Brugal Anejo Rum 1L,Customer Square 3,2,12,,
Create/Update,812066020102,Brugal Extra Dry White 1L,Customer Square 3,1,12,,
Create/Update,812066020171,Brugal Extra Viejo 750ml,Customer Square 3,0,12,,
Create/Update,087236700386,Bruichladdich Classic Laddie 750ml,Customer Square 3,0,6,,
Create/Update,087236700805,Bruichladdich Port Charlotte 10 Heavily Peated 750ml,Customer Square 3,0,6,,
Create/Update,088110955328,Buchanans 12y 750ml,Customer Square 3,0,12,,
Create/Update,018200530470,Bud light Cans 12 Pack,Customer Square 3,0,2,,
Create/Update,123469,Budget Muddler,Customer Square 3,0,8,,
Create/Update,080244009212,Buffalo Trace 1.75L,Customer Square 3,0,12,,
Create/Update,080244009229,Buffalo Trace 1L,Customer Square 3,57,12,,
Create/Update,080244009250,Buffalo Trace 375ml,Customer Square 3,0,12,,
Create/Update,080244003715,Buffalo Trace Bourbon Cream 750ml,Customer Square 3,0,12,,
Create/Update,082000778516,Bulleit Barrel Strength 750ml,Customer Square 3,1,6,,
Create/Update,087000004047,Bulleit Bourbon 1.75L,Customer Square 3,0,6,,
Create/Update,082000760832,Bulleit Bourbon 10y 750ml,Customer Square 3,0,12,,
Create/Update,087000005549,Bulleit Bourbon 1L,Customer Square 3,12,12,,
Create/Update,087000004122,Bulleit Bourbon 375ml,Customer Square 3,3,12,,
Create/Update,08755603,Bulleit Bourbon 50ml,Customer Square 3,0,120,,
Create/Update,087000005525,Bulleit Bourbon 750ml,Customer Square 3,49,12,,
Create/Update,082000752974,Bulleit Rye 1L,Customer Square 3,16,12,,
Create/Update,082000766087,Bulleit Rye 375ml,Customer Square 3,0,12,,
Create/Update,082000752967,Bulleit Rye 750ml,Customer Square 3,32,12,,
Create/Update,813497006147,Bumbu XO 750ml,Customer Square 3,0,6,,
Create/Update,850009098016,Burrito Fiestero Ancestral Joven Durango 750ml,Customer Square 3,0,6,,
Create/Update,850009098009,Burrito Fiestero Artesanal Joven Cenizo 750ml,Customer Square 3,2,6,,
Create/Update,850009098108,Burrito Fiestero Artesanal Joven Ensamble 750ml,Customer Square 3,0,6,,
Create/Update,765531073410,Bushido Series Meiyo 15y 750ml,Customer Square 3,0,1,,
Create/Update,811538016162,Bushmills White Label 750ml,Customer Square 3,0,12,,
Create/Update,630637224359,Byrrh Grand Quinquina 750ml,Customer Square 3,0,4,,
Create/Update,861521000104,Caffe Del Fuego 750ml,Customer Square 3,6,6,,
Create/Update,812482007091,Caffo Amaretto Fratelli d'Italia 750ml,Customer Square 3,1,12,,
Create/Update,812482007572,Caffo Limoncino Dell Isola 750ml,Customer Square 3,0,12,,
Create/Update,721059047500,Campari 750ml,Customer Square 3,2,12,,
Create/Update,850010619132,Canteen Black Cherry Vodka Soda 12oz 6pk,Customer Square 3,0,4,,
Create/Update,850010619354,Canteen Pineapple Vodka Soda 12oz 6pk,Customer Square 3,0,4,,
Create/Update,088076163461,Caol Ila 12y 750ml,Customer Square 3,0,6,,
Create/Update,088076179707,Caol Ila 15y 750ml,Customer Square 3,0,6,,
Create/Update,3268140000152,Cap Corse Quinquina Blanc 750ml,Customer Square 3,0,4,,
Create/Update,3268140000145,Cap Corse Quinquina Rouge 750ml,Customer Square 3,0,4,,
Create/Update,8018571001021,Cappelletti Vino Aperitivo 750ml,Customer Square 3,6,4,,
Create/Update,087000002715,Captain Morgan 750ml,Customer Square 3,0,12,,
Create/Update,080660776057,Caravella Limoncello 750ml,Customer Square 3,0,6,,
Create/Update,080660776163,Caravella Orangecello 750ml,Customer Square 3,0,6,,
Create/Update,8003360800756,Cardamaro Vino Amaro 750ml,Customer Square 3,3,4,,
Create/Update,810845030045,Carolans 750ml,Customer Square 3,0,12,,
Create/Update,898563002506,Carpano Antica 375ml,Customer Square 3,0,12,,
Create/Update,898563002599,Carpano Antica 50ml,Customer Square 3,0,120,,
Create/Update,898563002605,Carpano Antica 750ml,Customer Square 3,0,6,,
Create/Update,8004400076971,Carpano Bianco 1L,Customer Square 3,1,6,,
Create/Update,898563002551,Carpano Bianco 375ml,Customer Square 3,0,12,,
Create/Update,898563002612,Carpano Botanic Bitter 1L,Customer Square 3,0,6,,
Create/Update,898563002537,Carpano Dry Vermouth 1L,Customer Square 3,2,6,,
Create/Update,084105311315,Carpano Punt E Mes 750ml,Customer Square 3,5,6,,
Create/Update,5602246111110,Casa Do Valle Vino Verde 750ml,Customer Square 3,0,12,,
Create/Update,856724006008,Casamigos Anejo 1L,Customer Square 3,2,6,,
Create/Update,856724006145,Casamigos Blanco 175L,Customer Square 3,0,6,,
Create/Update,856724006114,Casamigos Blanco 750ml,Customer Square 3,0,6,,
Create/Update,856724006213,Casamigos Reposado 750ml,Customer Square 3,0,6,,
Create/Update,718783000031,Cascahuin 48 750ml,Customer Square 3,0,2,,
Create/Update,718783000079,Cascahuin Anejo 750ml,Customer Square 3,0,4,,
Create/Update,718783000048,Cascahuin Blanco 750ml,Customer Square 3,1,4,,
Create/Update,718783000086,Cascahuin Reposado 750ml,Customer Square 3,0,4,,
Create/Update,718783000062,Cascahuin Tahona 750ml,Customer Square 3,0,1,,
Create/Update,852657007037,Castle and Key London Dry Gin 750ml,Customer Square 3,0,2,,
Create/Update,852657007204,Castle and Key Restoration Rye 750ml,Customer Square 3,0,2,,
Create/Update,852657007266,Castle and Key Rise Gin 750ml,Customer Square 3,0,2,,
Create/Update,852657007044,Castle and Key Vodka 750ml,Customer Square 3,0,2,,
Create/Update,851484003076,Cathead Honeysuckle Vodka 750ml,Customer Square 3,0,12,,
Create/Update,855397002003,Catoctin Creek Roundstone Rye 80 proof 750ml,Customer Square 3,0,2,,
Create/Update,080480172015,Cazadores Blanco 1L,Customer Square 3,8,12,,
Create/Update,080480170103,Cazadores Reposado 1L,Customer Square 3,1,12,,
Create/Update,859824001300,Cedar Ridge Bourbon 750ml,Customer Square 3,0,6,,
Create/Update,859824001980,Cedar Ridge Quintessential Single Malt 750ml,Customer Square 3,0,6,,
Create/Update,7500462197360,Chacolo Lineno 750ml,Customer Square 3,0,1,,
Create/Update,786992210121,Chairmans Forgotten Cask 750ml,Customer Square 3,0,2,,
Create/Update,786992000449,Chairmans Reserve 750ml,Customer Square 3,2,2,,
Create/Update,786992000609,Chairmans Spiced Rum 750ml,Customer Square 3,3,4,,
Create/Update,083300034524,Chambord 375ml,Customer Square 3,0,12,,
Create/Update,123470,Champagne Stopper Black,Customer Square 3,0,24,,
Create/Update,086785191102,Chamucos Anejo 750ml,Customer Square 3,0,6,,
Create/Update,086785191089,Chamucos Blanco 750ml,Customer Square 3,0,6,,
Create/Update,086785191096,Chamucos Reposado 750ml,Customer Square 3,0,6,,
Create/Update,0085155273837,Chandon Garden Spritz 750ml,Customer Square 3,0,6,,
Create/Update,853117005006,Chareau Aloe Liqueur 750ml,Customer Square 3,27,2,,
