ProductName,Airport,Oak Hill,Pleasant Valley,Warehouse
Koriko Small Shaker Black,3.0,12.0,8.0,
Koriko Small Shaker Copper,0.0,3.0,6.0,
Koriko Small Shaker Gold,0.0,0.0,0.0,
Koriko Small Shaker Stainless,0.0,11.0,1.0,0.0
Kuhn Rikon Peeler Black,16.0,9.0,18.0,
Kuhn Rikon Peeler Blue,1.0,18.0,0.0,0.0
Kuhn Rikon Peeler Green,9.0,19.0,17.0,
Kuhn Rikon Peeler Red,9.0,19.0,8.0,
Kuhn Rikon Peeler White,10.0,18.0,12.0,
Lemon Juicer,5.0,8.0,30.0,
Lucio Canvas Apron with Liner,0.0,1.0,0.0,
Lucio Leather Apron NO Lining,1.0,,0.0,
Lucio Leather Apron w/ Lining,1.0,1.0,0.0,
Lucio Wax canvas Apron w/ Liner,1.0,1.0,1.0,
Match Strike Cafe Paris,0.0,0.0,0.0,
Match Strike Dicharry,0.0,4.0,3.0,
Match Strike Laurent,0.0,,0.0,
Match Strike Liqueur Malette,0.0,,0.0,
Match Strike Maison DuPre,0.0,,1.0,
Metal Straws,180.0,,156.0,1191.0
Mint Julep Cup 12oz,,,0.0,
Modern Mixology Cherry Muddler,0.0,,0.0,
Modern Mixology Cobbler Shaker,,,0.0,
Modern Mixology Double Sided Jigger,0.0,,0.0,
Modern Mixology Hawthorne Strainer,0.0,,,
Modern Mixology Julep Strainer,0.0,,,
Modern Mixology Shaker Cup Small,5.0,,3.0,
Modern Mixology Straight Bar Spoon,0.0,,0.0,
Modern Mixology Twisted Bar Spoon 12,0.0,,0.0,
Modern Mixology Unetched Mixing Beaker,0.0,,,
Morgenthaler Champagne Sabre,0.0,,,
"OXO 6"" mesh strainer",0.0,,2.0,
OXO Acrylic Jigger,0.0,,0.0,
OXO Dome Mesh Strainer,0.0,,0.0,
OXO Double Jigger,0.0,,0.0,
OXO Mini Hawthorne Strainer,25.0,23.0,64.0,
OXO Steel Angle Jigger,1.0,19.0,16.0,
OXO Wooden Reamer,0.0,,0.0,
OXO Zester,1.0,,0.0,
Orange Juicer,0.0,,0.0,
Polishing Towel,2.0,,13.0,
Polka Dot and Stripe Paper Straw 24 Pack,4.0,,0.0,
Queen Beehive Aluminum Juicer,0.0,,1.0,
Ra Chand Citrus Juicer Medium J210,0.0,,0.0,
Ra Chand Citrus Juicer Mini J200,0.0,0.0,0.0,
Ra Chand Citrus Press Large J195,1.0,,0.0,
Ra Chand Citrus Press Small J185,0.0,,0.0,
Ra Chand Tortilla Maker CTM2000,,,1.0,
"Ra Chand Tortilla Press 8"" TP8",,,0.0,
"Richard Lindsay 11.5"" stirrer",0.0,,,
"Richard Lindsay 9"" Stirrer",0.0,,,
Rona Diamond Cut Beaker,12.0,1.0,6.0,
Rona Unetched Mixing Beaker,10.0,4.0,8.0,
Sertodo Bar Cart Platter,0.0,,,
Sertodo Boot Flask,3.0,2.0,2.0,
Sertodo Copper Bar Spoon,1.0,3.0,2.0,
Sertodo Grand Daddy Flask,1.0,2.0,1.0,
Sertodo Hip Flask,0.0,,,
Sertodo Ice Bowl,0.0,,,
Sertodo Ice Scoop,0.0,,1.0,
Sertodo Jigger,2.0,3.0,3.0,
Sertodo Julep Cup,0.0,,0.0,
Sertodo Luna Flask,1.0,1.0,1.0,
Sertodo Martini Cup,1.0,,1.0,
Sertodo Mixing Beaker,1.0,,0.0,
Sertodo Mule Mug Copper 18oz,0.0,,,
Sertodo No Handle  Mug 12oz,0.0,,0.0,
Sertodo Oval Platter,,,1.0,
Sertodo Shaker Set,2.0,3.0,1.0,
Sertodo Shot Cup Flight Set,1.0,0.0,0.0,
Sertodo Shot Regular 2oz,0.0,,,
Sertodo Shot Tequila 2oz,2.0,1.0,0.0,
Sokata 500ml Mixing Glass,0.0,4.0,5.0,
Stainless Steel Cocktail Picks,71.0,16.0,11.0,0.0
Stainless Steel Flask,16.0,11.0,10.0,
Stainless Tapered Pourer,21.0,21.0,7.0,0.0
Standard Spoon Aero,0.0,,1.0,
Standard Spoon Hammered Mixing Beaker,0.0,1.0,0.0,
Standard Spoon Wingman,0.0,,1.0,
Trio Step Jigger,20.0,15.0,21.0,5.0
Tropical Paper Straws 24 Pack,0.0,,0.0,
True Zester,6.0,4.0,0.0,
Tumbler Straw Single,0.0,,0.0,
Urban Bar Japanese Jigger 1-2 oz Stainless,5.0,8.0,6.0,0.0
Usagi Cobbler Shaker Baby Rattle,0.0,5.0,3.0,
Vacu Vin Wine Saver Kit,9.0,15.0,9.0,0.0
Vacu Vin Wine Stopper,52.0,31.0,147.0,0.0
Viski Citrus Grater,4.0,6.0,10.0,
Viski Cleaning Towel,,0.0,6.0,
Viski Cobbler Shaker Black,4.0,7.0,13.0,
Viski Glacier Rocks,0.0,,0.0,
Viski Hawthorne Strainer Black,17.0,7.0,31.0,
Viski Hawthorne Strainer Copper,5.0,11.0,45.0,0.0
Viski Hawthorne Strainer Gold,11.0,13.0,38.0,
Viski Hawthorne Strainer Stainless,24.0,16.0,21.0,8.0
Viski Heavyweight Cobbler Shaker,10.0,8.0,25.0,
Viski Japanese Jigger .75-1.25oz Gold,7.0,3.0,0.0,
Viski Japanese Jigger 1-2 oz Black,3.0,9.0,9.0,
Viski Japanese Jigger 1-2 oz Copper,25.0,17.0,16.0,
Viski Japanese Jigger 1-2 oz Gold,9.0,9.0,10.0,
Viski Japanese Jigger 1-2 oz Stainless,10.0,16.0,5.0,9.0
Viski Leopold Jigger Black,16.0,9.0,21.0,
Viski Leopold Jigger Copper,16.0,11.0,24.0,
Viski Leopold Jigger Gold,12.0,9.0,18.0,
Viski Leopold Jigger stainless,14.0,13.0,7.0,3.0
Viski Lewis Bag and Mallet,8.0,11.0,10.0,0.0
Viski Mesh Cocktail Strainer,0.0,4.0,4.0,
Viski Mixing Beaker 500ml,24.0,16.0,20.0,
Viski Pitchfork Ice Pick,10.0,2.0,13.0,
Viski Stemmed Mixing Glass,4.0,1.0,0.0,
Viski Teardrop Barspoon 40cm Black,21.0,9.0,19.0,
Viski Teardrop Barspoon 40cm Copper,36.0,12.0,43.0,0.0
Viski Teardrop Barspoon 40cm Gold,22.0,11.0,28.0,
Viski Teardrop Barspoon 40cm Stainless,21.0,20.0,44.0,7.0
Viski Trident Barspoon 40cm Stainless,1.0,,7.0,
