,ProductCode,Name,Category,Type,Barcode,MinimumBeforeReorder,ReorderQuantity,DefaultLocation,LastSuppliedBy,SupplierProductCode,SupplierFixedPrice,PriceTier1,PriceTier2,PriceTier3,PriceTier4,PriceTier5,PriceTier6,PriceTier7,PriceTier8,PriceTier9,PriceTier10,AverageCost,DefaultUnitOfMeasure,InventoryAccount,RevenueAccount,ExpenseAccount,COGSAccount,ProductAttributeSet,AdditionalAttribute1,AdditionalAttribute2,AdditionalAttribute3,AdditionalAttribute4,PurchaseTaxRule,SaleTaxRule,Status,Description,ShortDescription,Sellable,AlwaysShowQuantity,InternalNote
125,835229010802,Absolut Juice Apple 1L,Vodka,Stock,835229010802,0.0,0.0,Airport,Republic,,21.15,29.99,23.5,23.5,23.5,23.5,23.5,23.5,23.5,23.5,23.5,7.99,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,Item Details,1L,DS,,,No Tax,No Tax,ACTIVE,,,Yes,0.0,
126,835229010840,Absolut Juice Pear & Elderflower 1L,Vodka,Stock,835229010840,0.0,0.0,Airport,Republic,,21.15,29.99,23.5,23.5,23.5,23.5,23.5,23.5,23.5,23.5,23.5,7.99,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,Item Details,1L,DS,,,No Tax,No Tax,ACTIVE,,,Yes,0.0,
128,835229010819,Absolut Juice Strawberry 1L,Vodka,Stock,835229010819,0.0,0.0,Airport,Republic,,21.15,29.99,23.5,23.5,23.5,23.5,23.5,23.5,23.5,23.5,23.5,11.374,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,Item Details,1L,DS,,,No Tax,No Tax,ACTIVE,,,Yes,0.0,
138,835229000001,Absolut Vodka 50ml,Vodka,Stock,835229000001,0.0,0.0,Airport,Republic,,0.0,2.99,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,0.0,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,Item Details,50ml,DS,,,No Tax,No Tax,ACTIVE,,,Yes,0.0,
142,664841021121,Acha Vermouth Blanco 750ml,Fortified,Stock,664841021121,0.0,0.0,Airport,Ambiente,,13.56,19.99,17.56,17.56,17.56,17.56,17.56,17.56,17.56,17.56,17.56,0.0,Item,_28_: Inventory,_1_: Sales,_26_: Cost of Goods Sold,_26_: Cost of Goods Sold,Item Details,750ml,W,,,,,ACTIVE,,,Yes,0.0,
157,9780843182378,Adult Madlibs Ode to Alcohol,Books,Stock,9780843182378,0.0,0.0,Airport,True Fabrications,,5.5,10.99,10.99,10.99,10.99,10.99,10.99,10.99,10.99,10.99,10.99,5.5,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,Item Details,,,,,No Tax,No Tax,ACTIVE,,,Yes,0.0,
158,024291261360,Advil 2 Pack,Retail,Stock,024291261360,0.0,0.0,Airport,Gama,,0.42,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2682,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,Item Details,,,,,,,ACTIVE,,,Yes,0.0,
168,1234500000013,AKA Mixology Butterfly Pea Tea,Garnish,Stock,1234500000013,0.0,0.0,Airport,AKA Mixology,,3.0,6.0,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,0.0,Item,_28_: Inventory,_1_: Sales,_26_: Cost of Goods Sold,_26_: Cost of Goods Sold,Item Details,,,,,,,ACTIVE,,,Yes,0.0,
169,1234500000014,AKA Mixology Salt,Garnish,Stock,1234500000014,0.0,0.0,Airport,AKA Mixology,,3.6,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,3.6,Item,_28_: Inventory,_1_: Sales,_26_: Cost of Goods Sold,_26_: Cost of Goods Sold,Item Details,,,,,,,ACTIVE,,,Yes,0.0,
174,4969265720336,Akashi Single Malt Sake Cask 3 yr 750ml,Whiskey Japanese,Stock,4969265720336,0.0,0.0,Pleasant Valley,Victory,,0.0,205.99,159.5,159.5,159.5,159.5,0.0,0.0,0.0,0.0,0.0,101.0,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,Item Details,750ml,DS,,,No Tax,No Tax,ACTIVE,,,Yes,0.0,
193,812465000668,AleSmith Speedway Stout 16oz,Craft Beer,Stock,812465000668,0.0,0.0,Airport,Flood,,0.0,7.99,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,2.6229,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,Item Details,4/16oz,B,,,No Tax,No Tax,ACTIVE,,,Yes,0.0,
206,871952000369,Alipus Ensamble San Andres 750ml,Mezcal,Stock,871952000369,0.0,0.0,Airport,Mexcor,,0.0,74.99,55.73,55.73,55.73,55.73,55.73,55.73,55.73,55.73,55.73,35.7569,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,Item Details,750ml,DS,,,,,ACTIVE,,,Yes,0.0,
228,7758369411915,Amargo Chuncho Bitters 75ml,Bitters,Stock,7758369411915,0.0,0.0,Airport,A Priori,,7.5,11.99,10.75,10.75,10.75,10.75,10.75,10.75,10.75,10.75,10.75,5.391,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,Item Details,75ml,,,,,,ACTIVE,,,Yes,0.0,
237,9781607747482,Amaro The Spirited World Of Bittersweet,Books,Stock,9781607747482,0.0,0.0,Airport,Random House,,13.0,25.99,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,13.0,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,Item Details,,,,,,,ACTIVE,,,Yes,0.0,
246,047995855079,American Spirit Black,Tobacco,Stock,047995855079,0.0,0.0,Airport,Gama,,6.97,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8635,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,Item Details,,,,,,,ACTIVE,,,Yes,0.0,
247,047995855086,American Spirit Blue,Tobacco,Stock,047995855086,0.0,0.0,Airport,Gama,,6.85,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.945,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,Item Details,,,,,,,ACTIVE,,,Yes,0.0,
248,047995855215,American Spirit Celadon,Tobacco,Stock,047995855215,0.0,0.0,Airport,Gama,,6.75,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0433,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,Item Details,,,,,,,ACTIVE,,,Yes,0.0,
249,047995855222,American Spirit Dark Green,Tobacco,Stock,047995855222,0.0,0.0,Airport,Gama,,6.75,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5514,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,Item Details,,,,,,,ACTIVE,,,Yes,0.0,
250,047995855253,American Spirit Gold,Tobacco,Stock,047995855253,0.0,0.0,Airport,Gama,,6.85,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.1799,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,Item Details,,,,,,,ACTIVE,,,Yes,0.0,
251,047995855055,American Spirit Lime Green,Tobacco,Stock,047995855055,0.0,0.0,Airport,Gama,,6.75,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.9137,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,Item Details,,,,,,,ACTIVE,,,Yes,0.0,
252,047995855239,American Spirit Orange,Tobacco,Stock,047995855239,0.0,0.0,Airport,Gama,,6.75,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8471,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,Item Details,,,,,,,ACTIVE,,,Yes,0.0,
253,047995200404,American Spirit Sky,Tobacco,Stock,047995200404,0.0,0.0,Airport,Gama,,6.97,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.9908,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,Item Details,,,,,,,ACTIVE,,,Yes,0.0,
254,047995855246,American Spirit Turquoise,Tobacco,Stock,047995855246,0.0,0.0,Airport,Gama,,6.85,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.8411,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,Item Details,,,,,,,ACTIVE,,,Yes,0.0,
255,047995855093,American Spirit Yellow,Tobacco,Stock,047995855093,0.0,0.0,Airport,Gama,,6.97,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.7171,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,Item Details,,,,,,,ACTIVE,,,Yes,0.0,
257,856931008017,Amico Amaro 50ml,Amaro,Stock,856931008017,0.0,0.0,Airport,Favorite Brands,,0.0,3.99,2.99,2.99,2.99,2.99,2.99,2.99,2.99,2.99,2.99,1.85,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,Item Details,50ml,DS,,,No Tax,No Tax,ACTIVE,,,Yes,0.0,
277,72783003103,Anchor Brewers Pale Ale Bottles 6 Pack,Craft Beer,Stock,072783003103,0.0,0.0,Airport,Ben E Keith,,7.99,11.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,Item Details,12oz,B,,,,,ACTIVE,,,Yes,0.0,
320,856358001028,Anne Amie Cuvee Amrita 750ml,Bubbles,Stock,856358001028,0.0,0.0,Pleasant Valley,Virtuoso,,8.0,12.99,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,11.81,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,Item Details,,,,,No Tax,No Tax,ACTIVE,,,Yes,0.0,
369,081753833312,Ardbeg Fermentation 750ml,Whiskey Scotch,Stock,081753833312,0.0,0.0,Airport,Southern Glazers Wine & Spirits,Coastal,150.0,195.99,165.99,165.99,165.99,165.99,165.99,165.99,165.99,165.99,165.99,37.5,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,Item Details,750ml,DS,Glazers Coastal,,No Tax,No Tax,ACTIVE,,,Yes,0.0,
398,9781604336986,Art of the Flask,Books,Stock,9781604336986,0.0,0.0,Airport,Cider Mill Press,,8.475,16.95,9.3225,9.3225,9.3225,9.3225,9.3225,9.3225,9.3225,9.3225,9.3225,8.4753,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,Item Details,,,,,No Tax,No Tax,ACTIVE,,,Yes,0.0,
423,852895003037,Austin Beerworks Black Thunder Cans 6 Pack,Craft Beer,Stock,852895003037,0.0,0.0,Airport,Austin Beerworks,,7.0,8.99,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,7.875,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,Item Details,12oz,B,,,,,ACTIVE,,,Yes,0.0,
426,852895003181,Austin Beerworks Einhorn Cans 6 Pack,Craft Beer,Stock,852895003181,0.0,0.0,Airport,Austin Beerworks,,7.5,10.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Item,_28_: Inventory,_1_: Sales,_26_: Cost of Goods Sold,_26_: Cost of Goods Sold,Item Details,12oz,B,,,,,ACTIVE,,,Yes,0.0,
430,852895003006,Austin Beerworks Fire Eagle Cans 6 Pack,Craft Beer,Stock,852895003006,0.0,0.0,Airport,Austin Beerworks,,7.0,8.99,8.95,8.95,8.95,8.95,8.95,8.95,8.95,8.95,8.95,7.875,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,Item Details,12oz,B,,,,,ACTIVE,,,Yes,0.0,
433,852895003174,Austin Beerworks Goldfist Cans 6 Pack,Craft Beer,Stock,852895003174,0.0,0.0,Airport,Austin Beerworks,,7.0,8.99,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,7.875,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,Item Details,12oz,B,,,,,ACTIVE,,,Yes,0.0,
440,852895003013,Austin Beerworks Peacemaker Cans 6 Pack,Craft Beer,Stock,852895003013,0.0,0.0,Airport,Austin Beerworks,,7.0,8.99,8.95,8.95,8.95,8.95,8.95,8.95,8.95,8.95,8.95,7.875,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,Item Details,12oz,B,,,,,ACTIVE,,,Yes,0.0,
442,852895003020,Austin Beerworks Pearl-Snap Cans 6 Pack,Craft Beer,Stock,852895003020,0.0,0.0,Airport,Austin Beerworks,,7.0,8.99,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.875,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,Item Details,12oz,B,,,,,ACTIVE,,,Yes,0.0,
