Product,Customer,Count,Mean,Std,Min,Max,25,50,75
1876 Straight Bourbon 750ml,Customer Square 3,0,0.0,0.0,0,0,0.0,0.0,0.0
1876 Vodka 175L,Customer Square 1,19,0.6346153846153846,0.9204690725980247,0,3,0.0,0.0,1.0
1876 Vodka 175L,Customer Square 2,14,0.28846153846153844,0.4936729866535936,0,2,0.0,0.0,1.0
1876 Vodka 175L,Customer Square 3,25,0.6346153846153846,0.7345549713378569,0,2,0.0,0.0,1.0
1876 Vodka 1L,Customer Square 1,25,0.6153846153846154,0.737820234355803,0,3,0.0,0.0,1.0
1876 Vodka 1L,Customer Square 2,13,0.40384615384615385,0.7908032767289264,0,3,0.0,0.0,0.25
1876 Vodka 1L,Customer Square 3,8,0.17307692307692307,0.4261253808876988,0,2,0.0,0.0,0.0
1888 Dirtiest Martini Mix 1L,Customer Square 1,6,0.11538461538461539,0.3194855331891567,0,1,0.0,0.0,0.0
1888 Dirtiest Martini Mix 1L,Customer Square 2,6,0.1346153846153846,0.3936440286626677,0,2,0.0,0.0,0.0
1888 Dirtiest Martini Mix 1L,Customer Square 3,3,0.057692307692307696,0.23316068563427197,0,1,0.0,0.0,0.0
20000 Leguas 750ml,Customer Square 1,8,0.23076923076923078,0.6683902768070294,0,4,0.0,0.0,0.0
20000 Leguas 750ml,Customer Square 2,10,0.4423076923076923,1.1670716400537504,0,6,0.0,0.0,0.0
20000 Leguas 750ml,Customer Square 3,0,0.0,0.0,0,0,0.0,0.0,0.0
21st Amendment Blood Orange Cans 6 Pack,Customer Square 1,20,0.5,0.7205766921228921,0,3,0.0,0.0,1.0
21st Amendment Blood Orange Cans 6 Pack,Customer Square 2,0,0.0,0.0,0,0,0.0,0.0,0.0
21st Amendment Blood Orange Cans 6 Pack,Customer Square 3,0,0.0,0.0,0,0,0.0,0.0,0.0
21st Amendment Brew Free IPA Cans 6pk,Customer Square 1,18,0.5192307692307693,0.8658118603454177,0,4,0.0,0.0,1.0
21st Amendment Brew Free IPA Cans 6pk,Customer Square 2,0,0.0,0.0,0,0,0.0,0.0,0.0
21st Amendment Brew Free IPA Cans 6pk,Customer Square 3,0,0.0,0.0,0,0,0.0,0.0,0.0
21st Amendment El Sully Cans 6 Pack,Customer Square 1,4,0.17307692307692307,0.611465888291717,0,3,0.0,0.0,0.0
21st Amendment El Sully Cans 6 Pack,Customer Square 2,0,0.0,0.0,0,0,0.0,0.0,0.0
21st Amendment El Sully Cans 6 Pack,Customer Square 3,0,0.0,0.0,0,0,0.0,0.0,0.0
21st Amendment Seasonal Release Cans 6 Pack,Customer Square 1,13,0.3076923076923077,0.5730640163750516,0,2,0.0,0.0,0.25
21st Amendment Seasonal Release Cans 6 Pack,Customer Square 2,0,0.0,0.0,0,0,0.0,0.0,0.0
21st Amendment Seasonal Release Cans 6 Pack,Customer Square 3,0,0.0,0.0,0,0,0.0,0.0,0.0
22 Pirates Red Blend 750ml,Customer Square 1,6,0.11538461538461539,0.3194855331891567,0,1,0.0,0.0,0.0
22 Pirates Red Blend 750ml,Customer Square 2,3,0.07692307692307693,0.33085866411702414,0,2,0.0,0.0,0.0
22 Pirates Red Blend 750ml,Customer Square 3,11,0.25,0.5142208445046514,0,2,0.0,0.0,0.0
291 Barrel Proof Bourbon 750ml,Customer Square 1,2,0.038461538461538464,0.1923076923076923,0,1,0.0,0.0,0.0
291 Barrel Proof Bourbon 750ml,Customer Square 2,2,0.038461538461538464,0.1923076923076923,0,1,0.0,0.0,0.0
291 Barrel Proof Bourbon 750ml,Customer Square 3,2,0.038461538461538464,0.1923076923076923,0,1,0.0,0.0,0.0
291 Single Barrel Rye 750ml,Customer Square 1,0,0.0,0.0,0,0,0.0,0.0,0.0
