Action,ProductSKU,ProductName,Location,MinimumBeforeReorder,ReorderQuantity,Stock Locator,PickZones
Create/Update,024291261360,Advil 2 Pack,Customer Square 1,2,50,,
Create/Update,854856006507,Agavales Sangrita 1L,Customer Square 1,0,4,,
Create/Update,0727785006736,Agricola Morandin Lentico Pet Nat 750ml,Customer Square 1,0,6,,
Create/Update,4969265778634,Akashi Eigashima Japanese Whisky 750ml,Customer Square 1,0,2,,
Create/Update,4969265778597,Akashi Single Malt 750ml,Customer Square 1,0,1,,
Create/Update,4969265758834,Akashi Ume 750ml,Customer Square 1,0,2,,
Create/Update,4573479360082,Akkeshi New Born Single Malt 2018 200ml,Customer Square 1,0,1,,
Create/Update,4573479360167,Akkeshi Sarorunkamuy 200ml,Customer Square 1,0,1,,
Create/Update,087229200237,Alessio Bianco 750ml,Customer Square 1,0,4,,
Create/Update,094922423146,Alessio Chinato Vermouth 750ml,Customer Square 1,0,4,,
Create/Update,094922423139,Alessio Di Torino Vermouth 750ml,Customer Square 1,0,4,,
Create/Update,087229200213,Alessio Vino Chinato 750ml,Customer Square 1,0,2,,
Create/Update,850832004017,Alias Cabernet Sauvignon 750ml,Customer Square 1,2,12,,
Create/Update,871952000369,Alipus Ensamble San Andres 750ml,Customer Square 1,0,3,,
Create/Update,871952000079,Alipus San Andres 750ml,Customer Square 1,1,6,,
Create/Update,871952000086,Alipus San Baltazar 750ml,Customer Square 1,1,6,,
Create/Update,871952000048,Alipus San Juan 750ml,Customer Square 1,1,6,,
Create/Update,871952000161,Alipus San Luis 750ml,Customer Square 1,1,6,,
Create/Update,871952000178,Alipus San Miguel 750ml,Customer Square 1,0,4,,
Create/Update,871952000154,Alipus Santa Ana Del Rio 750ml,Customer Square 1,0,6,,
Create/Update,832515000493,Alpine Beer Co. Nelson IPA 6pk cans,Customer Square 1,1,4,,
Create/Update,852282002964,Altocedro Cabernet Sauvignon 750ml,Customer Square 1,2,12,,
Create/Update,618115105024,Amargo Vallet 750ml,Customer Square 1,0,4,,
Create/Update,8018571001625,Amaro Alta Verde 750ml,Customer Square 1,0,2,,
Create/Update,089552002755,Amaro Dell Etna 1L,Customer Square 1,0,6,,
Create/Update,8057949760016,Amaro Della Sacra 750ml,Customer Square 1,0,8,,
Create/Update,075496331938,Amaro Di Angostura 750ml,Customer Square 1,0,6,,
Create/Update,634955000046,Amaro Lucano 750ml,Customer Square 1,0,6,,
Create/Update,8018571001588,Amaro Sfumato Rabarbaro 750ml,Customer Square 1,1,4,,
Create/Update,716898963944,Amaro Sibona 1L,Customer Square 1,0,2,,
Create/Update,9781607747482,Amaro The Spirited World Of Bittersweet,Customer Square 1,0,4,,
Create/Update,083300048729,Amarula Cream 750ml,Customer Square 1,0,12,,
Create/Update,047995855079,American Spirit Black,Customer Square 1,4,10,,
Create/Update,047995855086,American Spirit Blue,Customer Square 1,4,10,,
Create/Update,047995855215,American Spirit Celadon,Customer Square 1,1,10,,
Create/Update,047995855222,American Spirit Dark Green,Customer Square 1,0,10,,
Create/Update,047995855253,American Spirit Gold,Customer Square 1,1,10,,
Create/Update,047995855055,American Spirit Lime Green,Customer Square 1,0,10,,
Create/Update,047995855239,American Spirit Orange,Customer Square 1,1,10,,
Create/Update,047995200404,American Spirit Sky,Customer Square 1,0,10,,
Create/Update,047995855246,American Spirit Turquoise,Customer Square 1,1,10,,
Create/Update,047995855093,American Spirit Yellow,Customer Square 1,6,30,,
Create/Update,856931008017,Amico Amaro 50ml,Customer Square 1,0,24,,
Create/Update,864286000082,Amico Amaro 750ml,Customer Square 1,1,4,,
Create/Update,666392848189,Amicone Cantine Di Ora 750ml,Customer Square 1,0,12,,
Create/Update,083664874019,Ancho Reyes 375ml,Customer Square 1,0,12,,
Create/Update,083664873166,Ancho Reyes 750ml,Customer Square 1,0,6,,
Create/Update,083664874026,Ancho Reyes Verde 375ml,Customer Square 1,0,12,,
Create/Update,083664873685,Ancho Reyes Verde 750ml,Customer Square 1,0,6,,
Create/Update,072783612015,Anchor Steam Cans 6 Pack,Customer Square 1,1,4,,
Create/Update,080244002114,Ancient Age Kentucky Straight Bourbon 175L,Customer Square 1,0,6,,
Create/Update,897114001258,Ancient Peaks Renegade 750ml,Customer Square 1,1,6,,
Create/Update,860174000318,Andalusia Stryker Smoked Single Malt 750ml,Customer Square 1,0,6,,
Create/Update,860174000332,Andalusia Texas Single Malt 750ml,Customer Square 1,0,6,,
Create/Update,850047003003,Angels Envy Bourbon 750ml,Customer Square 1,1,6,,
Create/Update,850047003065,Angels Envy Rye 750ml,Customer Square 1,0,6,,
Create/Update,075496001602,Angostura Bitters 16oz,Customer Square 1,2,12,,
Create/Update,075496002005,Angostura Bitters 200ml,Customer Square 1,3,12,,
Create/Update,075496000407,Angostura Bitters 4oz,Customer Square 1,1,12,,
Create/Update,075496332867,Angostura Cocoa Bitters 4oz,Customer Square 1,1,12,,
Create/Update,075496331143,Angostura Orange Bitters 4oz,Customer Square 1,1,12,,
Create/Update,850005058045,Anne Pichon Syrah Grenache 750ml,Customer Square 1,0,12,,
Create/Update,899361002040,Ant Moore Sauvignon Blanc Estate 750mL,Customer Square 1,0,12,,
