,SKU,Product,Customer,Location,Status,Category,OnHand,Quantity,Sale,Unit
46,811538010146,1800 Blanco 1L,Customer Square 3,Oak Hill,ACTIVE,Tequila,6.0,12.0,479.88,39.99
47,811538010146,1800 Blanco 1L,Customer Square 2,Pleasant Valley,ACTIVE,Tequila,3.0,29.0,1159.71,39.99
48,811538010139,1800 Blanco 750ml,Customer Square 1,Airport,ACTIVE,Tequila,0.0,4.0,127.96,31.99
49,811538010139,1800 Blanco 750ml,Customer Square 2,Pleasant Valley,ACTIVE,Tequila,10.0,6.0,191.94,31.99
50,811538018920,1800 Mango Margarita 1.75L,Customer Square 1,Airport,DEPRECATED,RTD,0.0,,,
51,040232625121,1876 Straight Bourbon 750ml,Customer Square 2,Pleasant Valley,ACTIVE,Whiskey Bourbon/American,0.0,,,
52,850010806136,1876 Vodka 175L,Customer Square 1,Airport,ACTIVE,Vodka,7.0,57.0,1367.43,23.990000000000002
53,949223659484,1876 Vodka 175L,Customer Square 1,Airport,DEPRECATED,Vodka,0.0,57.0,1367.43,23.990000000000002
54,850010806136,1876 Vodka 175L,Customer Square 3,Oak Hill,ACTIVE,Vodka,4.0,17.0,407.83,23.99
55,850010806136,1876 Vodka 175L,Customer Square 2,Pleasant Valley,ACTIVE,Vodka,7.0,21.0,503.79,23.990000000000002
56,850010806143,1876 Vodka 1L,Customer Square 1,Airport,ACTIVE,Vodka,10.0,27.0,512.73,18.990000000000002
57,850010806143,1876 Vodka 1L,Customer Square 3,Oak Hill,ACTIVE,Vodka,5.0,12.0,227.88,18.99
58,850010806143,1876 Vodka 1L,Customer Square 2,Pleasant Valley,ACTIVE,Vodka,11.0,56.0,1063.44,18.990000000000002
59,94922365941,1876 Vodka 750ml,Customer Square 1,Airport,DEPRECATED,Vodka,0.0,,,
60,857438001525,1888 Dirtiest Martini Mix 1L,Customer Square 1,Airport,ACTIVE,Mixer,0.0,,,
61,857438001525,1888 Dirtiest Martini Mix 1L,Customer Square 3,Oak Hill,ACTIVE,Mixer,0.0,,,
62,857438001525,1888 Dirtiest Martini Mix 1L,Customer Square 2,Pleasant Valley,ACTIVE,Mixer,0.0,4.0,63.96,15.99
63,080686294047,2 Gingers Irish Whiskey 750ml,Customer Square 2,Pleasant Valley,ACTIVE,Whiskey Irish,3.0,1.0,22.99,22.99
64,8437016956236,20000 Leguas 750ml,Customer Square 1,Airport,ACTIVE,Orange Wine,0.0,,,
65,8437016956236,20000 Leguas 750ml,Customer Square 3,Oak Hill,ACTIVE,Orange Wine,0.0,,,
66,8437016956236,20000 Leguas 750ml,Customer Square 2,Pleasant Valley,ACTIVE,Orange Wine,0.0,,,
67,850003519005,21 Seeds Cucumber Jalapeno Tequila 750ml,Customer Square 2,Pleasant Valley,ACTIVE,Tequila,6.0,4.0,155.96,38.99
68,859612001314,21st Amendment Blood Orange Cans 6 Pack,Customer Square 1,Airport,ACTIVE,Craft Beer,0.0,,,
69,859612001314,21st Amendment Blood Orange Cans 6 Pack,Customer Square 2,Pleasant Valley,ACTIVE,Craft Beer,0.0,,,
70,859612001031,21st Amendment Brew Free IPA Cans 6pk,Customer Square 1,Airport,ACTIVE,Craft Beer,0.0,,,
71,859612001031,21st Amendment Brew Free IPA Cans 6pk,Customer Square 2,Pleasant Valley,ACTIVE,Craft Beer,1.0,,,
72,859612001185,21st Amendment El Sully Cans 6 Pack,Customer Square 1,Airport,DEPRECATED,Craft Beer,0.0,,,
73,859612001185,21st Amendment El Sully Cans 6 Pack,Customer Square 2,Pleasant Valley,DEPRECATED,Craft Beer,0.0,,,
74,859612001130,21st Amendment Hell or High Watermelon 12-pack,Customer Square 1,Airport,ACTIVE,Craft Beer,2.0,,,
75,859612001130,21st Amendment Hell or High Watermelon 12-pack,Customer Square 2,Pleasant Valley,ACTIVE,Craft Beer,1.0,3.0,59.97,19.99
76,859612001024,21st Amendment Seasonal Release Cans 6 Pack,Customer Square 1,Airport,ACTIVE,Craft Beer,0.0,14.0,167.86,11.99
77,859612001024,21st Amendment Seasonal Release Cans 6 Pack,Customer Square 2,Pleasant Valley,ACTIVE,Craft Beer,1.0,4.0,47.96,11.99
78,859612001581,21st Amendment Sparkle Cans 6 Pack,Customer Square 1,Airport,ACTIVE,Craft Beer,0.0,,,
79,859612001581,21st Amendment Sparkle Cans 6 Pack,Customer Square 2,Pleasant Valley,ACTIVE,Craft Beer,0.0,,,
80,664228300047,22 Pirates Red Blend 750ml,Customer Square 1,Airport,ACTIVE,Red New World,0.0,7.0,174.93,24.990000000000002
81,664228300047,22 Pirates Red Blend 750ml,Customer Square 3,Oak Hill,ACTIVE,Red New World,0.0,8.0,199.92,24.99
82,664228300047,22 Pirates Red Blend 750ml,Customer Square 2,Pleasant Valley,ACTIVE,Red New World,1.0,7.0,174.93,24.990000000000002
83,856491003132,291 Barrel Proof Bourbon 750ml,Customer Square 1,Airport,ACTIVE,Whiskey Bourbon/American,0.0,,,
84,856491003132,291 Barrel Proof Bourbon 750ml,Customer Square 3,Oak Hill,ACTIVE,Whiskey Bourbon/American,0.0,,,
