,Name,SKU,Category,Price,Enabled 1,Enabled 2,Enabled 3,Enabled Warehouse,Tax 1,Tax 2
2403,El Jimador Blanco 375ml,744607068604,Tequila,9.99,N,Y,N,N,Y,Y
2404,El Jimador Blanco 375ml,744607068604,Tequila,9.99,Y,N,Y,Y,Y,N
2406,El Jimador Reposado 1L,744607069304,Tequila,26.99,N,Y,N,N,Y,Y
2407,El Jimador Reposado 1L,744607069304,Tequila,26.99,Y,N,Y,Y,Y,N
2409,El Jimador Reposado 375ml,744607069601,Tequila,9.99,N,N,Y,N,Y,N
2445,El Tequileno Reposado 750ml,7501398100332,Tequila,54.99,Y,Y,N,Y,Y,Y
2446,El Tequileno Reposado 750ml,7501398100332,Tequila,54.99,N,N,Y,N,Y,N
2448,El Tesoro Anejo 750ml,080686761402,Tequila,79.99,Y,Y,N,Y,Y,Y
2449,El Tesoro Anejo 750ml,080686761402,Tequila,79.99,N,N,Y,N,Y,N
2450,El Tesoro Blanco 375ml,080686760054,Tequila,25.99,Y,N,Y,Y,Y,N
2451,El Tesoro Blanco 375ml,80686760054,Tequila,25.99,Y,N,N,N,Y,N
2452,El Tesoro Blanco 375ml,080686760054,Tequila,25.99,N,Y,N,N,Y,Y
2453,El Tesoro Blanco 750ml,080686760405,Tequila,49.99,Y,Y,N,Y,Y,Y
2454,El Tesoro Blanco 750ml,080686760405,Tequila,49.99,N,N,Y,N,Y,N
2455,El Tesoro Extra Anejo 750ml,080686761044,Tequila,119.99,Y,N,Y,Y,Y,N
2456,El Tesoro Extra Anejo 750ml,080686761044,Tequila,119.99,N,Y,N,N,Y,Y
2457,El Tesoro Paradiso Extra Anejo 750ml,080686759461,Tequila,180.99,Y,N,N,N,Y,N
2458,El Tesoro Paradiso Extra Anejo 750ml,080686759461,Tequila,180.99,N,Y,Y,Y,Y,Y
2459,El Tesoro Reposado 750ml,080686762409,Tequila,59.99,Y,N,Y,Y,Y,N
2460,El Tesoro Reposado 750ml,080686762409,Tequila,59.99,N,Y,N,N,Y,Y
2461,El Tesoro Reposado De Nada 750ml,0806867620271,Tequila,59.99,N,N,N,Y,Y,N
2462,El Tesoro Reposado Nickel City 750ml,080686762027,Tequila,59.99,Y,Y,N,N,Y,Y
2463,El Tesoro Reposado Nickel City 750ml,80686762027,Tequila,53.99,Y,N,N,N,Y,N
2464,El Tesoro Reposado Nickel City 750ml,80686762027,Tequila,59.99,N,N,Y,N,Y,N
2465,El Tesoro Reposado Nickel City 750ml,,Tequila,variable,N,N,N,N,Y,N
2466,El Tesoro Reposado Nickel City 750ml,080686762027,Tequila,59.99,N,N,Y,N,Y,N
2473,Elenita Pineapple Jalapeno 4 Pack,850012357117,RTD,10.99,N,Y,N,Y,Y,Y
2474,Elenita Strawberry Mule 4 Pack,850012357155,RTD,10.99,Y,N,Y,Y,Y,Y
2521,Espolon Blanco 1L,721059701006,Tequila,33.99,Y,N,N,N,Y,N
2522,Espolon Blanco 1L,721059701006,Tequila,33.99,N,Y,Y,Y,Y,Y
2523,Espolon Blanco 375ml,664804000378,Tequila,14.99,Y,Y,N,Y,Y,Y
2524,Espolon Blanco 375ml,664804000378,Tequila,14.99,N,N,Y,N,Y,N
2527,Espolon Reposado 375ml,664804000385,Tequila,14.99,Y,Y,N,Y,Y,Y
2528,Espolon Reposado 375ml,664804000385,Tequila,14.99,N,N,Y,N,Y,N
2554,Exotico Blanco 1L,088352126524,Tequila,18.99,Y,Y,N,Y,Y,Y
2615,Fernet Branca 375ml,898563002636,Amaro,17.99,N,Y,N,N,Y,Y
2616,Fernet Branca 375ml,084105307523,Amaro,17.99,Y,N,Y,Y,Y,N
2617,Fernet Branca 375ml,898563002636,Amaro,17.99,Y,N,Y,N,Y,N
2618,Fernet Branca 50ml,084105307516,Amaro,2.99,N,Y,Y,N,Y,Y
2619,Fernet Branca 50ml,084105307516,Amaro,2.99,Y,N,N,N,Y,N
2620,Fernet Branca 50ml,08410530751,Amaro,2.99,N,N,Y,N,Y,N
2621,Fernet Branca 50ml,08410530751,Amaro,2.99,Y,N,N,Y,Y,N
2623,Fernet Branca 750ml,084105307509,Amaro,34.99,N,N,Y,N,Y,N
2625,Fernet Gancia 750ml,857853002237,Amaro,24.99,N,N,Y,N,Y,N
2627,Fernet Vallet 750ml,618115105017,Amaro,28.99,N,N,Y,N,Y,N
2746,Fortaleza Anejo 750ml,7502221968105,Tequila,99.99,Y,N,N,N,Y,N
2747,Fortaleza Anejo 750ml,7502221968105,Tequila,99.99,N,Y,Y,Y,Y,Y
2748,Fortaleza Blanco 750ml,7502221966101,Tequila,56.99,Y,Y,N,Y,Y,Y
2749,Fortaleza Blanco 750ml,7502221966101,Tequila,56.99,N,N,Y,N,Y,N
2751,Fortaleza Blanco Still Strength 750ml,7502221969034,Tequila,65.99,Y,Y,N,Y,Y,Y
2752,Fortaleza Blanco Still Strength 750ml,7502221969034,Tequila,65.99,N,N,Y,N,Y,N
2753,Fortaleza Reposado 750ml,7502221967108,Tequila,65.99,Y,N,N,N,Y,N
2754,Fortaleza Reposado 750ml,7502221967108,Tequila,65.99,N,Y,Y,Y,Y,Y
2819,Fred Jerbis Bitter 750ml,7779989684,Amaro,32.99,N,N,Y,N,Y,N
2836,Fruit Lab Grand Poppy 750ml,855675001599,Amaro,27.99,N,N,Y,N,Y,N
2845,Fuenteseca Blanco 750ml,741638000009,Tequila,89.99,N,Y,N,N,Y,Y
2847,Fuenteseca Blanco Huerta Singular 750ml,741638912005,Tequila,128.99,Y,N,Y,Y,Y,N
2848,Fuenteseca Blanco Huerta Singular 750ml,741638912005,Tequila,128.99,N,Y,N,N,Y,Y
2850,Fuenteseca Reserva 7y 750ml,741638000023,Tequila,204.99,N,N,Y,N,Y,N
2852,Fuenteseca Reserva Anejo 21y 750ml,741638952001,Tequila,899.99,Y,N,N,N,Y,N
2854,G4 Anejo Tequila 750ml,7503018079066,Tequila,94.99,N,Y,N,N,Y,Y
2855,G4 Anejo Tequila 750ml,7503018079066,Tequila,94.99,Y,N,Y,Y,Y,N
2856,G4 Blanco 108 proof Tequila 750ml,7503018079240,Tequila,52.99,Y,N,N,N,Y,N
2857,G4 Blanco 108 proof Tequila 750ml,7503018079240,Tequila,52.99,N,Y,Y,Y,Y,Y
2858,G4 Blanco Tequila 750ml,7503018079004,Tequila,52.99,N,Y,N,N,Y,Y
2859,G4 Blanco Tequila 750ml,7503018079004,Tequila,52.99,Y,N,Y,Y,Y,N
2861,G4 Reposado 750ml,7503018079059,Tequila,63.99,Y,N,N,N,Y,N
2862,G4 Reposado 750ml,7503018079059,Tequila,63.99,N,Y,Y,Y,Y,Y
2866,Galliano L'Aperitivo 375ml,80915119653,Amaro,19.99,Y,N,N,N,Y,N
2947,Glendalough Double Barrel Irish Whisky 750ml,5391537390005,Whiskey Irish,35.99,N,N,Y,N,Y,N
3049,Gran Centenario Anejo 200ml,811538019767,Tequila,12.99,N,N,Y,N,Y,N
3050,Gran Centenario Anejo 750ml,811538014038,Tequila,31.99,Y,N,Y,Y,Y,N
3051,Gran Centenario Anejo 750ml,811538014038,Tequila,31.99,N,Y,N,N,Y,Y
3053,Gran Centenario Plata 750ml,811538014137,Tequila,25.99,Y,Y,N,Y,Y,Y
3054,Gran Centenario Plata 750ml,811538014137,Tequila,25.99,N,N,Y,N,Y,N
3055,Gran Centenario Reposado 750ml,811538014236,Tequila,28.99,Y,N,Y,Y,Y,N
3056,Gran Centenario Reposado 750ml,811538014236,Tequila,28.99,N,Y,N,N,Y,Y
3075,Granada Vallet 750ml,618115105086,Amaro,33.99,N,N,Y,N,Y,N
3143,Guido Porro Barbera d'Alba 750ml,761503723338,Red Old World,20.99,Y,N,Y,Y,Y,Y
3199,Hampden Estate Euphonia 750ml,810852035095,Rum,199.99,N,Y,N,Y,Y,Y
3210,Handmade Earrings,1234500000100,Retail,10.00,Y,N,N,N,Y,N
3302,Henriques and Henriques Dry 5yr Madeira 750ml,5601196010771,Fortified,22.99,Y,Y,N,Y,Y,Y
3311,Herradura Anejo 750ml,744607111331,Tequila,59.99,Y,Y,N,Y,Y,Y
3312,Herradura Anejo 750ml,744607111331,Tequila,59.99,N,N,Y,N,Y,N
3315,Herradura Blanco 1L,744607050401,Tequila,45.99,Y,N,Y,Y,Y,N
3316,Herradura Blanco 1L,744607050401,Tequila,45.99,N,Y,N,N,Y,Y
3318,Herradura Legend Anejo 750ml,744607007108,Tequila,159.99,N,N,Y,N,Y,N
3319,Herradura Legend Anejo 750ml,744607007108,Tequila,159.99,Y,Y,N,Y,Y,Y
3320,Herradura Reposado 1L,744607050395,Tequila,53.99,Y,N,N,N,Y,N
3321,Herradura Reposado 1L,744607050395,Tequila,53.99,N,Y,Y,Y,Y,Y
3394,HoochHouse Pin,250250250,Retail,3.50,Y,N,N,N,Y,N
3401,Hornitos Reposado 1L,80686835011,Tequila,37.99,Y,N,N,N,Y,N
3418,Hudson Bright Lights Big Bourbon 750ml,083664874507,Whiskey Bourbon/American,39.99,N,N,Y,Y,Y,Y
3439,Ichiros Malt Chichibu 2020 Peated 750ml,,Whiskey Japanese,variable,Y,N,Y,N,Y,Y
3453,Illuminidol Candle,1234500000112,Retail,12.00,Y,N,Y,Y,Y,N
3454,Illuminidol Candle,1234500000112,Retail,12.00,Y,Y,N,N,Y,Y
3492,J Rieger Caffe Amaro 750ml,748252169372,Amaro,34.99,N,Y,N,N,Y,Y
3493,J Rieger Caffe Amaro 750ml,748252169372,Amaro,34.99,Y,N,Y,Y,Y,N
3541,Jagermeister 1L,83089660150,Amaro,34.99,N,N,Y,N,Y,N
3542,Jagermeister 375ml,083089660358,Amaro,12.99,Y,Y,N,Y,Y,Y
3543,Jagermeister 375ml,083089660358,Amaro,12.99,N,N,Y,N,Y,N
3597,Jello Shot Cups And Lids,098382150253,Retail,5.99,N,N,Y,N,Y,N
3693,Johnny Drum Private Stock 750ml,680203020571,Whiskey Bourbon/American,32.99,Y,Y,N,Y,Y,Y
3703,Jose Cuervo Gold 200ml,811538010924,Tequila,6.99,Y,Y,N,Y,Y,Y
3704,Jose Cuervo Gold 200ml,811538010924,Tequila,6.99,N,N,Y,N,Y,N
3706,Jose Cuervo Gold 750ml,811538010832,Tequila,19.99,Y,N,N,N,Y,N
3707,Jose Cuervo Gold 750ml,811538010832,Tequila,19.99,N,Y,Y,Y,Y,Y
3710,Jose Cuervo Reserva De Famila Extra Anejo 750ml,811538011457,Tequila,199.99,N,Y,N,N,Y,Y
3711,Jose Cuervo Reserva De Famila Extra Anejo 750ml,811538011457,Tequila,199.99,Y,N,Y,Y,Y,N
3712,Jose Cuervo Silver Tradicional 1L,811538011433,Tequila,28.99,N,Y,N,N,Y,Y
3713,Jose Cuervo Silver Tradicional 1L,811538011433,Tequila,28.99,Y,N,Y,Y,Y,N
3815,King Floyd's 5 Pack,857203007257,Bitters,28.99,N,Y,N,N,Y,Y
3870,Koch Ancestral Espadin 750ml,850009079121,Mezcal,99.99,Y,N,N,Y,Y,Y
3951,La Gritona Reposado 375ml,859026001405,Tequila,24.99,N,Y,Y,Y,Y,Y
3952,La Gritona Reposado 375ml,859026001405,Tequila,24.99,Y,N,N,N,Y,N
3953,La Gritona Reposado 750ml,859026001221,Tequila,45.99,Y,Y,N,Y,Y,Y
3954,La Gritona Reposado 750ml,859026001221,Tequila,45.99,N,N,Y,N,Y,N
4034,Lalo Blanco 750ml,811041030013,Tequila,45.99,N,Y,Y,Y,Y,Y
4035,Lalo Blanco 750ml,811041030013,Tequila,45.99,Y,N,N,N,Y,N
4113,Leopold Brothers Apertivo 750ml,836137000091,Amaro,37.99,Y,N,N,N,Y,N
4115,Leopold Brothers BIB 750ml,836137000275,Whiskey Bourbon/American,57.99,Y,N,Y,Y,Y,Y
4223,Lone Star 24pk,073360183010,Dom Beer,22.99,N,Y,N,N,Y,N
4235,Long Drink Zero 6/12oz Cans,860272001439,RTD,13.99,Y,N,Y,Y,Y,N
4236,Long Drink Zero 6/12oz Cans,860272001439,RTD,13.99,N,Y,N,N,Y,Y
4278,Lunazul Anejo 750ml,096749908585,Tequila,19.99,Y,Y,N,Y,Y,Y
4279,Lunazul Anejo 750ml,096749908585,Tequila,19.99,N,N,Y,N,Y,N
4280,Lunazul Blanco 175L,096749908547,Tequila,34.99,Y,N,Y,Y,Y,N
4281,Lunazul Blanco 175L,096749908547,Tequila,34.99,N,Y,N,N,Y,Y
4282,Lunazul Blanco 1L,096749908028,Tequila,21.99,Y,Y,N,Y,Y,Y
4283,Lunazul Blanco 1L,096749908028,Tequila,21.99,N,N,Y,N,Y,N
4284,Lunazul Blanco 375ml,096749001361,Tequila,9.99,N,Y,N,N,Y,Y
4285,Lunazul Blanco 375ml,096749001361,Tequila,9.99,Y,N,Y,Y,Y,N
4286,Lunazul Blanco 50ml,096749908516,Tequila,1.99,Y,N,N,N,Y,N
4287,Lunazul Blanco 50ml,096749908516,Tequila,1.99,N,Y,Y,Y,Y,Y
4288,Lunazul Extra Anejo 750ml,096749002771,Tequila,42.99,Y,N,N,N,Y,N
4289,Lunazul Extra Anejo 750ml,096749002771,Tequila,42.99,N,Y,Y,Y,Y,Y
4292,Lunazul Reposado 375ml,096749001378,Tequila,9.99,Y,N,N,N,Y,N
4293,Lunazul Reposado 375ml,096749001378,Tequila,9.99,N,Y,Y,Y,Y,Y
4294,Lunazul Reposado 50ml,096749908509,Tequila,1.99,Y,N,Y,Y,Y,N
4295,Lunazul Reposado 50ml,096749908509,Tequila,1.99,N,Y,N,N,Y,Y
4360,Maestro Dobel Diamante 750ml,811538012034,Tequila,49.99,Y,N,Y,Y,Y,N
4361,Maestro Dobel Diamante 750ml,811538012034,Tequila,49.99,N,Y,N,N,Y,Y
4366,Magnets,12343234,Retail,9.00,N,N,Y,N,Y,N
4589,Mi Casa Tequila Reposado 750mL,837654445556,Tequila,41.99,N,N,Y,N,Y,N
4590,Mi Casa Tequila Reposado 750mL,837654445556,Tequila,41.99,Y,Y,N,Y,N,N
4625,Mighty Swell Watermelon Mint 6pks,854599007045,RTD,10.99,N,Y,Y,Y,Y,Y
4626,Mighty Swell Watermelon Mint 6pks,854599007045,RTD,10.99,Y,N,N,N,Y,N
4627,Mijenta Tequila Blanco 750ml,850015899003,Tequila,49.99,Y,N,Y,Y,Y,N
4628,Mijenta Tequila Blanco 750ml,850015899003,Tequila,49.99,N,Y,N,N,Y,Y
4629,Mijenta Tequila Reposado 750ml,850015899010,Tequila,68.99,Y,N,N,N,Y,N
4630,Mijenta Tequila Reposado 750ml,850015899010,Tequila,68.99,N,Y,Y,Y,Y,Y
4631,Milagro Anejo 750ml,083664868971,Tequila,40.99,Y,N,N,N,Y,N
4634,Milagro Anejo Select Barrel Reserve 750ml,83664869008,Tequila,59.99,N,N,Y,N,Y,N
4635,Milagro Reposado 1L,083664874033,Tequila,31.99,Y,N,Y,Y,Y,N
4636,Milagro Reposado 1L,083664874033,Tequila,31.99,N,Y,N,N,Y,Y
4638,Milagro Reposado 375ml,83664874071,Tequila,15.99,N,N,Y,N,Y,N
4640,Milagro Silver 175L,,Tequila,variable,N,N,N,N,Y,Y
4641,Milagro Silver 175L,083664868902,Tequila,56.99,N,Y,N,N,Y,Y
4642,Milagro Silver 175L,083664868902,Tequila,56.99,N,N,Y,N,Y,N
4643,Milagro Silver 175L,,Tequila,variable,N,N,N,N,Y,N
4644,Milagro Silver 175L,083664868902,Tequila,56.99,Y,N,N,Y,Y,N
4645,Milagro Silver 175L,,Tequila,variable,N,N,N,N,Y,N
4646,Milagro Silver 1L,083664870462,Tequila,31.99,Y,N,Y,Y,Y,N
4647,Milagro Silver 1L,083664870462,Tequila,31.99,N,Y,N,N,Y,Y
4648,Milagro Silver 375ml,083664874064,Tequila,15.99,N,Y,N,N,Y,Y
4649,Milagro Silver 375ml,083664874064,Tequila,15.99,Y,N,Y,Y,Y,N
4650,Milagro Silver 750ml,083664868919,Tequila,31.99,N,Y,N,N,Y,Y
4652,Milagro Silver 750ml,83664868919,Tequila,31.99,Y,N,N,N,Y,N
4653,Milagro Silver 750ml,83664868919,Tequila,31.99,Y,N,N,N,Y,N
4668,Miller High Life Can 32oz,3400810,Dom Beer,2.29,N,Y,N,N,Y,Y
4670,Miller High Life Cans 6 Pack,3400713,Dom Beer,6.99,N,Y,N,N,Y,Y
4671,Miller High Life Cans 6 Pack,03400713,Dom Beer,6.99,Y,Y,Y,N,Y,Y
4673,Miller High Life Pony 6 Pack,34100016418,Dom Beer,3.99,N,N,Y,N,Y,N
4674,Miller Lite 12 oz Can 24 Pack,34100573065,Dom Beer,28.99,Y,N,N,N,Y,N
4675,Miller Lite 12 oz Can 24 Pack,34100573065,Dom Beer,28.99,N,Y,N,N,Y,Y
4685,Miracle Mile Bergamot Bitters 4oz,736211467799,Bitters,24.99,N,N,Y,N,Y,N
4686,Miracle Mile Castilian Bitters 4oz,736211467096,Bitters,24.99,Y,N,N,N,Y,N
4687,Miracle Mile Castilian Bitters 4oz,736211467096,Bitters,24.99,N,Y,Y,Y,Y,Y
4688,Miracle Mile Chili Chocolate Bitters 4oz,736211466792,Bitters,24.99,Y,N,N,N,Y,N
4691,Miracle Mile Forbidden 4oz,736211467294,Bitters,24.99,N,Y,N,N,Y,Y
4692,Miracle Mile Orange Bitters 4oz,736211467898,Bitters,24.99,Y,N,N,N,Y,N
4694,Miracle Mile Sour Cherry Bitters 4oz,736211466990,Bitters,24.99,Y,N,N,N,Y,N
4696,Miracle Mile Toasted Pecan Bitters 4oz,736211467690,Bitters,24.99,N,Y,N,N,Y,Y
4699,Miracle Mile Yuzu Bitters 4oz,736211467195,Bitters,24.99,N,Y,N,N,Y,Y
4718,Modelo 12oz 18pk,080660957111,Dom Beer,23.99,N,Y,N,N,Y,Y
4719,Modelo 12oz 18pk,080660957111,Dom Beer,23.99,Y,N,Y,Y,Y,N
4754,Monte Alban Tequila Silver 1L,089000577293,Tequila,15.99,Y,N,Y,Y,Y,N
4755,Monte Alban Tequila Silver 1L,089000577293,Tequila,15.99,N,Y,N,N,Y,Y
