,Item Name,SKU,Category,Price,Enabled 1,Enabled 2,Enabled 3,Enabled Warehouse,Tax 1,Tax 2
6921,Varnelli Amaro Dell Erborista 1L,040232008924,Amaro,69.99,N,Y,Y,Y,Y,Y
6924,Varnelli Amaro Sibilla 1L,040232008917,Amaro,51.99,N,Y,N,N,Y,Y
6929,Vecchio Amaro Del Capo 750ml,812482007015,Amaro,29.99,N,N,Y,N,Y,N
6970,Villa One Reposado 750ml,811751020427,Tequila,48.99,N,Y,N,N,Y,Y
6973,Villa One Silver 750ml,811751020236,Tequila,42.99,N,N,Y,N,Y,N
7030,Volcan Reposado 750ml,081753833589,Tequila,54.99,N,N,Y,N,Y,N
7043,Warre Tawny Otima 10y 500ml,089419003161,Fortified,24.99,N,N,Y,N,Y,N
7045,Warre Tawny Otima 20y 500ml,089419003178,Fortified,49.99,N,Y,N,N,Y,Y
7171,Wild Turkey 101 1L,721059891004,Whiskey Bourbon/American,34.99,N,Y,N,N,Y,Y
7173,Wild Turkey 101 1L,721059891004,Whiskey Bourbon/American,34.99,N,N,Y,N,Y,N
7174,Wild Turkey 101 375ml,721059893763,Whiskey Bourbon/American,14.99,N,Y,N,N,Y,Y
7180,Wild Turkey 101 750ml,721059897501,Whiskey Bourbon/American,25.99,N,Y,N,N,Y,Y
7184,Wild Turkey 17y Bonded 750ml,721059002271,Whiskey Bourbon/American,189.99,N,Y,N,N,Y,Y
7187,Wild Turkey 81 1.75L,721059841757,Whiskey Bourbon/American,34.99,N,Y,N,N,Y,Y
7189,Wild Turkey 81 1L,721059841009,Whiskey Bourbon/American,29.99,N,N,Y,N,Y,N
7190,Wild Turkey 81 750ml,721059847506,Whiskey Bourbon/American,19.99,N,Y,N,N,Y,Y
7193,Wild Turkey Cornerstone Rye 750ml,721059003025,Whiskey Bourbon/American,185.99,N,Y,N,N,Y,Y
7195,Wild Turkey Kentucky Spirit 750ml,721059947503,Whiskey Bourbon/American,59.99,N,Y,N,N,Y,Y
7198,Wild Turkey Kentucky Spirit Shaker Barrel 750ml,97638197,Whiskey Bourbon/American,59.99,N,Y,N,N,Y,Y
7199,Wild Turkey Longbranch 750ml,721059002844,Whiskey Bourbon/American,39.99,N,Y,N,N,Y,Y
7203,Wild Turkey Rare Breed Barrel Proof 750ml,721059000222,Whiskey Bourbon/American,59.99,N,N,Y,N,Y,N
7224,Willett Family Estate Rye 4y 750ml,680203040180,Whiskey Rye,62.99,N,Y,Y,Y,Y,Y
7226,Willett Family Estate Rye 6y Rose In Paradise 750ml,62206220,Whiskey Rye,119.99,N,Y,N,N,Y,Y
7314,Yzaguirre Bianco 1L,890004001024,Fortified,19.99,N,Y,N,N,Y,Y
7316,Yzaguirre Reserva Rojo 1L,890004001802,Fortified,26.99,N,Y,N,N,Y,Y
7318,Yzaguirre Rojo 1L,890004001017,Fortified,19.99,N,Y,N,N,Y,Y
7320,Zanin Grappa Di Moscato 750ml,8009885004136,Grappa,33.99,N,Y,N,Y,Y,Y
7333,Zucca Rabarbaro 750ml,050037033755,Amaro,32.99,N,Y,Y,Y,Y,Y
7343,Zwack Liqueur 750ml,088076168909,Amaro,23.99,N,Y,Y,Y,Y,Y
