Action,ProductSKU,ProductName,Location_x,MinimumBeforeReorder,ReorderQuantity,StockLocator,PickZones
Create/Update,7503007479303,Sol Tarasco Anejo Charanda con Honogos 750ml,Pleasant Valley,,,,
Create/Update,698450942461,Soledad Joven 750ml,Pleasant Valley,0.0000,6.0000,,
Create/Update,088076168640,Tanqueray Rangpur 750ml,Pleasant Valley,,,,
Create/Update,195893687015,Tequila 818 Blanco 750ml,Pleasant Valley,,,,
Create/Update,195893031092,Tequila 818 Reposado 750ml,Pleasant Valley,,,,
Create/Update,898185001666,Treaty Oak Waterloo No. 9 1L,Pleasant Valley,3.0000,6.0000,,
Create/Update,854125003008,Tres Agaves Blanco 750ml,Pleasant Valley,,,,
Create/Update,854125003015,Tres Agaves Reposado 750ml,Pleasant Valley,2.0000,12.0000,,
Create/Update,080686187233,Tyrconnell Single Malt 750ml,Pleasant Valley,2.0000,6.0000,,
Create/Update,855939007091,Western Son Gin 1L,Pleasant Valley,,,,
Create/Update,853507000550,Westward Pinot Noir Single Malt 750ml,Pleasant Valley,,,,
Create/Update,848557000612,Whitley Blood Orange Gin 750ml,Pleasant Valley,0.0000,6.0000,,
Create/Update,848557000339,Whitley Original London Dry Gin 750ml,Pleasant Valley,,,,
Create/Update,8005765969120,Wild Sardina Gin 750ml,Pleasant Valley,,,,
Create/Update,721059000635,Wray and Nephew Overproof 750ml,Pleasant Valley,,,,
Create/Update,869641000004,Zephyr Gin 750ml,Pleasant Valley,,,,
