,SKU,Product,Customer,Location,Status,Category,OnHand,Quantity,Sale,Unit
4226,848169037433,Compass Box The Circle 2 750ml,Customer Square 1,Airport,ACTIVE,Whiskey Scotch,3.0,,,
4227,848169037433,Compass Box The Circle 2 750ml,Customer Square 2,Pleasant Valley,ACTIVE,Whiskey Scotch,2.0,,,
4228,832889008682,Compass Box The Circle 750ml,Customer Square 1,Airport,ACTIVE,Whiskey Scotch,2.0,,,
4231,832889008606,Compass Box The Spaniard 750ml,Customer Square 1,Airport,ACTIVE,Whiskey Scotch,2.0,,,
4237,832889008842,Compass Box Two Columns On Experimental Grain Whisky 750ml,Customer Square 3,Oak Hill,ACTIVE,Whiskey Scotch,2.0,,,
4239,832889008897,Compass Box Ultramarine 750ml,Customer Square 1,Airport,ACTIVE,Whiskey Scotch,2.0,,,
4240,832889008897,Compass Box Ultramarine 750ml,Customer Square 2,Pleasant Valley,ACTIVE,Whiskey Scotch,2.0,,,
4242,832889008866,Compass Box Vellichor 700ml,Customer Square 2,Pleasant Valley,ACTIVE,Whiskey Scotch,1.0,,,
4244,080686187134,Connemara Peated Single Malt 750ml,Customer Square 3,Oak Hill,ACTIVE,Whiskey Irish,6.0,,,
4247,8002007300000,Contratto Americano Rosso 750ml,Customer Square 3,Oak Hill,ACTIVE,Fortified,4.0,,,
4252,8016441110750,Contratto Bianco Vermouth 750ml,Customer Square 1,Airport,ACTIVE,Fortified,7.0,,,
4253,8016441110750,Contratto Bianco Vermouth 750ml,Customer Square 3,Oak Hill,ACTIVE,Fortified,10.0,,,
4268,071990100025,Coors Banquet Cans 6 Pack,Customer Square 2,Pleasant Valley,ACTIVE,Dom Beer,4.0,,,
4284,850329005930,Copper & Kings 3 Floyds 750ml,Customer Square 3,Oak Hill,ACTIVE,Brandy,1.0,,,
4287,850329005022,Copper & Kings Absinthe 750ml,Customer Square 3,Oak Hill,ACTIVE,Absinthe,2.0,,,
4290,850329005008,Copper & Kings American Brandy 750ml,Customer Square 3,Oak Hill,ACTIVE,Brandy,1.0,,,
4293,850004947197,Copper & Kings Apple Brandy 750ml,Customer Square 3,Oak Hill,ACTIVE,Brandy,2.0,,,
4296,123553,Copper Cocktail Picks,Customer Square 3,Oak Hill,ACTIVE,Bar Tools,36.0,,,
4301,088004035747,Corazon Blanco 50ml,Customer Square 3,Oak Hill,ACTIVE,Tequila,2.0,,,
4302,088004035747,Corazon Blanco 50ml,Customer Square 2,Pleasant Valley,ACTIVE,Tequila,1.0,,,
4308,867931000451,Corner Creek Small Batch 750ml,Customer Square 1,Airport,ACTIVE,Whiskey Bourbon/American,2.0,,,
4344,860007263309,Country Luau Mango Mosa 4pk,Customer Square 1,Airport,ACTIVE,RTD,6.0,,,
4345,860006744649,Country Luau Pineapple Jalapen-y'all 4pk,Customer Square 1,Airport,ACTIVE,RTD,6.0,,,
4346,860006744694,Country Luau Strawberry Daiq 4pk,Customer Square 1,Airport,ACTIVE,RTD,6.0,,,
4347,860006744670,Country Luau Yuzu Ranch 4pk,Customer Square 1,Airport,ACTIVE,RTD,6.0,,,
4356,080686961048,Courvoisier VS 750ml,Customer Square 2,Pleasant Valley,ACTIVE,Cognac,2.0,,,
4376,850032865029,Creador Barril 750ml,Customer Square 3,Oak Hill,ACTIVE,Mezcal,1.0,,,
4377,850032865029,Creador Barril 750ml,Customer Square 2,Pleasant Valley,ACTIVE,Mezcal,2.0,,,
4378,850032865043,Creador Espadin 750ml,Customer Square 3,Oak Hill,ACTIVE,Mezcal,1.0,,,
4379,850032865043,Creador Espadin 750ml,Customer Square 2,Pleasant Valley,ACTIVE,Mezcal,2.0,,,
4380,850032865050,Creador Jabali 750ml,Customer Square 3,Oak Hill,ACTIVE,Mezcal,1.0,,,
4381,850032865050,Creador Jabali 750ml,Customer Square 2,Pleasant Valley,ACTIVE,Mezcal,2.0,,,
4382,850032865005,Creador Lumbre 750ml,Customer Square 3,Oak Hill,ACTIVE,Mezcal,1.0,,,
4384,850032865067,Creador Mexican + Espadin 750ml,Customer Square 3,Oak Hill,ACTIVE,Mezcal,1.0,,,
4386,850032865081,Creador Mexicano 750ml,Customer Square 3,Oak Hill,ACTIVE,Mezcal,1.0,,,
4429,082000792550,Crown Royal 16y Rye 750ml,Customer Square 1,Airport,ACTIVE,Whiskey Canadian,2.0,,,
4431,082000792550,Crown Royal 16y Rye 750ml,Customer Square 2,Pleasant Valley,ACTIVE,Whiskey Canadian,3.0,,,
4452,082000776581,Crown Royal Vanilla 375ml,Customer Square 2,Pleasant Valley,ACTIVE,Whiskey Canadian,19.0,,,
4457,1234500000074,Crude Apothecary Bitters 2oz,Customer Square 1,Airport,ACTIVE,Bitters,1.0,,,
4462,860084000101,Crude Big Bear Bitters 4oz,Customer Square 1,Airport,ACTIVE,Bitters,3.0,,,
4468,860084000163,Crude Lindsay 4oz,Customer Square 1,Airport,ACTIVE,Bitters,8.0,,,
4478,860084000118,Crude Rizzo Bitters 4oz,Customer Square 1,Airport,ACTIVE,Bitters,3.0,,,
4488,1234500000078,Crumb Scraper,Customer Square 2,Pleasant Valley,ACTIVE,Bar Tools,18.0,,,
4489,869957000019,Cruse Wine Co. Monkey Jacket 750ml,Customer Square 2,Pleasant Valley,ACTIVE,Red New World,12.0,,,
4520,023165211135,Cuentacuentos Tobala Everardo 750mL,Customer Square 3,Oak Hill,ACTIVE,Mezcal,2.0,,,
4531,816751021207,Cutwater Paloma 4pk,Customer Square 1,Airport,ACTIVE,RTD,6.0,,,
4551,83840300424,Cyrus Noble Bourbon 750ml,Customer Square 1,Airport,ACTIVE,Whiskey Bourbon/American,4.0,,,
4553,83840300424,Cyrus Noble Bourbon 750ml,Customer Square 2,Pleasant Valley,ACTIVE,Whiskey Bourbon/American,3.0,,,
4554,693394000147,D Bosler Pinot Noir Birdsnest 750mL,Customer Square 1,Airport,ACTIVE,Red New World,12.0,,,
4558,858588003056,Dads Hat Rye Port Finish 750ml,Customer Square 3,Oak Hill,ACTIVE,Whiskey Rye,1.0,,,
4559,858588003056,Dads Hat Rye Port Finish 750ml,Customer Square 2,Pleasant Valley,ACTIVE,Whiskey Rye,2.0,,,
4569,7500326213076,Dakabend Mexican Rum 1L,Customer Square 3,Oak Hill,ACTIVE,Rum,3.0,,,
4571,091037310309,Dale DeGroffs Pimento Bitters 150ml,Customer Square 1,Airport,ACTIVE,Bitters,7.0,,,
4582,087647113409,Dalmore Port Wood 750ml,Customer Square 1,Airport,ACTIVE,Whiskey Scotch,1.0,,,
4587,088110100056,Dalwhinnie 15y 750ml,Customer Square 2,Pleasant Valley,ACTIVE,Whiskey Scotch,3.0,,,
4592,081932049534,Damiana Liqueur 750ml,Customer Square 3,Oak Hill,ACTIVE,Liqueur,2.0,,,
4625,618358000124,Daristi Xtabentun 750ml,Customer Square 3,Oak Hill,ACTIVE,Liqueur,2.0,,,
4628,10041004,Dark Matter Malort Cold Brew 8oz ,Customer Square 2,Pleasant Valley,ACTIVE,Non Alcoholic Beverage,1.0,,,
4630,086785321080,Darnley's Original London Dry Gin 750ml,Customer Square 2,Pleasant Valley,ACTIVE,Gin,6.0,,,
4632,695521106012,Daron Calvados Fine 750ml,Customer Square 3,Oak Hill,ACTIVE,Calvados,5.0,,,
4634,753677291584,Dashfire Old Fashioned Bitters 100ml,Customer Square 1,Airport,ACTIVE,Bitters,2.0,,,
4637,753677291560,Dashfire Spiced Apple Bitters 100ml,Customer Square 1,Airport,ACTIVE,Bitters,3.0,,,
