SKU,Product,Customer,Location,Status,Category,OnHand,Quantity,Sale,Unit
123465,Absinthe Saucer Green,Customer Square 3,Oak Hill,ACTIVE,Bar Tools,1.0,,,
123465,Absinthe Saucer Green,Customer Square 2,Pleasant Valley,ACTIVE,Bar Tools,2.0,,,
1234500000008,Absinthe Saucer Lavender,Customer Square 3,Oak Hill,ACTIVE,Bar Tools,2.0,,,
123466,Absinthe Saucer Red,Customer Square 1,Airport,ACTIVE,Bar Tools,3.0,,,
123466,Absinthe Saucer Red,Customer Square 3,Oak Hill,ACTIVE,Bar Tools,1.0,,,
123466,Absinthe Saucer Red,Customer Square 2,Pleasant Valley,ACTIVE,Bar Tools,2.0,,,
1234500000009,Absinthe Saucer Yellow,Customer Square 1,Airport,ACTIVE,Bar Tools,4.0,,,
15201520,Absinthe Spoon Holder,Customer Square 1,Airport,ACTIVE,Bar Tools,1.0,,,
15201520,Absinthe Spoon Holder,Customer Square 2,Pleasant Valley,ACTIVE,Bar Tools,1.0,,,
9781682750018,Absinthe The Exquisite Elixir Book,Customer Square 1,Airport,ACTIVE,Books,2.0,,,
