SKU,Product,Customer,Location,Status,Category,OnHand,Quantity,Sale,Unit
8710631219031,Bobbys Dry Gin 750ml,Customer Square 3,Oak Hill,ACTIVE,Gin,3.0,,,
8710631219598,Bobby's Jenever 750ml,Customer Square 3,Oak Hill,ACTIVE,Gin,3.0,,,
8710631219598,Bobby's Jenever 750ml,Customer Square 2,Pleasant Valley,ACTIVE,Gin,2.0,,,
5060372430039,Bobs Bitters Coriander 100ml,Customer Square 1,Airport,ACTIVE,Bitters,6.0,,,
5060372430039,Bobs Bitters Coriander 100ml,Customer Square 3,Oak Hill,ACTIVE,Bitters,2.0,,,
5060372430039,Bobs Bitters Coriander 100ml,Customer Square 2,Pleasant Valley,ACTIVE,Bitters,2.0,,,
5060372430046,Bobs Bitters Ginger 100ml,Customer Square 1,Airport,ACTIVE,Bitters,2.0,,,
5060372430046,Bobs Bitters Ginger 100ml,Customer Square 3,Oak Hill,ACTIVE,Bitters,1.0,,,
5060372430046,Bobs Bitters Ginger 100ml,Customer Square 2,Pleasant Valley,ACTIVE,Bitters,2.0,,,
5060372430077,Bobs Bitters Liquorice 100ml,Customer Square 1,Airport,ACTIVE,Bitters,2.0,,,
5060372430077,Bobs Bitters Liquorice 100ml,Customer Square 3,Oak Hill,ACTIVE,Bitters,1.0,,,
5060372430077,Bobs Bitters Liquorice 100ml,Customer Square 2,Pleasant Valley,ACTIVE,Bitters,2.0,,,
5060372430107,Bobs Bitters Vanilla 100ml,Customer Square 3,Oak Hill,ACTIVE,Bitters,3.0,,,
8437008527017,Bodegas Ponce Clos Lojen 750ml,Customer Square 2,Pleasant Valley,ACTIVE,Red Old World,12.0,,,
080915112654,Bols Barrel Aged Genever 1L,Customer Square 1,Airport,ACTIVE,Gin,2.0,,,
080915037643,Bols Butterscotch Schnapps 1L,Customer Square 3,Oak Hill,ACTIVE,Liqueur,3.0,,,
080915108039,Bols Genever 750ml,Customer Square 3,Oak Hill,ACTIVE,Gin,6.0,,,
080480986001,Bombay Bramble 750ml,Customer Square 2,Pleasant Valley,ACTIVE,Gin,6.0,,,
8413884102197,Bonanto Aperitivo 750ml,Customer Square 1,Airport,ACTIVE,Amaro,2.0,,,
8413884102197,Bonanto Aperitivo 750ml,Customer Square 3,Oak Hill,ACTIVE,Amaro,5.0,,,
850887004703,Boomerang Spiced Cherry 750ml,Customer Square 3,Oak Hill,ACTIVE,Liqueur,1.0,,,
856589001170,Boomtown Merlot 750ml,Customer Square 2,Pleasant Valley,ACTIVE,Red New World,2.0,,,
852935001801,Botanika Angelica Amaro 750ml,Customer Square 2,Pleasant Valley,ACTIVE,Amaro,9.0,,,
9781611804980,Botany At The Bar,Customer Square 3,Oak Hill,ACTIVE,Books,1.0,,,
12345678,Bottle Shipping Box Single,Customer Square 1,Airport,ACTIVE,Bag,10.0,,,
11145633321,BottleCap Earrings,Customer Square 1,Airport,ACTIVE,Retail,6.0,,,
11145633321,BottleCap Earrings,Customer Square 3,Oak Hill,ACTIVE,Retail,6.0,,,
786992000227,Bounty White 750ml,Customer Square 1,Airport,ACTIVE,Rum,1.0,,,
9780760364901,Bourbon Curious ,Customer Square 1,Airport,ACTIVE,Books,1.0,,,
9780760364901,Bourbon Curious ,Customer Square 3,Oak Hill,ACTIVE,Books,1.0,,,
869743000308,Bouvery CV Chocolate Vodka 375ml,Customer Square 1,Airport,ACTIVE,Vodka,3.0,,,
859141004213,Bowmore 10yr Dorus Mor 750ml,Customer Square 2,Pleasant Valley,ACTIVE,Whiskey Scotch,1.0,,,
850483000109,Bowmore 15y 750ml,Customer Square 2,Pleasant Valley,ACTIVE,Whiskey Scotch,3.0,,,
859141004534,Bowmore 21y Aston Martin Edition 750ml,Customer Square 2,Pleasant Valley,ACTIVE,Whiskey Scotch,1.0,,,
856442005840,Bozal Barril 750ml,Customer Square 3,Oak Hill,ACTIVE,Mezcal,2.0,,,
856442005499,Bozal Castilla 750ml,Customer Square 1,Airport,ACTIVE,Mezcal,1.0,,,
856442005499,Bozal Castilla 750ml,Customer Square 3,Oak Hill,ACTIVE,Mezcal,2.0,,,
9780847847327,Branca Book,Customer Square 1,Airport,ACTIVE,Books,4.0,,,
9780847847327,Branca Book,Customer Square 3,Oak Hill,ACTIVE,Books,2.0,,,
853826005298,Breckenridge Port Cask 750ml,Customer Square 1,Airport,ACTIVE,Whiskey Bourbon/American,1.0,,,
853826005298,Breckenridge Port Cask 750ml,Customer Square 2,Pleasant Valley,ACTIVE,Whiskey Bourbon/American,6.0,,,
851532004055,Brenne 10y Single Malt 750ml,Customer Square 3,Oak Hill,ACTIVE,Whiskey French,2.0,,,
700686046445,Broc Cellars Amore Rosso 750ml,Customer Square 2,Pleasant Valley,ACTIVE,Red New World,12.0,,,
700686046179,Broc Cellars Vine Starr Zinfandel 750ml,Customer Square 2,Pleasant Valley,ACTIVE,Red New World,12.0,,,
736040019251,Brooklyn Gin 750ml,Customer Square 1,Airport,ACTIVE,Gin,3.0,,,
736040019251,Brooklyn Gin 750ml,Customer Square 3,Oak Hill,ACTIVE,Gin,4.0,,,
736040019251,Brooklyn Gin 750ml,Customer Square 2,Pleasant Valley,ACTIVE,Gin,3.0,,,
1234500000024,Brooks Gewurztraminer 750ml,Customer Square 2,Pleasant Valley,ACTIVE,White,1.0,,,
816136027091,Brothers Bond Bourbon 750ml,Customer Square 3,Oak Hill,ACTIVE,Whiskey Bourbon/American,3.0,,,
850887004277,Brovo Amaro 14 750ml,Customer Square 3,Oak Hill,ACTIVE,Amaro,1.0,,,
810139030843,Bruery Cherry Pie 16oz,Customer Square 2,Pleasant Valley,ACTIVE,Craft Beer,1.0,,,
810139030966,Bruery Ruekeller Helles 4 Pack,Customer Square 2,Pleasant Valley,ACTIVE,Craft Beer,1.0,,,
705105537252,Bruery So Happens It's Tuesday 750ml,Customer Square 2,Pleasant Valley,ACTIVE,Craft Beer,1.0,,,
653341001924,Bruery White Chocolate 750ml,Customer Square 2,Pleasant Valley,ACTIVE,Craft Beer,1.0,,,
812066020065,Brugal Anejo Rum 1L,Customer Square 3,Oak Hill,ACTIVE,Rum,3.0,,,
812066020102,Brugal Extra Dry White 1L,Customer Square 3,Oak Hill,ACTIVE,Rum,2.0,,,
812066020171,Brugal Extra Viejo 750ml,Customer Square 3,Oak Hill,ACTIVE,Rum,4.0,,,
087236700393,Bruichladdich Black Art 9.1 750ml,Customer Square 2,Pleasant Valley,ACTIVE,Whiskey Scotch,1.0,,,
087236701031,Bruichladdich Octomore 12.1 750ml,Customer Square 1,Airport,ACTIVE,Whiskey Scotch,1.0,,,
087236700805,Bruichladdich Port Charlotte 10 Heavily Peated 750ml,Customer Square 3,Oak Hill,ACTIVE,Whiskey Scotch,3.0,,,
087236700409,Bruichladdich Port Charlotte 750ml,Customer Square 1,Airport,ACTIVE,Whiskey Scotch,6.0,,,
087236700409,Bruichladdich Port Charlotte 750ml,Customer Square 2,Pleasant Valley,ACTIVE,Whiskey Scotch,2.0,,,
087236700812,Bruichladdich Port Charlotte Islay Barley 750ml,Customer Square 1,Airport,ACTIVE,Whiskey Scotch,14.0,,,
087236700812,Bruichladdich Port Charlotte Islay Barley 750ml,Customer Square 3,Oak Hill,ACTIVE,Whiskey Scotch,4.0,,,
850012626114,Brush Creek Gin 750ml,Customer Square 2,Pleasant Valley,ACTIVE,Gin,3.0,,,
850012626107,Brush Creek Rye 750ml,Customer Square 2,Pleasant Valley,ACTIVE,Whiskey Rye,3.0,,,
088076181175,Buchanans 12y 200ml,Customer Square 1,Airport,ACTIVE,Whiskey Scotch,7.0,,,
088076181175,Buchanans 12y 200ml,Customer Square 2,Pleasant Valley,ACTIVE,Whiskey Scotch,2.0,,,
088110955335,Buchanans 12y 375ml,Customer Square 3,Oak Hill,ACTIVE,Whiskey Scotch,10.0,,,
018200008337,Bud Light Bottles 6 Pack,Customer Square 2,Pleasant Valley,ACTIVE,Dom Beer,1.0,,,
080244009250,Buffalo Trace 375ml,Customer Square 2,Pleasant Valley,ACTIVE,Whiskey Bourbon/American,1.0,,,
088004022693,Buffalo Trace 50ml,Customer Square 2,Pleasant Valley,ACTIVE,Whiskey Bourbon/American,8.0,,,
082000778516,Bulleit Barrel Strength 750ml,Customer Square 2,Pleasant Valley,ACTIVE,Whiskey Bourbon/American,6.0,,,
0820007912491,Bulleit Grackle Barrel 750ml,Customer Square 1,Airport,ACTIVE,Whiskey Bourbon/American,1.0,,,
0820007912491,Bulleit Grackle Barrel 750ml,Customer Square 2,Pleasant Valley,ACTIVE,Whiskey Bourbon/American,3.0,,,
5029704219001,Bunnahabhain Stiuireadair 750ml,Customer Square 2,Pleasant Valley,ACTIVE,Whiskey Scotch,2.0,,,
767870179044,Bushido Series Makoto 23y 750ml,Customer Square 1,Airport,ACTIVE,Whiskey Japanese,1.0,,,
765531073410,Bushido Series Meiyo 15y 750ml,Customer Square 2,Pleasant Valley,ACTIVE,Whiskey Japanese,3.0,,,
01072599003,Bushido Series Meiyo 17y 750ml,Customer Square 2,Pleasant Valley,ACTIVE,Whiskey Japanese,1.0,,,
037203990944,Bushido Series REI Pure Malt 750ml,Customer Square 1,Airport,ACTIVE,Whiskey Japanese,1.0,,,
037203990944,Bushido Series REI Pure Malt 750ml,Customer Square 3,Oak Hill,ACTIVE,Whiskey Japanese,2.0,,,
614143402517,Caballito Cerrero Blanco 46 Azul 750ml,Customer Square 2,Pleasant Valley,ACTIVE,Mezcal,1.0,,,
850016427021,Caballito Cerrero Reposado 46 Azul 750ml,Customer Square 3,Oak Hill,ACTIVE,Mezcal,1.0,,,
