Product,Total,Mean,Std,Min,Max,50,75,85,Action,ProductSKU,Customer,MinimumBeforeReorder,ReorderQuantity,Unit,RoundedMean,DiffMean,Diff75,Diff85,MeanSavings,75Savings,85Savings
Bakers Bourbon Single Barrel 750ml,4.0,0.07692307692307693,0.2664693550105965,0.0,1.0,0.0,0.0,0.0,Create/Update,080686015406,Customer Square 2,1,1,64.99,0.0,1.0,1.0,1.0,64.99,64.99,64.99
Balcones Baby Blue 50ml,22.0,0.4230769230769231,1.0980078787400147,0.0,6.0,0.0,0.0,1.0,Create/Update,852757002338,Customer Square 2,10,72,2.99,0.0,10.0,10.0,9.0,29.900000000000002,29.900000000000002,26.910000000000004
Balcones Baby Blue 750ml,30.0,0.5769230769230769,0.8400126795323671,0.0,4.0,0.0,1.0,1.0,Create/Update,852757002017,Customer Square 2,6,6,39.99,1.0,5.0,5.0,5.0,199.95000000000002,199.95000000000002,199.95000000000002
Balcones Brimstone 750ml,10.0,0.19230769230769232,0.394113490998446,0.0,1.0,0.0,0.0,1.0,Create/Update,852757002055,Customer Square 2,1,6,65.99,0.0,1.0,1.0,0.0,65.99,65.99,0.0
Balcones Lineage 750ml,22.0,0.4230769230769231,0.7682686290553146,0.0,4.0,0.0,1.0,1.0,Create/Update,852757002697,Customer Square 2,6,6,39.99,0.0,6.0,5.0,5.0,239.94,199.95000000000002,199.95000000000002
Balcones Pot Still Bourbon 750ml,60.0,1.1538461538461537,1.0810361017350152,0.0,4.0,1.0,2.0,2.3500000000000014,Create/Update,852757002536,Customer Square 2,2,6,35.99,1.0,1.0,0.0,-0.0,35.99,0.0,-0.0
Balcones Rumble 750ml,23.0,0.4423076923076923,0.6625551221904696,0.0,3.0,0.0,1.0,1.0,Create/Update,852757002000,Customer Square 2,1,6,52.99,0.0,1.0,0.0,0.0,52.99,0.0,0.0
Balcones Rye 100 750ml,33.0,0.6346153846153846,0.8092932850961853,0.0,3.0,0.0,1.0,1.0,Create/Update,852757002291,Customer Square 2,6,6,39.99,1.0,5.0,5.0,5.0,199.95000000000002,199.95000000000002,199.95000000000002
Balcones Rye 50ml,45.0,0.8653846153846154,1.441538256300782,0.0,6.0,0.0,1.0,2.0,Create/Update,852757002529,Customer Square 2,10,72,2.99,1.0,9.0,9.0,8.0,26.910000000000004,26.910000000000004,23.92
Balcones Single Malt 50ml,55.0,1.0576923076923077,1.378592670617137,0.0,7.0,1.0,1.0,2.3500000000000014,Create/Update,852757002345,Customer Square 2,10,72,3.99,1.0,9.0,9.0,8.0,35.910000000000004,35.910000000000004,31.92
Balcones Texas Single Malt No 1 750ml,11.0,0.21153846153846154,0.4083992419537558,0.0,1.0,0.0,0.0,1.0,Create/Update,852757002031,Customer Square 2,1,6,74.99,0.0,1.0,1.0,0.0,74.99,74.99,0.0
Balvenie 12y American Oak 750ml,3.0,0.057692307692307696,0.2331606856342719,0.0,1.0,0.0,0.0,0.0,Create/Update,083664874132,Customer Square 2,1,6,86.99,0.0,1.0,1.0,1.0,86.99,86.99,86.99
Balvenie 12y Doublewood 750ml,8.0,0.15384615384615385,0.41065685584735784,0.0,2.0,0.0,0.0,0.0,Create/Update,083664112210,Customer Square 2,2,12,70.99,0.0,2.0,2.0,2.0,141.98,141.98,141.98
Balvenie 14y Caribbean 750ml,20.0,0.38461538461538464,0.7112785388041125,0.0,3.0,0.0,1.0,1.0,Create/Update,083664871681,Customer Square 2,2,6,89.99,0.0,2.0,1.0,1.0,179.98,89.99,89.99
Balvenie 15y Sherry Cask 750ml,2.0,0.038461538461538464,0.19230769230769235,0.0,1.0,0.0,0.0,0.0,Create/Update,083664873197,Customer Square 2,1,6,125.99,0.0,1.0,1.0,1.0,125.99,125.99,125.99
Balvenie 17y Doublewood 750ml,1.0,0.019230769230769232,0.13733516208736252,0.0,1.0,0.0,0.0,0.0,Create/Update,083664873005,Customer Square 2,1,6,149.99,0.0,1.0,1.0,1.0,149.99,149.99,149.99
Balvenie 21y Portwood 750ml,1.0,0.019230769230769232,0.13733516208736252,0.0,1.0,0.0,0.0,0.0,Create/Update,083664858415,Customer Square 2,0,3,289.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Balvenie Trio Pack 50ml,18.0,0.34615384615384615,0.8962446305946956,0.0,4.0,0.0,0.0,0.3500000000000014,Create/Update,083664873180,Customer Square 2,1,6,19.99,0.0,1.0,1.0,1.0,19.99,19.99,19.99
Bamboo Picks Pack of 24,18.0,0.34615384615384615,0.805858724606037,0.0,3.0,0.0,0.0,1.0,Create/Update,876718006395,Customer Square 2,12,24,1.39,0.0,12.0,12.0,11.0,16.68,16.68,15.29
Banhez Cuishe 750ml,1.0,0.019230769230769232,0.1373351620873625,0.0,1.0,0.0,0.0,0.0,Create/Update,736040542964,Customer Square 2,0,1,109.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Banhez Espadin 1L,166.0,3.1923076923076925,3.4364475258081764,0.0,23.0,3.0,4.25,5.0,Create/Update,736040538073,Customer Square 2,6,12,39.99,3.0,3.0,2.0,1.0,119.97,79.98,39.99
Banhez Espadin 375ml,11.0,0.21153846153846154,0.45304688420729766,0.0,2.0,0.0,0.0,1.0,Create/Update,736040538837,Customer Square 2,4,12,19.99,0.0,4.0,4.0,3.0,79.96,79.96,59.97
Banhez Tobala 750ml,1.0,0.019230769230769232,0.1373351620873625,0.0,1.0,0.0,0.0,0.0,Create/Update,736040542988,Customer Square 2,0,1,119.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Banks 5 White Rum 750ml,10.0,0.19230769230769232,0.4402124285484459,0.0,2.0,0.0,0.0,1.0,Create/Update,080480007072,Customer Square 2,2,6,34.99,0.0,2.0,2.0,1.0,69.98,69.98,34.99
Banks 7 Golden Rum 750ml,6.0,0.11538461538461539,0.3194855331891567,0.0,1.0,0.0,0.0,0.0,Create/Update,080480007089,Customer Square 2,2,6,35.99,0.0,2.0,2.0,2.0,71.98,71.98,71.98
Bar Keep Apple Bitters 8oz,6.0,0.11538461538461539,0.37487670556957536,0.0,2.0,0.0,0.0,0.0,Create/Update,855675001476,Customer Square 2,2,6,16.99,0.0,2.0,2.0,2.0,33.98,33.98,33.98
Bar Keep Lavender Bitters 8oz,15.0,0.28846153846153844,0.5662473793975172,0.0,2.0,0.0,0.0,1.0,Create/Update,855675001490,Customer Square 2,2,6,16.99,0.0,2.0,2.0,1.0,33.98,33.98,16.99
Barbadillo Fino 750ml,4.0,0.07692307692307693,0.26646935501059643,0.0,1.0,0.0,0.0,0.0,Create/Update,8410061018166,Customer Square 2,6,12,14.99,0.0,6.0,6.0,6.0,89.94,89.94,89.94
