,ProductCode,Name_x,Category_x,Barcode,Price_x,Status,Name_y,SKU,Category_y,Price_y,Enabled 1,Enabled 2,Enabled 3,Enabled Warehouse,Tax 1,Tax 2
32,949223659484,1876 Vodka 175L,Vodka,949223659484,21.99,DEPRECATED,,,,,,,,,,
33,850010806143,1876 Vodka 1L,Vodka,850010806143,18.99,ACTIVE,1876 Vodka 1L,850010806143,Vodka,18.99,Y,Y,Y,Y,Y,Y
34,94922365941,1876 Vodka 750ml,Vodka,94922365941,12.99,DEPRECATED,,,,,,,,,,
35,857438001525,1888 Dirtiest Martini Mix 1L,Mixer,857438001525,15.99,ACTIVE,1888 Dirtiest Martini Mix 1L,857438001525,Mixer,15.99,Y,Y,Y,Y,Y,Y
36,080686294047,2 Gingers Irish Whiskey 750ml,Whiskey Irish,080686294047,22.99,ACTIVE,2 Gingers Irish Whiskey 750ml,080686294047,Whiskey Irish,22.99,Y,Y,Y,Y,Y,Y
37,8437016956236,20000 Leguas 750ml,Orange Wine,8437016956236,15.99,ACTIVE,20000 Leguas 750ml,8437016956236,Orange Wine,15.99,Y,Y,Y,Y,Y,N
38,850003519005,21 Seeds Cucumber Jalapeno Tequila 750ml,Tequila,850003519005,38.99,ACTIVE,21 Seeds Cucumber Jalapeno Tequila 750ml,850003519005,Tequila,38.99,Y,Y,Y,Y,Y,N
39,859612001314,21st Amendment Blood Orange Cans 6 Pack,Craft Beer,859612001314,11.99,ACTIVE,21st Amendment Blood Orange Cans 6 Pack,859612001314,Craft Beer,11.99,Y,Y,Y,Y,Y,N
40,859612001314,21st Amendment Blood Orange Cans 6 Pack,Craft Beer,859612001314,11.99,ACTIVE,21st Amendment Brew Free Cans 6 Pack,859612001314,Craft Beer,11.99,Y,Y,Y,Y,Y,Y
41,859612001031,21st Amendment Brew Free IPA Cans 6pk,Craft Beer,859612001031,11.99,ACTIVE,21st Amendment Brew Free IPA Cans 6pk,859612001031,Craft Beer,11.99,Y,Y,Y,Y,Y,N
42,859612001031,21st Amendment Brew Free IPA Cans 6pk,Craft Beer,859612001031,11.99,ACTIVE,21st Amendment IPA Cans 6pk,859612001031,Craft Beer,11.99,Y,Y,Y,Y,Y,Y
43,859612001185,21st Amendment El Sully Cans 6 Pack,Craft Beer,859612001185,11.99,DEPRECATED,21st Amendment El Sully Cans 6 Pack,859612001185,Craft Beer,11.99,Y,Y,Y,Y,Y,N
44,859612001130,21st Amendment Hell or High Watermelon 12-pack,Craft Beer,859612001130,19.99,ACTIVE,21st Amendment Hell or High Watermelon 12-pack,859612001130,Craft Beer,19.99,Y,Y,Y,Y,Y,N
45,859612001024,21st Amendment Seasonal Release Cans 6 Pack,Craft Beer,859612001024,11.99,ACTIVE,21st Amendment Seasonal Release 6pk Cans,859612001024,Craft Beer,11.99,Y,Y,Y,Y,Y,Y
46,859612001581,21st Amendment Sparkle Cans 6 Pack,Craft Beer,859612001581,11.99,ACTIVE,21st Amendment Sparkle Cans 6 Pack,859612001581,Craft Beer,11.99,Y,Y,Y,Y,Y,Y
47,664228300047,22 Pirates Red Blend 750ml,Red New World,664228300047,24.99,ACTIVE,22 Pirates Red Blend 750ml,664228300047,Red New World,24.99,Y,Y,Y,Y,Y,Y
48,856491003132,291 Barrel Proof Bourbon 750ml,Whiskey Bourbon/American,856491003132,119.99,ACTIVE,291 Barrel Proof Bourbon 750ml,856491003132,Whiskey Bourbon/American,119.99,Y,Y,Y,Y,Y,Y
49,856491003057,291 Single Barrel Rye 750ml,Whiskey Rye,856491003057,89.99,ACTIVE,291 Single Barrel Rye 750ml,856491003057,Whiskey Rye,89.99,Y,Y,Y,Y,Y,Y
50,757725777013,3 Ball Zinfandel 2012 750ml,Red Zinfandel,757725777013,11.99,DEPRECATED,,,,,,,,,,
51,7500326689291,4 Copas Reposado 750ml,Tequila,7500326689291,62.99,ACTIVE,4 Copas Reposado 750ml,7500326689291,Tequila,0.00,Y,Y,Y,Y,Y,Y
52,811538013628,400 Conejos Espadin 750ml,Mezcal,811538013628,28.99,ACTIVE,400 Conejos Espadin 750ml,811538013628,Mezcal,28.99,Y,Y,Y,Y,Y,N
53,080480284312,42 Below 1L,Vodka,080480284312,18.99,ACTIVE,42 Below 1L,080480284312,Vodka,18.99,Y,Y,Y,Y,Y,Y
54,833597009688,44 North Potato Vodka 750ml,Vodka,833597009688,27.99,ACTIVE,44 North Potato Vodka 750ml,833597009688,Vodka,27.99,Y,Y,Y,Y,Y,Y
55,450450420420,450 North Jungle Juice 16oz Single,Craft Beer,450450420420,7.99,ACTIVE,450 North Jungle Juice 16oz Single,450450420420,Craft Beer,7.99,Y,Y,Y,Y,Y,Y
56,450450450450,450 North Unicorn Juice 16oz Single,Craft Beer,450450450450,7.99,ACTIVE,450 North Unicorn Juice 16oz Single,450450450450,Craft Beer,7.99,Y,Y,Y,Y,Y,Y
57,852674006228,512 Belgian Style Tripel 4-pack,Craft Beer,852674006228,10.99,ACTIVE,512 Belgian Style Tripel 4-pack,852674006228,Craft Beer,10.99,Y,Y,Y,Y,N,N
58,852674006198,512 Cascabel Cream Stout 4pk Bottles,Craft Beer,852674006198,10.99,ACTIVE,512 Cascabel Cream Stout 4pk Bottles,852674006198,Craft Beer,10.99,Y,Y,Y,Y,Y,Y
59,852674006389,512 Citra Summer 6pk Bottles,Craft Beer,852674006389,9.99,ACTIVE,512 Citra Summer 6pk Bottles,852674006389,Craft Beer,9.99,Y,Y,Y,Y,Y,Y
60,852674006013,512 Double Pecan Porter 750ml,Craft Beer,852674006013,17.99,ACTIVE,,,,,,,,,,
61,852674006068,512 IPA 6pk Bottles,Craft Beer,852674006068,10.99,ACTIVE,512 IPA 6pk Bottles,852674006068,Craft Beer,10.99,Y,Y,Y,Y,Y,Y
62,852674006488,512 IPA 6pk Cans,Craft Beer,852674006488,10.99,ACTIVE,512 IPA 6pk Cans,852674006488,Craft Beer,10.99,Y,Y,Y,Y,Y,Y
63,852674006501,512 Juicy IPA 6pk cans,Craft Beer,852674006501,10.99,ACTIVE,512 Juicy IPA 6pk cans,852674006501,Craft Beer,10.99,Y,Y,Y,Y,Y,Y
64,852674006495,512 Local Crush Kolsch 12oz 6pack,Craft Beer,852674006495,8.99,ACTIVE,512 Local Crush Kolsch 12oz 6pack,852674006495,Craft Beer,8.99,Y,Y,Y,Y,Y,Y
65,852674006362,512 Nut Brown 6pk Bottles,Craft Beer,852674006362,10.99,DEPRECATED,,,,,,,,,,
66,852674006150,512 Pale 6 Pack Bottles,Craft Beer,852674006150,9.99,ACTIVE,512 Pale 6 Pack Bottles,852674006150,Craft Beer,9.99,Y,Y,Y,Y,Y,N
67,852674006044,512 Pecan Porter 4pk Bottles,Craft Beer,852674006044,10.99,ACTIVE,512 Pecan Porter 4pk Bottles,852674006044,Craft Beer,10.99,Y,Y,Y,Y,Y,Y
68,852674006365,512 Seasonal 6 Pack 12oz Cans,Craft Beer,852674006365,10.99,ACTIVE,512 Seasonal 6pk 12oz Cans,852674006365,Craft Beer,10.99,Y,Y,Y,Y,Y,Y
69,852674006099,512 Smash Mosaic 6 Pack Bottles,Craft Beer,852674006099,9.99,ACTIVE,512 Smash Mosaic 6 Pack Bottles,852674006099,Craft Beer,9.99,Y,Y,Y,Y,Y,Y
70,852674006143,512 Wit 6 Pack Cans,Craft Beer,852674006143,9.99,ACTIVE,512 Wit 6 Pack Bottles,852674006143,Craft Beer,9.99,Y,Y,Y,Y,Y,Y
71,852674006075,512 Young Funkenstein 750ml,Craft Beer,852674006075,14.99,ACTIVE,512 Young Funkenstein 750ml,852674006075,Craft Beer,14.99,Y,Y,Y,Y,Y,Y
72,5060093991710,6 O'clock Sloe Gin 750ml,Gin,5060093991710,34.99,ACTIVE,6 O'clock Sloe Gin 750ml,5060093991710,Gin,34.99,Y,Y,Y,Y,Y,Y
73,876718036903,6 Pack Bike Carrier,Bag,876718036903,10.0,ACTIVE,6 Pack Bike Carrier,876718036903,Bag,10.00,Y,Y,Y,Y,Y,Y
74,089000118397,99 Apple Schnapps 50ml,Liqueur,089000118397,0.99,ACTIVE,99 Apple Schnapps 50ml,089000118397,Liqueur,0.99,Y,Y,Y,Y,Y,Y
75,80660010861,99 Apple Whiskey 50ml,Liqueur,080660010861,0.99,ACTIVE,99 Apple Whiskey 50ml,80660010861,Liqueur,0.99,Y,Y,Y,Y,Y,Y
76,080660620039,99 Bananas 1L,Liqueur,080660620039,21.99,ACTIVE,99 Bananas 1L,080660620039,Liqueur,21.99,Y,Y,Y,Y,Y,N
77,080660620992,99 Bananas 50ml,Liqueur,080660620992,0.99,ACTIVE,99 Bananas 50ml,080660620992,Liqueur,0.99,Y,Y,Y,Y,Y,Y
78,080660620053,99 Bananas 750ml,Liqueur,080660620053,18.99,ACTIVE,99 Bananas 750ml,080660620053,Liqueur,18.99,Y,Y,Y,Y,Y,Y
79,088004045418,99 Cherry Limeade 50ml,Liqueur,088004045418,0.99,ACTIVE,99 Cherry Limeade 50ml,088004045418,Liqueur,0.99,Y,Y,Y,Y,Y,Y
80,088004045425,99 Chocolate 50ml,Liqueur,088004045425,0.99,ACTIVE,99 Chocolate 50ml,088004045425,Liqueur,0.99,Y,Y,Y,Y,Y,Y
81,088004045456,99 Fruit Punch 50ml,Liqueur,088004045456,0.99,ACTIVE,99 Fruit Punch 50ml,088004045456,Liqueur,0.99,Y,Y,Y,Y,Y,Y
82,088004045449,99 Guava 50ml,Liqueur,088004045449,0.99,ACTIVE,99 Guava 50ml,088004045449,Liqueur,0.99,Y,Y,Y,Y,Y,Y
83,088004045432,99 Mystery Flavor 50ml,Liqueur,088004045432,0.99,ACTIVE,99 Mystery Flavor 50ml,088004045432,Liqueur,0.99,Y,Y,Y,Y,Y,Y
84,088004034221,99 Party Bucket 50ml,Liqueur,088004034221,16.99,ACTIVE,99 Party Bucket 50ml,088004034221,Liqueur,16.99,Y,Y,Y,Y,Y,Y
85,7503027709251,Abasolo Corn Whisky 50ml,Whiskey Mexican,7503027709251,3.99,ACTIVE,Abasolo Corn Whisky 50ml,7503027709251,Whiskey Mexican,3.99,Y,Y,Y,Y,Y,Y
86,7503027709077,Abasolo Corn Whisky 750ml,Whiskey Mexican,7503027709077,42.99,ACTIVE,Abasolo Corn Whisky 750ml,7503027709077,Whiskey Mexican,42.99,Y,Y,Y,Y,Y,N
87,62067029295,Abbaye Bon Chien 750ml,Imp Beer,062067029295,24.99,DEPRECATED,,,,,,,,,,
88,080480220006,Aberfeldy 12y 750ml,Whiskey Scotch,080480220006,43.99,ACTIVE,Aberfeldy 12y 750ml,080480220006,Whiskey Scotch,43.99,Y,Y,Y,Y,Y,Y
89,080480006167,Aberfeldy 16y 750ml,Whiskey Scotch,080480006167,114.99,ACTIVE,Aberfeldy 16y 750ml,080480006167,Whiskey Scotch,114.99,Y,Y,Y,Y,Y,Y
90,080480984984,Aberfeldy 18y Exceptional Cask Series 750ml,Whiskey Scotch,080480984984,214.99,ACTIVE,Aberfeldy 18y Exceptional Cask Series 750ml,080480984984,Whiskey Scotch,214.99,Y,Y,Y,Y,Y,Y
